Primary,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area
ACKLAM,57589,56254,56021,56359,56208,56040,55960,55968,55960,55956,56383,56060,56766,57123,57372,57620,57872,58141,58422,58707,59081,59379,59685,60018,60379,60752,61161,61587,62041,62540,63067,63655,64306,65003,NPgN
AMBERTON ROAD,44155,43131,42953,43212,43096,42968,42906,42913,42906,42903,43231,42983,43524,43798,43989,44179,44372,44579,44794,45012,45299,45527,45763,46017,46295,46580,46894,47220,47568,47952,48355,48806,49305,49840,NPgN
ANNFIELD 66/20KV,49098,47959,47761,48050,47920,47777,47709,47716,47709,47706,48070,47794,48396,48701,48913,49124,49339,49569,49809,50051,50370,50624,50885,51169,51477,51795,52143,52506,52893,53319,53768,54269,54824,55419,NPgN
ASHINGTON,53350,52112,51896,52210,52070,51914,51840,51848,51840,51837,52232,51933,52587,52918,53148,53378,53611,53861,54121,54385,54731,55007,55291,55599,55934,56279,56658,57053,57473,57936,58424,58968,59571,60218,NPgN
AYCLIFFE FOREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN
AYCLIFFE INDUSTRIAL,17076,16680,16611,16711,16666,16616,16593,16595,16593,16591,16718,16622,16832,16937,17011,17085,17159,17239,17323,17407,17518,17606,17697,17796,17903,18013,18135,18261,18395,18544,18700,18874,19067,19274,NPgN
BARDEN FRIAR,1552,1516,1509,1518,1514,1510,1508,1508,1508,1508,1519,1510,1529,1539,1546,1552,1559,1566,1574,1582,1592,1600,1608,1617,1627,1637,1648,1659,1671,1685,1699,1715,1732,1751,NPgN
BEDALE,30117,29419,29297,29474,29394,29307,29265,29269,29265,29263,29486,29317,29686,29873,30003,30133,30265,30406,30553,30701,30897,31053,31213,31387,31576,31771,31985,32208,32445,32706,32982,33289,33629,33994,NPgN
BELMONT,34764,33958,33817,34022,33930,33829,33780,33786,33780,33778,34036,33841,34267,34482,34633,34783,34935,35097,35267,35438,35664,35844,36029,36230,36448,36673,36920,37177,37451,37753,38071,38425,38818,39239,NPgN
BENSHAM,35419,34598,34454,34663,34569,34466,34417,34422,34417,34415,34677,34478,34913,35132,35285,35438,35593,35759,35931,36106,36336,36520,36708,36913,37135,37364,37616,37878,38157,38464,38788,39149,39550,39979,NPgN
BENTON SQUARE,42133,41156,40986,41234,41123,41000,40941,40948,40941,40939,41251,41015,41531,41792,41974,42156,42340,42537,42743,42951,43225,43443,43667,43910,44175,44447,44746,45058,45390,45756,46141,46571,47047,47558,NPgN
BENWELL,43328,42323,42148,42402,42288,42162,42102,42108,42102,42099,42420,42177,42708,42977,43164,43351,43540,43743,43954,44168,44450,44674,44905,45155,45427,45707,46015,46335,46677,47053,47449,47891,48381,48906,NPgN
BILLINGHAM MARSH HOUSE,41390,40430,40263,40506,40397,40277,40219,40225,40219,40216,40523,40291,40798,41055,41233,41412,41593,41787,41989,42193,42462,42676,42896,43135,43395,43663,43957,44263,44589,44948,45327,45749,46217,46719,NPgN
BILLY MILL,37508,36638,36487,36707,36608,36499,36447,36452,36447,36445,36723,36512,36972,37204,37366,37528,37692,37868,38051,38236,38480,38674,38873,39090,39325,39568,39834,40112,40407,40733,41076,41459,41883,42337,NPgN
BIRTLEY GROVE 66/11KV,25740,25143,25039,25191,25123,25048,25012,25016,25012,25010,25201,25057,25372,25532,25643,25754,25867,25987,26113,26240,26407,26540,26677,26826,26987,27154,27337,27527,27730,27953,28189,28451,28742,29054,NPgN
BIRTLEY GROVE 66/20KV,16976,16582,16514,16613,16569,16519,16496,16498,16496,16495,16620,16525,16733,16838,16912,16985,17059,17139,17221,17305,17416,17503,17594,17692,17798,17908,18029,18154,18288,18435,18591,18764,18956,19161,NPgN
BLAYDON BURN,37480,36610,36459,36679,36581,36472,36419,36425,36419,36417,36695,36484,36944,37176,37338,37500,37664,37839,38022,38207,38450,38644,38844,39060,39296,39538,39804,40081,40377,40702,41045,41427,41851,42305,NPgN
BLUCHER 33/11KV,40501,39562,39398,39636,39530,39412,39356,39361,39356,39353,39653,39426,39922,40173,40348,40523,40700,40890,41087,41287,41550,41760,41975,42209,42464,42726,43013,43313,43632,43983,44354,44767,45225,45716,NPgN
BOLDON DOWNHILL,29902,29209,29088,29264,29185,29098,29056,29061,29056,29054,29276,29108,29475,29660,29789,29918,30049,30189,30335,30482,30677,30831,30991,31163,31351,31544,31757,31978,32213,32473,32746,33052,33390,33752,NPgN
