Primary,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area
ACKLAM,57589,56254,55270,53547,52198,51041,50043,49094,47682,45971,44454,45077,44070,43629,42950,42299,41750,41406,41047,40739,40487,40233,40006,39733,39372,39237,38973,38892,38988,39080,39332,39555,39782,40091,NPgN
AMBERTON ROAD,44155,43131,42377,41056,40022,39135,38370,37642,36560,35248,34084,34562,33789,33452,32931,32432,32011,31747,31472,31236,31042,30848,30673,30464,30188,30084,29882,29820,29893,29964,30157,30328,30502,30739,NPgN
ANNFIELD 66/20KV,49098,47959,47121,45652,44502,43516,42665,41855,40652,39193,37900,38431,37572,37196,36617,36063,35595,35301,34995,34732,34517,34301,34107,33875,33567,33452,33227,33157,33240,33318,33533,33723,33916,34180,NPgN
ASHINGTON,53350,52112,51201,49605,48355,47284,46359,45480,44172,42587,41181,41758,40825,40417,39788,39185,38677,38358,38025,37740,37506,37271,37060,36808,36474,36349,36104,36029,36118,36203,36437,36643,36853,37140,NPgN
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN
AYCLIFFE INDUSTRIAL,17076,16680,16388,15877,15477,15134,14838,14557,14138,13631,13181,13366,13067,12936,12735,12542,12379,12277,12171,12079,12005,11929,11862,11781,11674,11634,11556,11532,11560,11588,11662,11728,11795,11887,NPgN
BARDEN FRIAR,1552,1516,1489,1443,1406,1375,1348,1323,1285,1239,1198,1214,1187,1175,1157,1140,1125,1116,1106,1098,1091,1084,1078,1070,1061,1057,1050,1048,1050,1053,1060,1066,1072,1080,NPgN
BEDALE,30117,29419,28904,28003,27298,26693,26171,25674,24936,24041,23248,23574,23047,22816,22461,22121,21834,21654,21466,21305,21173,21040,20921,20779,20590,20520,20381,20339,20389,20437,20569,20686,20804,20966,NPgN
BELMONT,34764,33958,33364,32324,31510,30811,30209,29636,28784,27751,26835,27211,26603,26337,25927,25534,25203,24995,24778,24592,24440,24287,24149,23985,23767,23686,23526,23477,23535,23591,23743,23877,24014,24201,NPgN
BENSHAM,35419,34598,33992,32933,32103,31392,30778,30194,29326,28274,27341,27724,27104,26833,26415,26015,25678,25466,25245,25055,24900,24745,24605,24437,24215,24132,23969,23920,23979,24035,24191,24327,24467,24657,NPgN
BENTON SQUARE,42133,41156,40436,39176,38189,37343,36613,35918,34885,33634,32524,32979,32242,31920,31423,30947,30545,30294,30030,29805,29621,29435,29269,29069,28806,28707,28513,28454,28524,28592,28776,28939,29105,29332,NPgN
BENWELL,43328,42323,41582,40286,39271,38401,37650,36936,35874,34587,33445,33914,33156,32824,32314,31824,31411,31152,30882,30650,30460,30270,30098,29893,29622,29520,29322,29260,29333,29402,29592,29759,29930,30163,NPgN
BILLINGHAM MARSH HOUSE,41390,40430,39723,38485,37515,36684,35967,35284,34270,33040,31950,32397,31673,31356,30869,30401,30006,29759,29501,29279,29098,28916,28752,28556,28297,28200,28010,27952,28021,28087,28269,28428,28591,28814,NPgN
BILLY MILL,37508,36638,35997,34875,33997,33243,32593,31975,31056,29941,28953,29359,28703,28416,27974,27550,27192,26968,26734,26533,26369,26204,26056,25878,25643,25555,25383,25330,25393,25453,25617,25762,25910,26112,NPgN
BIRTLEY GROVE 66/11KV,25740,25143,24704,23933,23331,22814,22368,21943,21312,20548,19869,20148,19697,19500,19197,18906,18661,18507,18346,18209,18096,17983,17881,17759,17598,17538,17419,17383,17426,17467,17580,17680,17781,17919,NPgN
BIRTLEY GROVE 66/20KV,16976,16582,16292,15784,15387,15046,14752,14472,14056,13551,13104,13288,12991,12861,12661,12469,12307,12205,12099,12009,11934,11860,11793,11712,11606,11566,11488,11464,11493,11520,11594,11660,11727,11818,NPgN
BLAYDON BURN,37480,36610,35970,34849,33971,33218,32569,31951,31032,29919,28931,29337,28681,28394,27952,27529,27172,26948,26714,26513,26349,26184,26036,25859,25624,25536,25364,25311,25374,25434,25598,25743,25890,26092,NPgN
BLUCHER 33/11KV,40501,39562,38870,37658,36710,35896,35194,34527,33534,32331,31264,31702,30993,30683,30206,29748,29362,29120,28867,28651,28473,28295,28135,27943,27690,27595,27409,27352,27420,27484,27662,27818,27978,28195,NPgN
