Primary,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area
ACKLAM,0,0.03,0.07,0.07,0.07,0.13,0.2,0.21,0.23,0.29,0.29,0.44,0.57,0.84,1.14,1.35,1.81,2.19,2.54,3.02,3.46,4.19,4.51,4.68,4.99,5.07,5.22,5.29,5.29,5.29,5.29,5.29,5.29,5.29,NPgN
AMBERTON ROAD,0,0.06,0.13,0.13,0.13,0.18,0.32,0.33,0.35,0.47,0.47,0.63,0.75,0.98,1.3,1.48,1.87,2.23,2.54,2.95,3.32,3.94,4.21,4.36,4.67,4.74,4.86,4.93,4.93,4.93,4.93,4.93,4.93,4.93,NPgN
ANNFIELD 66/20KV,0,0.08,0.16,0.16,0.16,0.23,0.38,0.39,0.41,0.54,0.54,0.73,0.87,1.14,1.5,1.71,2.19,2.61,2.97,3.46,3.91,4.65,4.97,5.14,5.5,5.57,5.73,5.8,5.8,5.8,5.8,5.8,5.8,5.8,NPgN
ASHINGTON,0.01,0.06,0.13,0.13,0.13,0.22,0.35,0.36,0.39,0.51,0.51,0.75,0.95,1.35,1.83,2.15,2.85,3.44,3.98,4.71,5.38,6.48,6.96,7.22,7.72,7.83,8.06,8.17,8.17,8.17,8.17,8.17,8.17,8.17,NPgN
AYCLIFFE FOREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN
AYCLIFFE INDUSTRIAL,0,0.03,0.05,0.05,0.05,0.08,0.13,0.14,0.14,0.19,0.19,0.26,0.31,0.42,0.55,0.63,0.81,0.97,1.11,1.3,1.47,1.75,1.87,1.94,2.07,2.1,2.16,2.19,2.19,2.19,2.19,2.19,2.19,2.19,NPgN
BARDEN FRIAR,0,0.01,0.02,0.02,0.02,0.03,0.04,0.05,0.05,0.06,0.06,0.08,0.08,0.1,0.12,0.13,0.15,0.18,0.19,0.22,0.24,0.27,0.29,0.29,0.31,0.32,0.32,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NPgN
BEDALE,0,0.09,0.18,0.18,0.18,0.23,0.4,0.41,0.42,0.56,0.56,0.7,0.81,0.99,1.26,1.4,1.72,2.01,2.26,2.59,2.89,3.38,3.6,3.71,3.97,4.02,4.12,4.17,4.17,4.17,4.17,4.17,4.17,4.17,NPgN
BELMONT,0,0.05,0.1,0.1,0.1,0.15,0.25,0.26,0.27,0.36,0.36,0.5,0.6,0.8,1.06,1.21,1.55,1.85,2.11,2.47,2.79,3.32,3.55,3.68,3.94,3.99,4.1,4.16,4.16,4.16,4.16,4.16,4.16,4.16,NPgN
BENSHAM,0,0.03,0.05,0.05,0.05,0.09,0.15,0.15,0.16,0.22,0.22,0.31,0.38,0.53,0.72,0.83,1.1,1.32,1.51,1.79,2.03,2.44,2.62,2.71,2.9,2.94,3.03,3.07,3.07,3.07,3.07,3.07,3.07,3.07,NPgN
BENTON SQUARE,0,0.04,0.09,0.09,0.09,0.14,0.23,0.23,0.25,0.33,0.33,0.46,0.56,0.76,1.01,1.17,1.52,1.82,2.08,2.44,2.77,3.31,3.55,3.68,3.93,3.99,4.1,4.16,4.16,4.16,4.16,4.16,4.16,4.16,NPgN
BENWELL,0,0.05,0.1,0.1,0.1,0.14,0.25,0.25,0.27,0.36,0.36,0.49,0.59,0.78,1.04,1.19,1.52,1.82,2.07,2.41,2.72,3.24,3.46,3.58,3.84,3.9,4,4.05,4.05,4.05,4.05,4.05,4.05,4.05,NPgN
BILLINGHAM MARSH HOUSE,0,0.02,0.04,0.04,0.04,0.09,0.13,0.14,0.15,0.19,0.19,0.32,0.42,0.65,0.89,1.08,1.48,1.8,2.11,2.53,2.91,3.54,3.81,3.96,4.22,4.29,4.42,4.48,4.48,4.48,4.48,4.48,4.48,4.48,NPgN
BILLY MILL,0,0.03,0.06,0.06,0.06,0.1,0.17,0.17,0.19,0.24,0.24,0.35,0.43,0.61,0.81,0.95,1.25,1.51,1.74,2.05,2.34,2.81,3.02,3.13,3.34,3.39,3.49,3.54,3.54,3.54,3.54,3.54,3.54,3.54,NPgN
BIRTLEY GROVE 66/11KV,0,0.02,0.05,0.05,0.05,0.08,0.12,0.12,0.13,0.17,0.17,0.25,0.32,0.45,0.61,0.71,0.95,1.14,1.32,1.56,1.78,2.15,2.31,2.39,2.56,2.59,2.67,2.71,2.71,2.71,2.71,2.71,2.71,2.71,NPgN
BIRTLEY GROVE 66/20KV,0,0.03,0.05,0.05,0.05,0.08,0.13,0.14,0.14,0.19,0.19,0.25,0.3,0.38,0.5,0.56,0.71,0.84,0.95,1.1,1.23,1.46,1.55,1.61,1.72,1.75,1.79,1.81,1.81,1.81,1.81,1.81,1.81,1.81,NPgN
BLAYDON BURN,0,0.07,0.14,0.14,0.14,0.19,0.33,0.34,0.35,0.48,0.48,0.61,0.71,0.88,1.14,1.28,1.58,1.86,2.09,2.41,2.69,3.16,3.37,3.48,3.73,3.78,3.87,3.92,3.92,3.92,3.92,3.92,3.92,3.92,NPgN
BLUCHER 33/11KV,0,0.04,0.08,0.08,0.08,0.12,0.19,0.2,0.21,0.28,0.28,0.39,0.48,0.67,0.89,1.03,1.35,1.62,1.87,2.2,2.5,3,3.22,3.34,3.56,3.62,3.72,3.77,3.77,3.77,3.77,3.77,3.77,3.77,NPgN
BOLDON DOWNHILL,0,0.02,0.04,0.04,0.04,0.08,0.12,0.12,0.13,0.17,0.17,0.26,0.33,0.48,0.65,0.78,1.04,1.26,1.46,1.74,1.99,2.41,2.59,2.69,2.87,2.92,3,3.04,3.04,3.04,3.04,3.04,3.04,3.04,NPgN
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,0,0.03,0.06,0.06,0.06,0.08,0.13,0.14,0.14,0.19,0.19,0.24,0.27,0.34,0.43,0.48,0.58,0.68,0.77,0.88,0.98,1.14,1.22,1.26,1.34,1.36,1.4,1.41,1.41,1.41,1.41,1.41,1.41,1.41,NPgN
BOWESFIELD 33/11KV,0,0.06,0.12,0.12,0.12,0.16,0.29,0.29,0.3,0.42,0.42,0.53,0.62,0.76,0.99,1.1,1.35,1.6,1.79,2.05,2.29,2.68,2.85,2.94,3.16,3.2,3.28,3.32,3.32,3.32,3.32,3.32,3.32,3.32,NPgN
BOWESFIELD 66/11KV,0,0.03,0.07,0.07,0.07,0.1,0.17,0.17,0.18,0.24,0.24,0.32,0.38,0.49,0.64,0.72,0.91,1.08,1.22,1.42,1.59,1.89,2.01,2.08,2.23,2.26,2.32,2.35,2.35,2.35,2.35,2.35,2.35,2.35,NPgN
BRANCEPETH,0,0.09,0.18,0.18,0.18,0.26,0.44,0.45,0.47,0.62,0.62,0.83,0.98,1.29,1.68,1.91,2.44,2.9,3.3,3.84,4.33,5.15,5.5,5.69,6.08,6.17,6.34,6.42,6.42,6.42,6.42,6.42,6.42,6.42,NPgN
