Primary,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area
ACKLAM,1.616,1.671,1.713,1.83,1.966,2.117,2.279,2.452,2.633,2.823,3.02,3.223,3.433,3.648,3.869,4.095,4.326,4.562,4.802,4.989,5.158,5.312,5.45,5.576,5.702,5.828,5.954,6.08,6.206,6.332,6.458,6.583,6.709,6.835,NPgN
AMBERTON ROAD,1.497,1.549,1.588,1.688,1.804,1.933,2.072,2.219,2.374,2.536,2.704,2.878,3.057,3.241,3.43,3.623,3.82,4.021,4.226,4.386,4.531,4.663,4.78,4.887,4.995,5.103,5.21,5.318,5.425,5.533,5.641,5.748,5.856,5.963,NPgN
ANNFIELD 66/20KV,1.607,1.662,1.704,1.823,1.961,2.115,2.281,2.457,2.642,2.835,3.035,3.243,3.457,3.676,3.901,4.132,4.367,4.607,4.852,5.043,5.216,5.373,5.513,5.641,5.769,5.898,6.026,6.155,6.283,6.412,6.54,6.668,6.797,6.925,NPgN
ASHINGTON,2.108,2.18,2.236,2.413,2.62,2.849,3.096,3.358,3.634,3.922,4.221,4.53,4.849,5.176,5.512,5.856,6.207,6.565,6.93,7.214,7.471,7.706,7.914,8.106,8.297,8.489,8.68,8.872,9.063,9.255,9.446,9.637,9.829,10.02,NPgN
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN
AYCLIFFE INDUSTRIAL,0.698,0.722,0.74,0.785,0.838,0.897,0.96,1.027,1.097,1.171,1.247,1.326,1.408,1.491,1.577,1.665,1.754,1.846,1.939,2.012,2.078,2.137,2.191,2.24,2.289,2.337,2.386,2.435,2.484,2.533,2.582,2.631,2.68,2.729,NPgN
BARDEN FRIAR,0.049,0.05,0.052,0.057,0.064,0.071,0.078,0.086,0.095,0.104,0.113,0.123,0.132,0.143,0.153,0.163,0.174,0.185,0.197,0.205,0.213,0.221,0.227,0.233,0.239,0.245,0.251,0.257,0.262,0.268,0.274,0.28,0.286,0.292,NPgN
BEDALE,1.25,1.293,1.326,1.405,1.498,1.601,1.712,1.829,1.953,2.083,2.217,2.356,2.499,2.646,2.796,2.951,3.108,3.269,3.433,3.56,3.676,3.781,3.875,3.961,4.047,4.132,4.218,4.304,4.39,4.476,4.562,4.648,4.734,4.82,NPgN
BELMONT,1.221,1.263,1.296,1.381,1.481,1.591,1.71,1.837,1.97,2.109,2.253,2.403,2.556,2.714,2.876,3.042,3.212,3.384,3.56,3.698,3.822,3.935,4.036,4.128,4.22,4.313,4.405,4.497,4.59,4.682,4.775,4.867,4.959,5.052,NPgN
BENSHAM,0.317,0.328,0.337,0.402,0.478,0.562,0.653,0.75,0.852,0.958,1.068,1.182,1.3,1.42,1.544,1.671,1.8,1.932,2.067,2.171,2.266,2.353,2.429,2.5,2.571,2.641,2.712,2.782,2.853,2.923,2.994,3.065,3.135,3.206,NPgN
BENTON SQUARE,1.409,1.458,1.495,1.582,1.684,1.797,1.919,2.048,2.184,2.326,2.474,2.626,2.783,2.945,3.11,3.279,3.452,3.629,3.809,3.949,4.076,4.192,4.294,4.389,4.483,4.578,4.672,4.766,4.861,4.955,5.049,5.144,5.238,5.333,NPgN
BENWELL,0.894,0.924,0.948,1.031,1.128,1.235,1.35,1.473,1.602,1.737,1.877,2.022,2.171,2.324,2.481,2.642,2.806,2.974,3.144,3.277,3.398,3.507,3.605,3.695,3.784,3.874,3.963,4.053,4.143,4.232,4.322,4.411,4.501,4.591,NPgN
BILLINGHAM MARSH HOUSE,2.094,2.166,2.221,2.322,2.441,2.572,2.713,2.863,3.021,3.186,3.357,3.534,3.717,3.904,4.096,4.293,4.494,4.699,4.908,5.071,5.218,5.352,5.471,5.581,5.691,5.8,5.91,6.019,6.129,6.239,6.348,6.458,6.567,6.677,NPgN
BILLY MILL,1.334,1.379,1.415,1.491,1.58,1.678,1.784,1.897,2.016,2.14,2.268,2.401,2.538,2.679,2.823,2.971,3.122,3.276,3.433,3.555,3.666,3.766,3.856,3.938,4.021,4.103,4.185,4.268,4.35,4.432,4.515,4.597,4.679,4.761,NPgN
BIRTLEY GROVE 66/11KV,0.912,0.943,0.967,1.026,1.095,1.171,1.253,1.34,1.432,1.527,1.627,1.729,1.835,1.944,2.056,2.17,2.286,2.405,2.526,2.621,2.706,2.784,2.853,2.917,2.981,3.044,3.108,3.171,3.235,3.299,3.362,3.426,3.489,3.553,NPgN
BIRTLEY GROVE 66/20KV,0.365,0.377,0.387,0.423,0.465,0.511,0.561,0.614,0.67,0.729,0.789,0.852,0.917,0.983,1.051,1.121,1.192,1.265,1.339,1.396,1.448,1.496,1.538,1.577,1.616,1.655,1.694,1.732,1.771,1.81,1.849,1.888,1.926,1.965,NPgN
BLAYDON BURN,0.607,0.627,0.643,0.719,0.807,0.905,1.011,1.123,1.241,1.364,1.492,1.624,1.76,1.9,2.043,2.19,2.34,2.493,2.649,2.771,2.881,2.981,3.07,3.152,3.234,3.315,3.397,3.479,3.561,3.643,3.725,3.806,3.888,3.97,NPgN
BLUCHER 33/11KV,0.98,1.013,1.039,1.119,1.213,1.317,1.429,1.549,1.674,1.804,1.94,2.08,2.225,2.374,2.526,2.682,2.841,3.004,3.169,3.299,3.415,3.522,3.616,3.703,3.79,3.877,3.964,4.051,4.138,4.225,4.312,4.398,4.485,4.572,NPgN
BOLDON DOWNHILL,1.865,1.929,1.978,2.045,2.123,2.21,2.304,2.403,2.508,2.617,2.73,2.847,2.968,3.092,3.219,3.349,3.482,3.618,3.756,3.864,3.962,4.051,4.13,4.202,4.275,4.347,4.42,4.492,4.565,4.637,4.71,4.783,4.855,4.928,NPgN
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,0.44,0.455,0.466,0.493,0.524,0.559,0.596,0.635,0.677,0.72,0.765,0.812,0.86,0.909,0.96,1.011,1.064,1.118,1.173,1.216,1.255,1.29,1.321,1.35,1.379,1.408,1.437,1.465,1.494,1.523,1.552,1.581,1.61,1.638,NPgN
BOWESFIELD 33/11KV,0.478,0.495,0.507,0.57,0.643,0.724,0.812,0.904,1.002,1.104,1.21,1.319,1.432,1.548,1.666,1.788,1.912,2.039,2.168,2.268,2.359,2.442,2.516,2.584,2.652,2.719,2.787,2.855,2.922,2.99,3.058,3.126,3.193,3.261,NPgN
BOWESFIELD 66/11KV,0.703,0.727,0.745,0.792,0.847,0.907,0.972,1.042,1.115,1.191,1.27,1.351,1.436,1.522,1.611,1.702,1.794,1.889,1.985,2.06,2.128,2.19,2.245,2.296,2.347,2.397,2.448,2.498,2.549,2.599,2.65,2.701,2.751,2.802,NPgN
