Primary,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area
ACKLAM,85725.221,84874.009,83810.386,82578.012,81890.460,81443.287,81361.450,81416.973,81016.223,81063.215,81491.859,83686.922,85063.075,87213.215,89589.844,91955.119,94849.543,97545.948,100292.003,102455.066,104358.778,106089.851,107767.393,109096.694,110265.768,110889.207,111727.776,112513.685,113448.788,114388.677,115243.993,116004.264,116547.642,117016.961,NPgN
AMBERTON ROAD,121853.003,122098.590,120613.461,119744.845,119363.370,119209.775,119669.694,120143.628,120142.104,120818.469,121599.170,123992.343,125684.489,128239.069,131234.147,134094.204,137890.818,141256.676,144933.416,147761.843,150388.675,152568.091,154810.830,156621.903,158422.860,159759.079,161265.925,162716.366,164256.258,165607.211,167150.912,168419.819,169166.289,169742.358,NPgN
ANNFIELD 66/20KV,108643.840,108496.307,107192.752,106214.044,105752.607,105488.372,105757.166,106070.971,105918.931,106352.226,107024.064,109368.571,110971.563,113402.054,116192.942,118907.861,122411.292,125569.145,128941.101,131557.470,133931.423,135955.888,137999.899,139642.167,141214.238,142288.681,143550.625,144757.287,146075.100,147274.442,148564.764,149645.190,150314.063,150845.505,NPgN
ASHINGTON,100469.650,100032.744,98835.592,97759.637,97228.565,96914.131,97087.565,97357.911,97182.416,97549.485,98254.513,100740.294,102496.255,105126.688,108131.940,111143.070,114881.283,118342.216,121940.425,124818.418,127373.551,129569.242,131734.170,133512.566,135136.239,136222.731,137509.564,138734.537,140072.732,141330.070,142589.508,143658.797,144365.846,144904.873,NPgN
AYCLIFFE FORREST,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NPgN
AYCLIFFE INDUSTRIAL,50219.830,50368.359,49761.546,49429.733,49282.468,49226.316,49417.795,49601.878,49587.094,49813.181,50057.409,50924.757,51506.513,52421.034,53507.983,54522.200,55917.462,57129.394,58479.720,59498.910,60459.335,61247.748,62071.682,62723.229,63412.805,63928.497,64508.508,65067.794,65661.883,66180.440,66792.824,67293.625,67579.662,67805.751,NPgN
BARDEN FRIAR,2911.776,2903.766,2903.917,2898.660,2939.341,2949.312,2985.169,3025.513,3060.359,3314.728,3665.841,4097.990,4502.504,4927.166,5327.477,5760.841,6223.452,6672.207,7116.354,7460.204,7734.469,7997.917,8253.478,8479.049,8567.741,8602.072,8656.568,8706.663,8771.745,8814.970,8847.301,8875.886,8892.775,8906.075,NPgN
BEDALE,87839.799,88083.155,87048.468,86473.723,86258.236,86121.359,86440.005,86735.825,86686.585,87214.724,87901.745,89692.433,90951.430,92749.074,94775.486,96700.174,99279.145,101527.087,104011.908,105854.565,107541.237,108966.479,110456.042,111627.156,112763.021,113559.773,114484.168,115373.296,116342.406,117169.401,118157.829,118965.852,119411.374,119779.698,NPgN
BELMONT,119826.645,120397.904,118933.013,118257.298,117977.871,117872.886,118382.455,118840.411,118850.705,119395.075,119918.264,121767.261,122991.884,124948.750,127314.401,129476.054,132561.635,135182.926,138176.702,140396.588,142517.979,144224.167,146044.836,147467.614,149052.664,150280.114,151638.176,152952.526,154334.088,155513.038,156973.229,158153.630,158797.271,159305.943,NPgN
BENSHAM,80996.753,80919.017,79910.875,79164.053,78753.381,78496.374,78623.139,78773.453,78566.234,78547.851,78676.484,79970.551,80708.294,82000.776,83544.881,84995.863,87008.877,88758.190,90687.888,92145.915,93483.189,94600.298,95754.765,96631.891,97628.344,98305.116,99104.204,99869.584,100711.235,101488.612,102366.226,103096.283,103530.164,103889.725,NPgN
BENTON SQUARE,82988.012,82689.224,81667.358,80788.278,80310.270,80017.422,80110.385,80264.824,80036.982,80076.419,80338.379,81965.712,82976.945,84634.896,86568.539,88449.885,90903.115,93113.902,95465.359,97300.812,98953.029,100366.232,101783.564,102900.461,104036.924,104782.455,105677.232,106529.948,107474.320,108366.763,109301.151,110091.576,110595.220,111002.369,NPgN
BENWELL,97985.035,97874.676,96658.370,95761.713,95309.370,95073.077,95310.330,95608.394,95494.151,95885.339,96460.725,98522.178,99935.038,102093.816,104591.247,107014.680,110156.876,112985.871,116014.003,118369.077,120516.253,122333.234,124169.947,125648.508,127086.733,128088.678,129253.989,130369.426,131578.523,132678.646,133867.830,134861.188,135475.411,135957.677,NPgN
BILLINGHAM MARSH HOUSE,67017.503,66495.720,65673.676,64796.677,64316.592,64007.657,63983.488,64034.004,63728.905,63782.921,64071.329,65632.996,66569.264,68058.671,69701.207,71293.316,73297.124,75126.054,77021.944,78472.299,79773.493,80962.760,82133.660,83038.844,83861.109,84292.234,84879.723,85431.365,86096.465,86753.472,87382.134,87937.010,88316.451,88661.278,NPgN
BILLY MILL,89704.850,89675.758,88542.181,87737.526,87293.067,87019.972,87172.149,87343.144,87120.231,87137.372,87268.772,88637.435,89390.700,90734.323,92340.715,93815.121,95909.372,97700.980,99706.094,101190.193,102577.132,103737.209,104950.672,105858.633,106911.733,107626.436,108472.166,109283.307,110179.501,110998.125,111945.355,112731.495,113188.746,113579.132,NPgN
BIRTLEY GROVE 66/11KV,82342.902,82651.487,81618.140,81076.774,80806.195,80664.551,80923.877,81146.289,81030.846,81219.432,81376.213,82441.108,83006.648,84029.810,85271.968,86327.716,87972.576,89297.028,90876.815,91969.248,93054.567,93938.255,94913.499,95618.510,96500.943,97142.125,97877.605,98589.183,99364.432,100028.000,100887.140,101584.362,101948.847,102274.390,NPgN
BIRTLEY GROVE 66/20KV,48567.770,48688.423,48091.795,47753.607,47594.028,47523.294,47695.286,47868.400,47852.744,48036.658,48253.893,49086.532,49646.977,50536.165,51602.264,52609.055,53986.275,55189.888,56524.227,57544.447,58495.236,59271.040,60077.941,60719.527,61404.665,61920.494,62498.154,63055.030,63643.356,64160.921,64765.623,65260.057,65545.368,65765.463,NPgN
BLAYDON BURN,74806.505,74569.378,73669.325,72920.682,72538.787,72334.780,72488.573,72711.979,72614.428,72830.201,73267.449,74967.903,76165.819,78000.487,80140.179,82280.353,84975.004,87457.639,90059.254,92151.550,94015.868,95589.304,97148.767,98431.700,99657.365,100515.028,101507.697,102455.689,103473.567,104423.878,105398.389,106218.143,106751.254,107146.730,NPgN
BLUCHER 33/11KV,72886.065,72487.567,71586.201,70729.447,70275.799,70007.529,70064.235,70197.503,69975.896,70215.778,70661.949,72404.694,73536.500,75263.063,77183.926,79052.846,81404.930,83551.095,85793.605,87522.197,89083.581,90474.473,91854.169,92947.253,93931.878,94515.884,95256.816,95958.118,96766.365,97534.648,98300.993,98963.225,99400.889,99776.919,NPgN
BOLDON DOWNHILL,54506.261,54224.135,53559.079,52930.457,52593.527,52366.427,52392.684,52460.200,52264.051,52279.457,52467.171,53602.222,54291.672,55412.622,56689.578,57931.165,59531.176,60977.885,62502.825,63680.969,64735.887,65661.838,66584.508,67302.999,68008.688,68434.596,68969.509,69476.501,70056.291,70614.161,71181.210,71667.812,71984.570,72253.258,NPgN
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,65152.356,65782.377,64975.999,64782.966,64729.912,64734.061,65083.741,65353.642,65402.627,65705.042,65885.706,66544.015,66926.118,67597.574,68462.869,69153.570,70356.103,71264.030,72437.843,73218.183,74029.316,74634.382,75350.173,75868.174,76582.873,77187.123,77831.077,78461.531,79111.783,79622.765,80372.810,80960.045,81229.613,81455.791,NPgN
BOWESFIELD 33/11KV,64365.305,64420.973,63657.788,63180.974,62981.944,62929.949,63211.137,63538.415,63637.483,64101.203,64698.634,66266.229,67517.987,69324.780,71454.866,73602.288,76289.054,78773.836,81392.691,83525.379,85439.601,87010.006,88575.734,89907.006,91151.867,92114.183,93172.649,94189.802,95238.275,96179.502,97179.241,98003.498,98524.008,98875.144,NPgN
BOWESFIELD 66/11KV,76510.126,76947.162,75996.769,75595.816,75424.451,75377.133,75718.200,76023.081,76045.359,76403.761,76707.838,77801.677,78513.432,79669.762,81084.264,82348.655,84206.572,85758.536,87563.628,88882.553,90165.892,91186.358,92291.086,93146.487,94132.292,94911.102,95765.399,96594.034,97460.848,98190.903,99120.514,99868.068,100265.827,100582.979,NPgN
BRANCEPETH,88001.017,87597.506,86638.337,85751.321,85438.491,85197.920,85433.974,85724.919,85635.804,86379.660,87574.807,90421.465,92608.823,95587.632,98852.905,102178.388,106156.999,109889.198,113718.328,116773.119,119444.785,121792.828,124094.155,126021.370,127559.307,128549.130,129743.401,130877.022,132131.487,133281.645,134401.304,135357.118,135994.865,136480.467,NPgN
