Primary,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area
ACKLAM,0,0.08,0.08,0.08,0.08,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.19,0.28,0.28,0.28,0.28,0.38,0.47,0.47,0.47,0.5,0.5,0.5,0.55,0.55,0.61,0.61,0.61,0.67,0.67,0.67,0.67,NPgN
AMBERTON ROAD,0,0.15,0.15,0.15,0.15,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.35,0.52,0.52,0.52,0.52,0.71,0.9,0.9,0.9,0.94,0.94,0.94,1.05,1.05,1.17,1.17,1.17,1.28,1.28,1.28,1.28,NPgN
ANNFIELD 66/20KV,0,0.19,0.19,0.19,0.19,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.41,0.6,0.6,0.6,0.6,0.78,0.96,0.96,0.96,1,1,1,1.09,1.09,1.2,1.2,1.2,1.31,1.31,1.31,1.31,NPgN
ASHINGTON,0.01,0.15,0.15,0.15,0.15,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.34,0.51,0.51,0.51,0.51,0.69,0.88,0.88,0.88,0.92,0.92,0.92,1.03,1.03,1.14,1.14,1.14,1.25,1.25,1.25,1.25,NPgN
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN
AYCLIFFE INDUSTRIAL,0,0.06,0.06,0.06,0.06,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.21,0.21,0.21,0.21,0.28,0.35,0.35,0.35,0.36,0.36,0.36,0.4,0.4,0.44,0.44,0.44,0.48,0.48,0.48,0.48,NPgN
BARDEN FRIAR,0,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.08,0.08,0.08,0.1,0.11,0.11,0.11,0.12,0.12,0.12,0.13,0.13,0.14,0.14,0.14,0.15,0.15,0.15,0.15,NPgN
BEDALE,0,0.21,0.21,0.21,0.21,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.45,0.64,0.64,0.64,0.64,0.8,0.97,0.97,0.97,1,1,1,1.08,1.08,1.16,1.16,1.16,1.26,1.26,1.26,1.26,NPgN
BELMONT,0,0.12,0.12,0.12,0.12,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.4,0.4,0.4,0.4,0.54,0.69,0.69,0.69,0.72,0.72,0.72,0.8,0.8,0.89,0.89,0.89,0.97,0.97,0.97,0.97,NPgN
BENSHAM,0,0.06,0.06,0.06,0.07,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.22,0.22,0.22,0.22,0.31,0.39,0.39,0.39,0.41,0.41,0.41,0.46,0.46,0.52,0.52,0.52,0.56,0.56,0.56,0.56,NPgN
BENTON SQUARE,0,0.11,0.11,0.11,0.11,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.24,0.35,0.35,0.35,0.35,0.47,0.59,0.59,0.59,0.61,0.61,0.61,0.67,0.67,0.75,0.75,0.75,0.81,0.81,0.81,0.81,NPgN
BENWELL,0,0.12,0.12,0.12,0.12,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.26,0.4,0.4,0.4,0.4,0.55,0.7,0.7,0.7,0.73,0.73,0.73,0.81,0.81,0.91,0.91,0.91,0.99,0.99,0.99,0.99,NPgN
BILLINGHAM MARSH HOUSE,0,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.16,0.16,0.16,0.16,0.21,0.27,0.27,0.27,0.28,0.28,0.28,0.31,0.31,0.34,0.34,0.34,0.37,0.37,0.37,0.37,NPgN
BILLY MILL,0,0.08,0.08,0.08,0.08,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.17,0.25,0.25,0.25,0.25,0.33,0.41,0.41,0.41,0.42,0.42,0.42,0.47,0.47,0.51,0.51,0.51,0.56,0.56,0.56,0.56,NPgN
BIRTLEY GROVE 66/11KV,0,0.05,0.05,0.05,0.05,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.17,0.17,0.17,0.17,0.23,0.28,0.28,0.28,0.29,0.29,0.29,0.32,0.32,0.35,0.35,0.35,0.38,0.38,0.38,0.38,NPgN
BIRTLEY GROVE 66/20KV,0,0.07,0.07,0.07,0.07,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.22,0.22,0.22,0.22,0.29,0.37,0.37,0.37,0.38,0.38,0.38,0.42,0.42,0.47,0.47,0.47,0.51,0.51,0.51,0.51,NPgN
BLAYDON BURN,0,0.17,0.17,0.17,0.17,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.37,0.54,0.54,0.54,0.54,0.71,0.88,0.88,0.88,0.92,0.92,0.92,1.01,1.01,1.11,1.11,1.11,1.21,1.21,1.21,1.21,NPgN
BLUCHER 33/11KV,0,0.09,0.09,0.09,0.09,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.2,0.29,0.29,0.29,0.29,0.38,0.47,0.47,0.47,0.48,0.48,0.48,0.53,0.53,0.59,0.59,0.59,0.64,0.64,0.64,0.64,NPgN
BOLDON DOWNHILL,0,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.16,0.16,0.16,0.16,0.22,0.27,0.27,0.27,0.28,0.28,0.28,0.31,0.31,0.34,0.34,0.34,0.37,0.37,0.37,0.37,NPgN
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,0,0.07,0.07,0.07,0.07,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.22,0.22,0.22,0.22,0.28,0.34,0.34,0.34,0.36,0.36,0.36,0.39,0.39,0.42,0.42,0.42,0.46,0.46,0.46,0.46,NPgN
BOWESFIELD 33/11KV,0,0.14,0.14,0.14,0.14,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.32,0.48,0.48,0.48,0.48,0.66,0.84,0.84,0.84,0.87,0.87,0.87,0.97,0.97,1.08,1.08,1.08,1.18,1.18,1.18,1.18,NPgN
BOWESFIELD 66/11KV,0,0.08,0.08,0.08,0.08,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.19,0.28,0.28,0.28,0.28,0.37,0.46,0.46,0.46,0.48,0.48,0.48,0.53,0.53,0.59,0.59,0.59,0.64,0.64,0.64,0.64,NPgN
BRANCEPETH,0,0.22,0.22,0.22,0.22,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.47,0.68,0.68,0.68,0.68,0.89,1.09,1.09,1.09,1.13,1.13,1.13,1.23,1.23,1.35,1.35,1.35,1.46,1.46,1.46,1.46,NPgN
BREAMISH STREET,0,0.08,0.08,0.08,0.08,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.18,0.27,0.27,0.27,0.27,0.37,0.48,0.48,0.48,0.5,0.5,0.5,0.56,0.56,0.62,0.62,0.62,0.68,0.68,0.68,0.68,NPgN
BRENDA TRADING,0,0.16,0.16,0.16,0.16,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.35,0.53,0.53,0.53,0.53,0.71,0.9,0.9,0.9,0.94,0.94,0.94,1.04,1.04,1.15,1.15,1.15,1.26,1.26,1.26,1.26,NPgN
CAMPLESHON ROAD,0,0.14,0.14,0.14,0.14,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.31,0.46,0.46,0.46,0.46,0.6,0.75,0.75,0.75,0.78,0.78,0.78,0.86,0.86,0.95,0.95,0.95,1.04,1.04,1.04,1.04,NPgN
CARLEY HILL,0,0.13,0.13,0.13,0.13,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.28,0.42,0.42,0.42,0.42,0.57,0.72,0.72,0.72,0.75,0.75,0.75,0.84,0.84,0.93,0.93,0.93,1.02,1.02,1.02,1.02,NPgN
