Primary,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area
ACKLAM,21,30,42,60,85,117,157,209,275,360,467,607,784,1010,1298,1664,2123,2694,3394,4239,5240,6399,7703,9129,10633,12161,13650,15047,16301,17297,18132,18733,18823,18908,NPgN
AMBERTON ROAD,22,32,44,61,82,108,142,184,239,308,396,510,654,839,1073,1371,1745,2210,2779,3467,4281,5223,6285,7444,8667,9909,11121,12257,13276,14086,14765,15253,15327,15396,NPgN
ANNFIELD 66/20KV,32,47,65,86,111,140,177,223,282,356,451,573,727,924,1174,1492,1890,2384,2989,3720,4585,5587,6714,7946,9245,10565,11851,13058,14141,15001,15723,16241,16319,16391,NPgN
ASHINGTON,29,42,58,78,104,136,175,225,290,371,476,609,780,997,1273,1623,2063,2609,3279,4087,5044,6151,7398,8761,10198,11658,13082,14417,15615,16567,17365,17939,18025,18106,NPgN
AYCLIFFE INDUSTRIAL,18,26,37,46,57,69,84,102,125,154,190,237,296,372,467,588,739,927,1157,1434,1762,2142,2570,3037,3530,4030,4518,4975,5385,5712,5985,6182,6211,6238,NPgN
BARDEN FRIAR,1,2,2,3,4,4,5,7,8,10,12,16,20,25,31,39,49,61,77,95,117,142,171,202,234,267,300,330,358,379,397,410,412,414,NPgN
BEDALE,15,23,31,40,51,63,77,95,119,148,185,233,293,370,468,592,748,940,1176,1461,1799,2189,2629,3109,3615,4129,4631,5101,5523,5858,6140,6342,6372,6400,NPgN
BELMONT,27,39,54,70,89,111,137,170,213,267,335,423,534,675,855,1082,1368,1721,2155,2679,3299,4016,4824,5706,6637,7582,8503,9367,10143,10759,11276,11647,11703,11754,NPgN
BENSHAM,20,29,40,53,69,89,113,144,183,233,297,379,482,615,783,997,1265,1597,2005,2498,3081,3755,4515,5345,6220,7109,7976,8789,9519,10098,10585,10934,10986,11035,NPgN
BENTON SQUARE,23,33,46,62,82,107,137,176,226,290,371,475,607,775,990,1262,1603,2027,2547,3174,3917,4777,5745,6803,7918,9051,10156,11193,12123,12861,13481,13926,13993,14056,NPgN
BENWELL,10,15,21,33,50,73,103,141,191,254,335,439,572,742,959,1235,1582,2012,2540,3178,3933,4807,5792,6868,8003,9156,10280,11335,12281,13032,13663,14116,14185,14249,NPgN
BILLINGHAM MARSH HOUSE,27,39,54,72,93,119,150,190,242,307,390,496,631,803,1022,1299,1647,2079,2609,3248,4005,4881,5867,6945,8081,9236,10362,11417,12365,13117,13748,14202,14270,14333,NPgN
BILLY MILL,14,20,27,40,56,76,102,136,179,234,304,395,510,657,844,1082,1381,1752,2207,2757,3408,4161,5009,5936,6914,7907,8876,9784,10600,11247,11790,12181,12240,12295,NPgN
BIRTLEY GROVE 66/11KV,15,22,31,41,54,70,89,113,144,183,233,297,378,482,614,781,991,1252,1571,1957,2413,2942,3537,4187,4873,5569,6249,6885,7457,7911,8292,8566,8607,8645,NPgN
BIRTLEY GROVE 66/20KV,10,15,20,27,35,46,58,74,95,121,154,196,250,319,406,517,656,829,1041,1296,1599,1949,2344,2775,3229,3691,4141,4563,4942,5243,5496,5677,5704,5730,NPgN
BLAYDON BURN,26,37,52,68,88,111,139,175,221,279,353,449,569,723,919,1166,1477,1863,2336,2907,3583,4365,5246,6208,7223,8254,9259,10202,11048,11719,12283,12688,12749,12805,NPgN
BLUCHER 33/11KV,16,23,32,45,64,87,116,154,203,265,344,446,575,741,952,1219,1556,1974,2486,3105,3837,4685,5640,6684,7785,8903,9993,11016,11933,12662,13274,13713,13779,13841,NPgN
BOLDON DOWNHILL,18,26,35,48,63,82,105,135,174,222,284,363,464,593,757,965,1225,1549,1946,2425,2993,3649,4389,5197,6049,6914,7758,8550,9260,9824,10298,10638,10689,10736,NPgN
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,8,12,17,21,26,32,38,46,57,70,87,108,135,169,212,267,336,421,525,651,800,973,1167,1379,1602,1829,2051,2258,2445,2593,2717,2806,2819,2832,NPgN
BOWESFIELD 33/11KV,16,23,32,43,56,71,91,115,147,187,238,304,387,494,629,800,1015,1282,1609,2004,2472,3013,3623,4289,4991,5704,6400,7052,7638,8103,8493,8773,8816,8855,NPgN
BOWESFIELD 66/11KV,10,14,20,27,37,48,62,81,104,134,172,221,283,362,462,590,751,950,1194,1489,1839,2243,2698,3195,3720,4253,4773,5260,5697,6045,6336,6545,6577,6606,NPgN
BRANCEPETH,40,59,81,106,135,168,208,259,324,406,511,645,815,1031,1306,1654,2091,2633,3298,4100,5049,6147,7384,8735,10160,11607,13018,14341,15529,16472,17264,17832,17917,17996,NPgN
BREAMISH STREET,8,12,17,23,31,41,53,69,90,116,149,192,246,315,403,515,656,830,1044,1302,1608,1961,2360,2795,3254,3721,4176,4602,4985,5289,5544,5727,5755,5780,NPgN
BRENDA TRADING,22,32,45,63,88,118,157,207,271,352,455,589,759,976,1252,1603,2043,2590,3261,4071,5030,6140,7390,8756,10197,11660,13087,14426,15627,16581,17381,17957,18043,18124,NPgN
CAMPLESHON ROAD,32,47,65,83,105,128,156,192,237,294,367,460,577,727,916,1157,1458,1832,2290,2842,3496,4253,5105,6035,7017,8013,8985,9897,10715,11364,11910,12301,12359,12414,NPgN
CARLEY HILL,29,42,59,78,101,128,162,206,261,331,421,535,681,867,1103,1402,1778,2243,2815,3505,4321,5266,6330,7492,8719,9964,11178,12317,13339,14151,14832,15321,15394,15463,NPgN
CARLIN HOW T3 T4,15,22,31,45,64,88,119,159,210,276,359,467,603,778,1001,1284,1639,2081,2622,3276,4050,4946,5955,7058,8221,9402,10554,11635,12605,13375,14021,14485,14556,14621,NPgN
CARR HILL,23,34,47,67,94,127,169,223,293,381,494,640,825,1061,1362,1745,2225,2821,3552,4435,5481,6691,8054,9544,11114,12710,14266,15726,17035,18075,18948,19575,19670,19758,NPgN
CATTERICK CAMP,15,22,31,42,56,73,94,121,157,201,258,331,423,541,692,883,1123,1420,1785,2225,2747,3350,4030,4773,5556,6352,7127,7855,8508,9027,9462,9774,9821,9865,NPgN
CLOSE,3,5,7,10,15,22,31,42,56,75,98,129,167,217,280,360,461,586,739,924,1144,1397,1683,1996,2325,2660,2987,3293,3568,3786,3969,4101,4121,4139,NPgN
CONEYTHORPE,18,26,37,47,58,71,86,106,130,161,201,251,314,395,498,628,791,993,1240,1539,1892,2301,2761,3264,3795,4333,4858,5351,5793,6144,6439,6650,6682,6711,NPgN
CONSETT,30,44,61,83,110,142,183,235,302,386,494,632,808,1033,1318,1680,2135,2699,3391,4226,5215,6359,7648,9056,10542,12050,13521,14901,16139,17122,17947,18540,18629,18712,NPgN
CORPORATION STREET,2,3,4,7,12,19,28,39,54,72,96,127,167,218,282,364,468,596,753,943,1168,1429,1723,2043,2382,2726,3061,3375,3658,3882,4070,4205,4225,4245,NPgN
COWTON,2,3,4,5,7,8,10,13,16,20,25,31,39,50,63,79,100,126,158,196,241,293,352,417,484,553,621,684,740,785,823,850,854,858,NPgN
CRAMLINGTON T1 T3,8,11,16,21,28,36,47,60,77,98,125,160,204,261,333,424,539,681,856,1066,1315,1604,1929,2284,2658,3038,3409,3757,4069,4317,4525,4674,4697,4718,NPgN
CRAMLINGTON T2 T4,7,10,15,20,26,33,43,55,70,90,115,147,188,240,306,390,496,626,787,981,1210,1475,1774,2100,2445,2795,3136,3456,3743,3971,4162,4299,4320,4339,NPgN
DARLEY,7,10,14,18,23,28,34,41,51,63,78,98,123,155,195,246,310,390,487,605,744,904,1085,1283,1492,1704,1910,2104,2278,2416,2532,2615,2627,2639,NPgN
