Fuel type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Natural gas,54394,53762,53133,52328,51489,50319,48890,47182,44942,42644,40278,38380,36353,34046,31416,28776,26268,23862,21438,18942,16357,13613,11150,8978,6891,5109,3496,1917,665,349,85
Hydrogen,2,6,9,10,13,16,18,22,27,32,133,238,346,487,645,829,1032,1223,1436,1674,2019,2453,2830,3094,3374,3566,3682,3791,3867,3944,3948
Bioenergy,3686,3637,3513,3378,3239,3108,2929,2723,2501,2339,2180,2055,1931,1814,1683,1505,1399,1293,1186,1076,965,855,744,640,624,617,615,612,610,608,606
Petroleum,75095,75081,74044,71499,68656,65027,60284,55483,50471,45404,40536,35708,30555,25834,21571,17761,14571,11765,9307,7172,5335,3845,2645,1694,1077,668,439,272,195,142,106
Solid fuel,833,815,779,738,697,661,613,555,492,453,415,381,347,316,284,254,225,196,167,137,106,76,46,17,14,13,12,11,10,9,9
Electricity,36463,36094,35944,36062,36359,36840,37577,38620,40009,41694,43916,45982,48022,50197,52375,54922,57333,59431,61453,63336,65050,66546,67871,69007,69963,70772,71461,72145,72797,72917,72949
