Scenario,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Consumer transformation,27449,31599,39576,57167,76848,99830,126506,165108,211571,280407,372312,485977,640256,803924,965899,1126358,1285374,1522389,1711931,1899050,2080647,2259490,2449329,2615328,2753218,2865708,2952648,3024864,3078413,3125971,3173913,3221876
System transformation,27449,31599,32108,41501,51015,61124,71764,90798,111449,133758,158451,186343,228912,258032,293321,335191,383763,434981,524619,610922,693458,772118,872709,943114,1013535,1082875,1150242,1232143,1290057,1342472,1388667,1428566
Steady progression,27449,31599,42030,95592,157356,228442,308921,415874,550477,702745,855486,1010954,1175365,1331821,1486595,1640469,1793202,1948759,2070783,2192811,2299856,2397681,2479326,2522381,2550429,2577323,2600412,2629107,2650201,2670980,2690986,2710280
Leading the way,27449,31599,35997,41895,47737,53507,59238,85365,113540,144233,177738,213754,255220,300788,346890,393619,440887,500869,555860,611853,668731,726622,778405,816565,853767,889259,924733,967839,996226,1025106,1054419,1084341
NPg Planning Scenario,27449,31467,39084,55532,74862,95444,147258,217863,306612,420766,546905,693031,827247,970302,1131524,1307560,1497441,1678340,1857681,2040879,2231294,2411229,2600240,2772725,2926563,3060656,3183626,3296543,3410687,3525013,3553422,3570195
