Scenario ,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Consumer transformation,6451.295424,6435.656992,6323.06184,6144.787064,6071.747857,6078.671517,6114.350434,6195.539592,6303.174821,6443.869376,6617.271226,6838.714466,7156.735897,7485.208398,7815.812803,8147.735741,8473.613881,8848.371017,9147.964207,9419.077845,9654.364939,9859.689434,10045.12677,10185.40658,10291.37878,10373.66312,10432.98229,10482.66693,10535.2766,10575.16612,10609.97516,10639.01946
System transformation,6464.369002,6450.935792,6365.893485,6281.173268,6219.704493,6189.981633,6191.366707,6248.850774,6334.204599,6439.442324,6566.080132,6716.463676,6936.384992,7153.605693,7407.170082,7690.24809,7992.379962,8319.237728,8678.503875,9008.162287,9303.912804,9565.290342,9833.374828,10017.2734,10143.44657,10246.07732,10339.88509,10454.11251,10522.29399,10587.20015,10640.20859,10682.28765
Steady progression,6464.369002,6450.935792,6451.750062,6554.42779,6605.703134,6646.311891,6681.481667,6722.90524,6781.911147,6863.42815,6965.748452,7095.34397,7253.748648,7425.361403,7613.761855,7818.176131,8037.42202,8312.726536,8593.485172,8885.626905,9179.186491,9462.637585,9728.696454,9954.427529,10158.84449,10340.61833,10498.45763,10624.16656,10719.80833,10813.21608,10904.82601,10996.36392
Leading the way,6451.295424,6435.656992,6286.552144,6054.562721,5926.441609,5901.495261,5914.396776,5983.423298,6122.141339,6326.333629,6549.725176,6808.258284,7167.753174,7542.350464,7913.930913,8267.441194,8580.089343,8856.898794,9070.006579,9252.690215,9391.937523,9484.046536,9545.779664,9559.850958,9563.534599,9586.704838,9606.559793,9629.284572,9632.421902,9628.27388,9618.435384,9601.533919
NPg Planning Scenario,6450.011092,6419.518412,6282.91708,6247.680113,6267.347158,6318.588436,6402.068736,6523.651278,6688.591389,6902.512788,7173.191395,7535.85976,7855.837808,8166.053099,8524.569668,8880.325167,9289.284522,9674.266596,10016.1668,10350.17713,10662.49129,10922.73049,11148.33874,11364.19418,11567.07521,11741.2289,11903.94427,12056.67282,12210.30042,12358.08353,12380.24785,12389.35944
NPg Planning Scenario without customer flexibility,6451.157275,6421.893819,6288.551854,6259.17139,6286.50631,6350.841757,6455.342345,6601.233022,6798.929346,7060.205133,7382.018826,7805.648609,8185.54037,8549.774316,8952.283467,9350.970601,9815.468183,10250.83048,10629.71764,10992.13099,11326.80777,11606.14681,11843.41957,12068.12331,12277.02544,12455.23125,12619.81296,12772.57976,12925.40602,13071.48284,13091.24956,13097.73511
