Emission type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Heating oil,1.161,1.146,1.135,1.098,1.059,0.98,0.908,0.844,0.782,0.721,0.659,0.598,0.537,0.483,0.405,0.352,0.277,0.199,0.147,0.098,0.1,0.102,0.104,0.102,0.1,0.099,0.098,0.095,0.093,0.093,0.09
Natural gas,13.623,13.444,13.261,13.069,12.897,12.686,12.487,12.294,12.106,11.923,11.018,10.113,9.235,8.358,7.486,6.626,5.058,3.657,2.421,1.339,0.493,0,0,0,0,0,0,0,0,0,0
Hydrogen,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.004,0.006,0.007,0.008,0.008,0.008,0.098,0.156,0.188,0.198,0.191,0.191,0.178,0.153,0.116,0.125,0.123,0.119,0.116,0.113,0.11
Bioenergy,0.023,0.029,0.035,0.041,0.047,0.052,0.058,0.062,0.067,0.072,0.078,0.084,0.09,0.097,0.104,0.109,0.116,0.123,0.13,0.137,0.137,0.122,0.079,0.048,0.027,0.015,0.015,0.014,0.013,0.013,0.012
Petrol,5.211,5.193,5.045,4.693,4.321,3.924,3.507,3.135,2.791,2.461,2.185,1.904,1.573,1.284,1.051,0.853,0.684,0.541,0.423,0.326,0.247,0.184,0.134,0.096,0.068,0.046,0.031,0.021,0.014,0.009,0.006
Diesel,11.267,11.313,11.269,11.08,10.84,10.43,9.79,9.106,8.345,7.529,6.702,5.876,5.03,4.249,3.522,2.865,2.328,1.856,1.443,1.087,0.785,0.551,0.367,0.23,0.134,0.077,0.048,0.029,0.018,0.011,0.006
Electricity,3.365,2.293,1.849,1.684,1.361,1.178,0.881,0.752,0.949,0.853,0.913,0.819,0.735,0.659,0.64,0.587,0.567,0.547,0.535,0.514,0.467,0.493,0.487,0.499,0.483,0.474,0.475,0.426,0.418,0.379,0.341
Total Emissions,34.65,33.419,32.594,31.664,30.525,29.253,27.631,26.194,25.041,23.559,21.559,19.399,17.206,15.137,13.215,11.4,9.127,7.08,5.286,3.698,2.419,1.642,1.348,1.128,0.928,0.837,0.789,0.704,0.673,0.618,0.566
