Scenario,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Consumer transformation,197,545,876,1270,1730,2257,2833,3476,4189,5004,5926,6977,8162,9507,11005,12666,14486,16448,18549,20747,23018,25340,27694,30030,32386,34704,36956,39201,40844,42176,43422
System transformation,197,330,487,685,910,1173,1476,1828,2233,2686,3204,3816,4467,5204,6049,7007,8083,9289,10629,12102,13688,15384,17172,19014,20898,22801,24672,26051,26672,26791,26438
Steady progression,197,213,290,375,476,577,690,808,946,1088,1240,1410,1578,1759,1966,2192,2441,2725,3033,3374,3763,4186,4662,5188,5760,6386,7071,7807,8588,9415,10270
Leading the way,197,368,576,817,1106,1439,1813,2231,2709,3260,3905,4648,5504,6488,7600,8842,10213,11701,13298,14967,16678,18422,20180,21899,23623,25311,26933,28559,29559,29643,29413
NPg Planning Scenario,32,189,475,875,1398,2041,3553,5907,9118,13177,18082,23811,29946,36471,43360,50598,57286,63424,69010,73984,78337,81809,84562,86611,87985,88688,89089,89407,89638,89860,90077
