Demand breakdown,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Domestic,2.746,2.745,2.745,2.753,2.761,2.771,2.784,2.798,2.813,2.83,2.849,2.862,2.874,2.886,2.898,2.908,2.919,2.93,2.941,2.951,2.961,2.971,2.981,2.991,3.001,3.011,3.02,3.03,3.039,3.049,3.058
I & C,3.801,3.764,3.73,3.697,3.666,3.637,3.609,3.583,3.558,3.535,3.513,3.493,3.473,3.455,3.439,3.423,3.409,3.395,3.383,3.371,3.36,3.35,3.341,3.332,3.323,3.316,3.308,3.301,3.295,3.288,3.282
Heat pumps - domestic,0.023,0.026,0.035,0.05,0.067,0.087,0.108,0.134,0.162,0.192,0.226,0.259,0.289,0.319,0.35,0.68,1.004,1.318,1.625,1.923,2.22,2.518,2.809,3.101,3.391,3.674,3.947,4.216,4.481,4.726,4.71
Heat pumps - I & C,0.043,0.047,0.053,0.061,0.067,0.072,0.078,0.087,0.096,0.105,0.114,0.122,0.129,0.132,0.14,0.212,0.28,0.344,0.407,0.469,0.529,0.589,0.646,0.702,0.758,0.812,0.866,0.919,0.972,1.024,1.017
EV,0.016,0.025,0.041,0.079,0.138,0.208,0.281,0.365,0.466,0.58,0.708,0.816,0.919,1.034,1.152,1.341,1.513,1.641,1.757,1.854,1.942,2.003,2.056,2.1,2.136,2.162,2.179,2.189,2.193,2.19,2.183
