Scenario,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Consumer transformation,26353,37328,74278,131596,203332,303722,436413,603754,805616,1046385,1331375,1655344,2034198,2435229,2835593,3213844,3548423,3830519,4054689,4223447,4347769,4431205,4462658,4460380,4447469,4425086,4393799,4353742,4303533,4244713,4171426,4086045
System transformation,26353,37328,58015,85178,122114,170653,234986,318999,427076,564934,738256,951624,1220735,1523686,1871251,2255453,2644902,3036877,3408369,3734852,4009521,4226193,4387647,4502783,4503922,4479049,4442678,4392217,4324916,4267504,4203068,4133725
Steady progression,26353,37328,57745,83805,116239,158885,213262,281557,365938,469787,596128,747496,930295,1129496,1356716,1610789,1888053,2207186,2542826,2884130,3222142,3517763,3784338,4018993,4217923,4382969,4506090,4538842,4567487,4592842,4615677,4636643
Leading the way,26353,37328,72016,124935,201814,301414,435065,607515,821021,1093022,1424698,1812382,2240703,2679791,3105675,3488656,3801724,4041478,4208832,4313677,4376483,4363767,4327009,4272531,4202514,4112528,4004466,3878557,3733090,3566248,3376065,3160521
NPg Planning Scenario,26353,37328,63649,116333,221493,358149,531397,723729,947174,1202124,1483417,1851101,2206223,2550564,2880984,3194069,3487300,3756887,4003149,4225037,4422951,4596745,4705938,4793704,4861803,4913437,4951683,4978310,4996803,5008685,5016402,5021138
