Scenario,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Consumer transformation,26353,48816,85378,138243,199929,283107,390798,591758,793697,996615,1200512,1405387,1743832,2084541,2427512,2772745,3120242,3308699,3497584,3686897,3876637,4066804,4125754,4117329,4098209,4069016,4030767,3983677,3927599,3862044,3786452,3699764
System transformation,26353,39495,58283,83507,115349,155299,206418,312686,419409,526587,634219,742307,1008078,1275692,1545150,1816451,2089596,2410459,2732610,3056051,3380781,3706800,3922611,4088850,4195461,4186739,4163257,4124784,4070293,4021726,3963395,3894709
Steady progression,26353,39601,58354,82912,111155,147080,191496,273715,356283,439202,522470,606089,790179,975602,1162357,1350446,1539869,1842394,2147351,2454741,2764562,3076814,3362836,3630812,3872204,4083210,4231311,4260558,4285024,4305178,4321674,4335203
Leading the way,26353,48674,82957,131996,198997,282283,391975,621610,852548,1084787,1318327,1553169,1921193,2291417,2663841,3038465,3415290,3535640,3656102,3776676,3897361,4018157,3968358,3904582,3826500,3733130,3623383,3495933,3349097,3181566,2991599,2777407
Net Zero Early,26353,36956,63278,115961,221122,357777,531025,723357,946802,1201752,1483046,1850729,2205852,2550192,2880613,3193697,3486929,3756515,4002778,4224666,4422579,4596373,4705566,4793332,4861431,4913065,4951311,4977938,4996432,5008313,5016030,5020767
