Consumption type,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Domestic,10.51,10.46,10.46,10.45,10.46,10.46,10.48,10.50,10.52,10.56,10.57,10.58,10.59,10.59,10.54,10.49,10.45,10.40,10.36,10.31,10.27,10.23,10.18,10.14,10.10,10.06,10.01,9.97,9.94
I & C,23.21,23.49,23.69,23.74,23.63,23.52,23.39,23.27,23.19,23.09,22.99,22.90,22.82,23.15,23.08,23.01,22.95,22.89,22.84,22.79,22.74,22.70,22.66,22.62,22.58,22.54,22.51,22.47,22.43
Heat pumps - domestic,0.17,0.22,0.29,0.48,0.75,1.07,1.15,1.21,1.26,1.32,1.37,1.43,1.48,1.73,2.62,3.51,4.37,5.20,5.94,6.58,7.17,7.97,8.80,9.63,10.44,11.25,12.06,12.86,13.45
Heat pumps - I & C,0.14,0.16,0.17,0.19,0.20,0.24,0.28,0.31,0.35,0.38,0.40,0.43,0.46,0.49,0.75,1.01,1.26,1.51,1.74,1.97,2.18,2.39,2.60,2.81,3.01,3.21,3.41,3.61,3.80
EV,0.28,0.45,0.83,1.28,1.90,2.51,3.12,3.76,4.53,5.27,5.92,6.52,7.05,7.48,7.84,8.15,8.41,8.64,8.82,8.96,9.06,9.14,9.19,9.23,9.25,9.27,9.29,9.31,9.33
