Demand type,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Electric HGVs,0.584,2.352,5.391,10.192,17.949,29.537,45.879,67.650,94.960,127.024,162.331,199.151,235.399,269.366,299.923,326.459,348.729,366.796,380.974,391.805,399.899,405.870,410.290,413.617,416.199,418.291,420.074,421.667,423.149
Electric Buses,0.893,1.333,1.980,2.763,3.678,4.712,5.847,7.094,8.431,9.822,11.228,12.628,13.994,15.294,16.498,17.581,18.527,19.327,19.982,20.502,20.911,21.222,21.448,21.604,21.701,21.752,21.772,21.771,21.761
Electrolysers,0.000,0.558,3.055,86.291,130.798,179.360,235.255,303.150,411.822,453.998,455.656,499.868,544.400,546.578,612.718,602.819,606.687,615.591,664.729,796.863,900.734,993.973,1095.578,1162.225,1223.266,1258.851,1275.415,1321.490,1329.852
Large industry Fuel Switching,28.969,43.454,57.939,72.423,97.249,122.075,146.901,171.727,196.553,218.360,240.167,261.974,283.781,305.588,331.478,357.368,383.258,409.148,435.038,473.026,511.015,549.003,586.991,624.979,624.979,624.979,624.979,624.979,624.979
