Emission type,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Natural gas,10.85397264,10.68954822,10.51816669,10.27914022,9.987222661,9.638279831,9.180839788,8.711221512,8.228017237,7.840272845,7.426203883,6.954973183,6.417655877,5.878277222,5.365993826,4.874509011,4.379344942,3.869390655,3.341506343,2.780851678,2.27767496,1.833995422,1.407795449,1.043625132,0.71414925,0.391588661,0.135898101,0.071346339,0.017288933
Hydrogen,0.000683658,0.000727077,0.000717157,0.000776772,0.00064973,0.00063455,0.000941494,0.000960663,0.00396029,0.005950366,0.007395202,0.009297332,0.011900579,0.014207714,0.017002627,0.019108613,0.021453974,0.023705699,0.026808637,0.034564279,0.040794632,0.045413954,0.049873348,0.053049526,0.05507445,0.056199573,0.057451587,0.05820506,0.057656781
Bioenergy,0.054906417,0.052795306,0.050624745,0.0485716,0.045784318,0.042564357,0.039093718,0.036562872,0.0340782,0.032123357,0.030184196,0.028349881,0.026298588,0.023529809,0.021869721,0.020201936,0.018541212,0.016810988,0.015086136,0.013360946,0.011635514,0.009997172,0.009759544,0.009645494,0.009605859,0.009566645,0.009534629,0.009503468,0.009472338
Petrol,18.15053935,17.52993135,16.83781335,15.95845405,14.80362403,13.62691998,12.39501143,11.16067651,9.972336309,8.797047098,7.545288197,6.395609484,5.35452095,4.422152055,3.639418923,2.948135804,2.34051249,1.809247099,1.34977123,0.973495032,0.667412015,0.422194504,0.269737232,0.168717709,0.112201859,0.070691091,0.051806448,0.038983533,0.03010756
Solid fuel,0.264836707,0.251007922,0.236966918,0.22461675,0.208382505,0.188701242,0.167395804,0.154046927,0.140994923,0.129514446,0.118130671,0.107336084,0.096630557,0.086424594,0.076524733,0.066596892,0.056699072,0.046440719,0.03617493,0.02588364,0.015621381,0.005832849,0.00489016,0.004490291,0.004111161,0.003738591,0.003408833,0.003215632,0.003040882
Electricity,5.334347153,4.848137534,4.914598454,4.601739131,3.494864333,2.876274052,2.564870682,2.389998047,1.985257621,1.661592418,1.237325455,0.963342404,0.747949022,0.554479806,0.537786999,0.505656989,0.494633554,0.472254317,0.440217351,0.305838433,0.281818872,0.267417716,0.257858059,0.173019581,0.158014742,0.126483519,0.12604585,0.107089365,0.105338071
Total Emissions,23.54047658,22.43159127,21.80375371,20.60954156,18.34492241,16.54639294,14.99991733,13.5881981,11.99563242,10.49671324,8.820193051,7.3965991,6.140669139,5.014369383,4.21607827,3.493103341,2.875141229,2.322018103,1.831883355,1.327258689,1.001661033,0.745023347,0.587228183,0.404432309,0.33489691,0.262940828,0.244838514,0.213781427,0.20257475
