Additional Energy consumption breakdown,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Electrolysers,0.000,0.001,0.079,0.191,0.224,0.298,0.593,0.906,1.291,1.897,2.720,3.713,5.103,5.828,8.596,8.921,9.369,9.844,10.757,12.740,13.967,14.915,15.498,16.257,17.012,17.251,17.230,16.957
Large industry Fuel Switching,0.183,0.244,0.305,0.406,0.506,0.607,0.708,0.809,0.942,1.075,1.208,1.341,1.474,1.653,1.833,2.012,2.191,2.371,2.739,3.107,3.475,3.843,4.211,4.817,5.423,6.029,6.635,7.241
