Scenario,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Electric Engagement,3.264,3.853,4.029,4.224,4.523,4.837,5.184,5.567,5.973,6.404,6.312,6.751,7.179,7.619,8.075,8.523,9.020,9.536,10.052,10.982,11.678,12.177,12.660,13.052,13.382,13.723,14.060,14.389
Hydrogen Evolution,3.264,3.797,3.922,4.054,4.182,4.304,4.463,4.674,4.892,5.136,5.343,5.588,5.775,5.434,5.570,6.120,6.291,6.501,6.722,6.970,7.196,7.433,7.666,7.885,8.129,8.370,8.603,8.806
Holistic Transition,3.264,3.853,4.029,4.224,4.537,4.852,5.208,5.587,5.537,6.385,6.784,7.218,7.585,7.955,8.306,8.676,9.103,9.594,10.062,10.552,11.036,11.506,11.901,12.208,12.474,12.744,13.019,13.287
NPg Reference Scenario,3.264,3.853,4.029,4.224,4.563,4.910,5.304,5.713,5.701,6.595,7.033,7.513,7.937,8.366,8.781,9.218,9.724,10.281,10.811,11.369,11.916,12.440,12.885,13.211,13.466,13.734,13.997,14.253
Counterfactual,3.264,3.832,3.938,4.041,4.094,4.167,4.238,4.333,4.445,4.596,4.725,4.887,5.001,5.091,5.166,5.246,5.347,5.480,5.626,5.769,5.480,5.648,5.811,5.985,6.164,6.336,6.506,6.668
