Demand type,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Electrolysers,0,0,9,22,26,34,68,103,147,217,310,424,583,665,981,1018,1070,1124,1228,1454,1594,1703,1769,1856,1942,1969,1967,1936
Large industry Fuel Switching,21,28,35,46,58,69,81,92,108,123,138,153,168,189,209,230,250,271,313,355,397,439,481,550,619,688,757,827
