Scenario,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Electric Engagement,53264,67004,87231,114910,156237,201083,240632,268701,290782,311470,331294,351973,412836,597647,781383,959638,1131567,1293580,1447275,1586095,1722910,1865639,2007231,2144805,2273911,2395683,2517385,2613047
Hydrogen Evolution,53264,62270,79374,98208,119422,137338,154056,171463,189009,206553,223662,241609,295731,460459,624409,785091,941633,1090601,1238821,1384351,1529557,1673538,1798414,1897741,1985845,2070109,2142572,2192379
Holistic Transition,53264,66724,86510,113580,153996,197849,236524,263963,285553,305798,325212,345472,405056,586148,766188,940861,1109723,1269479,1420806,1557063,1691409,1831578,1974784,2115787,2244547,2367941,2488806,2584160
NPg Reference Scenario,53264,70769,97207,134529,192435,254775,307901,349733,379093,402101,422771,443995,505324,690349,873946,1050108,1216561,1372860,1515733,1639103,1759624,1888553,2017816,2148956,2276386,2397722,2519111,2614517
Counterfactual,53264,60432,68219,77424,87828,89636,97741,124562,151807,179238,206136,234453,267400,302166,335612,368072,400824,434501,469086,503228,540414,573236,588294,602950,617204,631357,646031,659448
