Consumption type,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Domestic,10.935,10.954,10.978,11.006,11.041,11.084,11.132,11.188,11.255,11.300,11.327,11.353,11.381,11.410,11.438,11.488,11.537,11.587,11.636,11.686,11.752,11.817,11.883,11.949,12.014,12.086,12.158,12.230
I & C,22.676,23.026,23.313,23.321,23.338,23.293,23.178,23.224,23.124,23.030,22.944,22.863,22.970,22.900,22.836,22.777,22.722,22.731,22.684,22.639,22.598,22.559,22.557,22.521,22.486,22.452,22.418,22.384
Heat pumps - domestic,0.113,0.156,0.221,0.317,0.492,0.681,0.827,0.930,0.993,1.039,1.080,1.122,1.440,2.439,3.349,4.203,5.006,5.759,6.437,7.018,7.579,8.171,8.750,9.323,9.872,10.389,10.902,11.279
Heat pumps - I & C,0.179,0.196,0.206,0.221,0.253,0.287,0.319,0.347,0.373,0.399,0.424,0.449,0.472,0.706,0.936,1.160,1.379,1.586,1.788,1.979,2.166,2.351,2.534,2.715,2.893,3.069,3.243,3.416
EV,0.461,0.685,1.095,1.679,2.309,2.961,3.637,4.452,5.226,5.937,6.594,7.207,7.874,8.530,9.110,9.644,10.114,10.540,10.900,11.214,11.488,11.726,11.931,12.083,12.214,12.327,12.425,12.511
Electric HGVs,0.005,0.069,0.131,0.230,0.379,0.588,0.867,1.217,1.628,2.080,2.552,3.017,3.452,3.844,4.184,4.469,4.701,4.882,5.021,5.125,5.201,5.258,5.301,5.334,5.361,5.383,5.404,5.423
Electric Buses,0.021,0.064,0.089,0.119,0.153,0.189,0.230,0.273,0.318,0.363,0.409,0.453,0.495,0.534,0.569,0.600,0.626,0.647,0.664,0.677,0.687,0.694,0.699,0.703,0.704,0.705,0.705,0.704
