Demand breakdown,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Domestic,2289,2291,2295,2298,2303,2308,2314,2322,2333,2343,2349,2354,2360,2366,2372,2382,2393,2403,2413,2424,2437,2451,2465,2478,2492,2507,2522,2537
I & C,3840,4063,4235,4406,4703,4754,4730,4799,4782,4765,4750,4736,4852,4840,4829,4819,4810,4835,4827,4820,4813,4806,4835,4829,4823,4817,4812,4806
Heat pumps - domestic,32,44,62,89,138,192,234,263,281,294,306,318,409,698,962,1210,1443,1661,1858,2027,2190,2361,2529,2696,2856,3007,3158,3269
Heat pumps - I & C,34,37,39,41,48,54,60,66,71,76,80,85,89,133,176,218,259,298,336,372,407,441,475,508,541,574,606,639
EV,114,162,253,381,517,657,801,974,1138,1287,1424,1551,1691,1829,1952,2065,2164,2254,2330,2397,2455,2505,2548,2580,2607,2631,2651,2668
Electric HGVs,0,7,13,22,37,57,84,117,157,201,246,291,333,371,404,431,453,471,484,494,502,507,511,515,517,519,521,523
Electric Buses,2,6,9,12,15,18,22,27,31,35,40,44,48,52,55,58,61,63,65,66,67,68,68,68,69,69,69,69
