Scenario,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Electric Engagement,153318,214646,305265,429877,592111,823823,1102746,1401426,1692952,1980784,2260174,2529934,2821060,3104471,3372408,3623689,3853701,4064963,4200089,4317680,4419258,4506781,4580279,4636448,4683300,4721947,4754513,4781607
Hydrogen Evolution,153318,214646,305265,429877,592111,823823,1102746,1401426,1692952,1980784,2260174,2529934,2821060,3104471,3372408,3623689,3853701,4064963,4246885,4406242,4544987,4665378,4767398,4846250,4912320,4966953,5012818,5050825
Holistic Transition,153318,214646,305265,429877,592111,823823,1102746,1401426,1692952,1980784,2260174,2529934,2821060,3104471,3372408,3623689,3853701,4064963,4153292,4229118,4293529,4348186,4393157,4426644,4454282,4476941,4496208,4512390
NPg Reference Scenario,153318,232928,378060,592280,841285,1113833,1404309,1751455,2085300,2409491,2720667,3016036,3289444,3549426,3788681,4006483,4199720,4371931,4513660,4633301,4734280,4819305,4889392,4940205,4982563,5017940,5048518,5075143
Counterfactual,153318,199998,258365,352923,496105,689395,917668,1170968,1424562,1682280,1940796,2198788,2453674,2688475,2910458,3119118,3312357,3491118,3644567,3780146,3898538,4001265,4088324,4155261,4211191,4258233,4297504,4330477
