Demand breakdown,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Domestic,1.901,1.894,1.896,1.897,1.902,1.905,1.915,1.924,1.932,1.942,1.944,1.946,1.948,1.948,1.939,1.931,1.923,1.914,1.906,1.898,1.891,1.883,1.875,1.867,1.859,1.851,1.843,1.836,1.830
I & C,3.947,4.136,4.299,4.362,4.345,4.364,4.377,4.353,4.357,4.339,4.322,4.306,4.291,4.517,4.505,4.494,4.483,4.473,4.464,4.456,4.448,4.440,4.433,4.426,4.420,4.414,4.407,4.401,4.395
Heat pumps - domestic,0.043,0.053,0.072,0.118,0.185,0.265,0.284,0.297,0.311,0.324,0.337,0.351,0.365,0.426,0.647,0.868,1.083,1.289,1.471,1.631,1.776,1.977,2.183,2.387,2.589,2.790,2.989,3.187,3.333
Heat pumps - I & C,0.042,0.046,0.051,0.055,0.060,0.071,0.082,0.092,0.102,0.110,0.119,0.127,0.135,0.143,0.220,0.296,0.370,0.442,0.510,0.576,0.639,0.701,0.762,0.823,0.883,0.942,1.000,1.057,1.114
EV,0.051,0.073,0.128,0.192,0.278,0.363,0.449,0.537,0.644,0.747,0.838,0.921,0.995,1.056,1.106,1.149,1.186,1.217,1.242,1.262,1.277,1.288,1.296,1.301,1.305,1.307,1.310,1.313,1.317
