Scenario ,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Consumer Transformation,5995.712559,6231.897847,6499.512521,6711.526093,6891.562474,7130.193904,7309.759074,7451.406292,7650.910626,7831.09897,7996.184655,8153.15143,8302.381687,8722.192824,9110.719048,9487.388771,9845.89915,10183.8288,10482.25698,10744.06309,10977.08038,11256.77734,11533.48964,11803.1248,12063.01837,12319.05521,12572.39372,12823.54179,13024.31081
System Transformation,6021.497055,6268.849153,6555.100224,6760.646909,6909.930106,7103.895986,7293.259839,7452.669477,7650.820764,7826.761395,7995.787189,8160.513242,8321.669756,8792.788657,9049.113617,9299.074447,9547.625773,9797.27353,10044.95934,10285.23721,10531.18934,10791.74396,11072.05218,11377.46327,11704.49413,12051.0731,12414.03982,12796.33046,13175.17392
Leading The Way,5995.712559,6231.096783,6498.81177,6720.34205,6916.798092,7169.978353,7351.555524,7492.840604,7742.013068,8202.527517,8643.329692,9068.461146,9474.334362,10095.41165,10457.55682,10802.83569,11126.72912,11425.72523,11675.73164,11890.77339,12083.31242,12327.86568,12574.18742,12767.05758,12747.90383,12728.43257,12709.65617,12691.29411,12673.99236
NPg Best View (no TouT),5995.712559,6230.403368,6495.350229,6703.510658,6883.662883,7124.200686,7302.134749,7444.882573,7641.576486,7817.181574,7979.144442,8132.433734,8274.36738,8682.406232,9055.534501,9414.896822,9754.757657,10073.51204,10353.40721,10599.83546,10819.07917,11086.85799,11353.13069,11614.21599,11868.50096,12119.52803,12368.50272,12615.28609,12811.94753
Falling Short,6021.389369,6273.484491,6513.526702,6675.287739,6768.777811,6913.64966,7073.196722,7213.073379,7376.352363,7514.08702,7645.146006,7772.551206,7893.282672,8256.141417,8373.665246,8489.700199,8593.375873,8692.856329,8786.803046,8872.715631,8952.076715,9023.896906,9089.046096,9148.114761,9200.033328,9248.178769,9293.668968,9336.142927,9370.306132
NPg Best View,5986.164637,6206.841958,6452.951423,6636.263825,6790.132732,7002.638896,7157.985186,7277.915904,7448.612809,7598.457178,7734.11356,7863.489208,7984.231654,8375.205427,8734.315833,9081.68122,9411.37057,9721.472159,9994.440387,10235.59242,10450.83327,10715.73875,10980.03499,11239.68112,11493.23124,11743.62515,11991.85622,12237.85302,12433.63611
