Scenario,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
High hydrogen,28516,30399,38496,50162,56037,85024,117629,152861,190775,232891,281198,328815,372916,415456,457545,497966,539749,576692,611022,634594,655369,676332,697431,718675,740061,759601,779226,798929,818678,838448,858236
Deep electrification,28891,31647,43558,60930,80655,113738,147830,187295,229669,275588,326492,376567,422986,467959,513882,774176,1034444,1286897,1534773,1774452,2011405,2250826,2487369,2725529,2964171,3202052,3440190,3678156,3915741,4141298,4161549
Early net zero,28891,31647,40947,57755,77127,119301,161758,204988,249641,297155,566580,836862,1103744,1369130,1634317,1897299,2161023,2419561,2671480,2916405,3146472,3379811,3614936,3851367,4079264,4100002,4119067,4137796,4156203,4174296,4192357
