Emission type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Heating oil,1.161,1.146,1.111,1.069,1.030,1.004,0.984,0.914,0.845,0.778,0.710,0.643,0.575,0.514,0.431,0.372,0.289,0.224,0.168,0.112,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Natural gas,13.623,13.444,13.257,13.066,12.894,12.692,12.500,12.311,12.125,11.942,11.753,11.563,11.380,11.199,11.020,10.043,9.075,8.129,7.200,6.283,5.462,4.644,3.835,3.034,2.241,1.453,0.672,0.000,0.000,0.000,0.000
Hydrogen,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.003,0.003,0.004,0.005,0.008,0.011,0.012,0.013,0.015,0.016,0.016,0.016,0.016,0.015,0.015,0.014,0.013,0.013,0.012,0.011
Bioenergy,0.023,0.029,0.035,0.041,0.047,0.052,0.057,0.063,0.068,0.073,0.078,0.084,0.090,0.097,0.104,0.110,0.119,0.128,0.136,0.145,0.148,0.150,0.152,0.152,0.152,0.152,0.152,0.144,0.085,0.028,0.027
Petrol,5.079,5.022,4.931,4.697,4.394,4.015,3.586,3.204,2.860,2.535,2.226,1.953,1.708,1.503,1.321,1.146,0.975,0.800,0.649,0.532,0.433,0.350,0.280,0.221,0.172,0.130,0.097,0.070,0.050,0.035,0.024
Diesel,11.027,11.088,11.133,11.055,10.860,10.509,9.929,9.356,8.741,8.099,7.442,6.770,6.094,5.439,4.806,4.192,3.661,3.151,2.688,2.262,1.883,1.558,1.262,0.993,0.752,0.534,0.361,0.228,0.134,0.072,0.038
Electricity,3.399,2.750,2.062,1.939,1.895,1.569,1.213,1.079,1.056,0.844,0.868,0.817,0.761,0.712,0.688,0.698,0.706,0.650,0.613,0.633,0.615,0.599,0.577,0.524,0.500,0.472,0.444,0.421,0.404,0.375,0.341
Total Emissions,34.313,33.481,32.530,31.868,31.119,29.842,28.270,26.927,25.696,24.272,23.080,21.832,20.611,19.469,18.374,16.569,14.835,13.094,11.467,9.981,8.611,7.318,6.123,4.940,3.832,2.756,1.739,0.876,0.687,0.522,0.441
