Emission type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Heating oil,4251,4196,4069,3914,3770,3675,3602,3345,3094,2847,2600,2355,2107,1883,1580,1362,1058,821,614,408,204,0,0,0,0,0,0,0,0,0,0
Natural gas,66686,65814,64896,63959,63117,62131,61189,60264,59355,58459,57536,56602,55706,54823,53947,49162,44424,39795,35248,30757,26736,22734,18771,14850,10971,7115,3290,0,0,0,0
Hydrogen,2,5,8,10,13,15,19,26,33,41,64,93,129,175,230,397,573,745,917,1081,1240,1361,1472,1573,1658,1732,1797,1856,1910,1962,2009
Bioenergy,1478,1869,2238,2607,2976,3336,3678,4018,4349,4688,5014,5372,5769,6228,6629,7056,7608,8173,8733,9287,9460,9629,9733,9746,9735,9746,9731,9214,5460,1807,1706
Petrol,22020,21773,21377,20366,19049,17406,15548,13893,12398,10989,9650,8466,7404,6517,5726,4969,4228,3468,2813,2305,1876,1518,1214,958,744,565,420,305,218,152,104
Diesel,45422,45672,45857,45537,44733,43288,40898,38536,36004,33360,30655,27887,25103,22402,19794,17267,15081,12979,11070,9316,7755,6416,5199,4092,3096,2200,1485,938,553,295,158
Electricity,36982,36829,36772,36904,37184,37547,37992,38587,39328,40190,41191,42150,43121,44189,45334,48233,51080,53631,56067,58345,60550,62579,64529,66422,68262,70005,71607,73099,74477,75694,75667
