Emission type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Heating oil,1.199,1.192,1.185,1.179,1.176,1.185,1.200,1.223,1.246,1.270,1.201,1.133,1.063,1.001,0.915,0.823,0.731,0.639,0.547,0.456,0.365,0.273,0.182,0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Natural gas,13.715,13.582,13.445,13.308,13.207,13.058,12.914,12.774,12.637,12.504,12.366,12.226,12.095,11.967,11.842,11.720,10.301,8.897,7.504,6.111,4.817,3.526,2.239,0.954,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Hydrogen,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.003,0.003,0.004,0.005,0.006,0.007,0.009,0.013,0.179,0.321,0.438,0.531,0.599,0.717,0.831,0.944,1.053,1.162,1.159,1.155,1.152,1.148,1.144
Bioenergy,0.021,0.027,0.033,0.039,0.045,0.050,0.056,0.060,0.064,0.069,0.075,0.081,0.088,0.095,0.103,0.110,0.118,0.125,0.133,0.140,0.141,0.143,0.144,0.145,0.121,0.022,0.022,0.021,0.020,0.019,0.018
Petrol,5.079,5.022,4.931,4.697,4.394,4.015,3.586,3.204,2.860,2.535,2.226,1.953,1.708,1.503,1.321,1.146,0.975,0.800,0.649,0.532,0.433,0.350,0.280,0.221,0.172,0.130,0.097,0.070,0.050,0.035,0.024
Diesel,11.027,11.091,11.139,11.067,10.878,10.536,9.979,9.442,8.876,8.295,7.708,7.102,6.473,5.848,5.229,4.614,4.069,3.534,3.035,2.564,2.131,1.750,1.408,1.103,0.833,0.596,0.415,0.274,0.172,0.100,0.057
Electricity,3.730,2.657,2.208,2.064,1.722,1.515,1.154,1.011,1.171,1.086,0.995,0.724,0.550,0.514,0.507,0.504,0.507,0.502,0.501,0.496,0.469,0.481,0.460,0.439,0.409,0.384,0.362,0.334,0.310,0.284,0.260
Total Emissions,34.772,33.570,32.942,32.356,31.422,30.360,28.890,27.716,26.857,25.762,24.576,23.224,21.983,20.936,19.925,18.931,16.880,14.818,12.808,10.830,8.954,7.240,5.545,3.896,2.588,2.295,2.055,1.854,1.704,1.585,1.504
