Scenario ,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
High hydrogen,6.707,6.702,6.713,6.756,6.822,6.912,7.015,7.137,7.282,7.444,7.633,7.798,7.955,8.122,8.297,8.549,8.784,8.967,9.134,9.277,9.410,9.516,9.613,9.700,9.780,9.844,9.898,9.947,9.988,10.022,10.053
Deep electrification,6.629,6.607,6.605,6.639,6.700,6.776,6.859,6.967,7.096,7.242,7.409,7.552,7.686,7.828,7.979,8.565,9.125,9.629,10.112,10.567,11.012,11.431,11.834,12.226,12.610,12.975,13.321,13.656,13.980,14.277,14.250
Early net zero,6.630,6.610,6.613,6.661,6.732,6.835,6.947,7.077,7.229,7.398,7.898,8.382,8.829,9.288,9.749,10.256,10.735,11.154,11.552,11.922,12.268,12.588,12.898,13.199,13.480,13.506,13.512,13.529,13.529,13.519,13.507
High hydrogen with customer flexibility,6.707,6.702,6.713,6.733,6.780,6.847,6.921,7.008,7.108,7.242,7.400,7.538,7.669,7.808,7.953,8.161,8.356,8.510,8.651,8.772,8.885,8.977,9.062,9.139,9.210,9.269,9.320,9.365,9.406,9.441,9.472
Deep electrification with customer flexibility,6.629,6.607,6.605,6.616,6.660,6.714,6.772,6.848,6.937,7.059,7.199,7.318,7.430,7.548,7.673,8.220,8.747,9.226,9.687,10.123,10.551,10.959,11.351,11.735,12.112,12.472,12.815,13.149,13.472,13.770,13.745
Early net zero with customer flexibility,6.630,6.610,6.613,6.637,6.689,6.767,6.849,6.941,7.047,7.186,7.649,8.098,8.512,8.939,9.368,9.834,10.280,10.675,11.053,11.408,11.740,12.052,12.356,12.654,12.932,12.957,12.963,12.982,12.983,12.976,12.968
