Scenario,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
High hydrogen,3.622,3.671,3.782,3.866,3.970,4.077,4.198,4.326,4.454,4.602,4.794,5.020,5.285,5.518,5.771,5.968,6.093,6.206,6.307,6.400,6.490,6.569,6.641,6.697,6.738,6.778,6.818,6.858,6.903,6.951,7.003
Deep electrification,3.804,4.178,4.500,4.814,5.150,5.515,5.917,6.336,6.778,7.253,7.768,8.300,8.810,9.356,9.918,10.445,10.959,11.451,11.904,12.338,12.740,13.105,13.441,13.765,14.072,14.367,14.653,14.911,15.153,15.361,15.546
Early net zero,3.689,3.843,4.043,4.226,4.434,4.654,4.896,5.150,5.410,5.702,6.056,6.460,6.909,7.321,7.760,8.124,8.394,8.650,8.886,9.118,9.340,9.542,9.724,9.880,10.008,10.136,10.263,10.385,10.515,10.635,10.750
