Scenario,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
High hydrogen,34.772,33.570,32.942,32.356,31.422,30.360,28.890,27.716,26.857,25.762,24.576,23.224,21.983,20.936,19.925,18.931,16.880,14.818,12.808,10.830,8.954,7.240,5.545,3.896,2.588,2.295,2.055,1.854,1.704,1.585,1.504
Deep electrification,34.313,33.481,32.530,31.868,31.119,29.842,28.270,26.927,25.696,24.272,23.080,21.832,20.611,19.469,18.374,16.569,14.835,13.094,11.467,9.981,8.611,7.318,6.123,4.940,3.832,2.756,1.739,0.876,0.687,0.522,0.441
Early net zero,34.650,33.419,32.594,31.664,30.525,29.253,27.631,26.194,25.041,23.559,21.559,19.399,17.206,15.137,13.215,11.400,9.127,7.080,5.286,3.698,2.419,1.642,1.348,1.128,0.928,0.837,0.789,0.704,0.673,0.618,0.566
