Emission type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Heating oil,4389,4364,4340,4318,4304,4339,4393,4477,4563,4650,4399,4147,3893,3666,3351,3013,2675,2339,2003,1669,1334,1000,667,333,0,0,0,0,0,0,0
Natural gas,67140,66485,65815,65147,64650,63924,63220,62531,61862,61211,60535,59851,59208,58583,57967,57372,50424,43553,36735,29916,23581,17263,10959,4670,0,0,0,0,0,0,0
Hydrogen,2,5,9,11,13,16,25,40,60,84,126,201,308,445,611,906,7664,14454,21287,28128,35058,41934,48717,55405,61996,68494,68636,68755,68855,68939,69004
Bioenergy,1369,1743,2115,2487,2860,3222,3567,3845,4122,4385,4783,5187,5611,6095,6574,7055,7534,8010,8483,8951,9038,9120,9199,9274,7740,1430,1376,1322,1268,1214,1161
Petrol,22020,21773,21377,20366,19049,17406,15548,13893,12398,10989,9650,8466,7404,6517,5726,4969,4228,3468,2813,2305,1876,1518,1214,958,744,565,420,305,218,152,104
Diesel,45422,45683,45883,45585,44808,43398,41103,38892,36562,34166,31751,29252,26664,24088,21538,19007,16761,14557,12502,10562,8777,7209,5802,4542,3431,2456,1710,1129,708,412,236
Electricity,37371,37307,37317,37489,37787,38199,38681,39261,39963,40760,41686,42569,43487,44524,45653,47220,48742,49980,51104,52068,52945,53649,54326,54972,55595,56161,56652,57066,57397,57655,57853
