Consumption type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Domestic,13.134,13.128,13.131,13.167,13.208,13.257,13.315,13.384,13.457,13.537,13.625,13.688,13.749,13.806,13.860,13.911,13.962,14.014,14.063,14.108,14.159,14.208,14.257,14.305,14.353,14.399,14.445,14.490,14.535,14.581,14.627
I & C,23.525,23.298,23.083,22.880,22.687,22.505,22.333,22.170,22.017,21.873,21.737,21.609,21.490,21.379,21.275,21.178,21.087,21.003,20.925,20.852,20.785,20.722,20.663,20.608,20.557,20.509,20.463,20.419,20.377,20.336,20.296
Heat pumps - domestic,0.086,0.096,0.126,0.182,0.247,0.363,0.475,0.586,0.698,0.815,1.981,3.143,4.262,5.389,6.513,7.622,8.725,9.801,10.848,11.869,12.845,13.828,14.811,15.796,16.728,16.735,16.700,16.682,16.645,16.601,16.556
Heat pumps - I & C,0.149,0.162,0.182,0.206,0.230,0.256,0.283,0.316,0.349,0.381,0.644,0.899,1.146,1.376,1.617,1.858,2.083,2.299,2.509,2.715,2.909,3.100,3.290,3.476,3.661,3.638,3.616,3.594,3.572,3.550,3.528
EV,0.091,0.149,0.271,0.560,0.953,1.418,1.910,2.467,3.129,3.855,4.822,5.706,6.528,7.363,8.155,9.206,10.131,10.766,11.321,11.757,12.132,12.357,12.527,12.642,12.720,12.753,12.750,12.728,12.687,12.631,12.567
