Demand type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Domestic,2.804,2.813,2.821,2.831,2.843,2.856,2.872,2.889,2.906,2.923,2.941,2.955,2.968,2.981,2.993,3.005,3.017,3.029,3.041,3.051,3.063,3.074,3.085,3.097,3.108,3.120,3.131,3.143,3.154,3.166,3.178
I & C,3.819,3.791,3.765,3.742,3.722,3.704,3.688,3.675,3.664,3.655,3.648,3.643,3.640,3.638,3.639,3.641,3.645,3.651,3.658,3.666,3.675,3.684,3.694,3.703,3.713,3.723,3.734,3.744,3.755,3.766,3.777
Heat pumps - domestic,0.023,0.025,0.030,0.039,0.043,0.059,0.079,0.100,0.123,0.150,0.181,0.212,0.241,0.269,0.296,0.322,0.350,0.373,0.393,0.409,0.424,0.440,0.455,0.471,0.487,0.501,0.515,0.529,0.543,0.557,0.571
Heat pumps - I & C,0.043,0.047,0.053,0.058,0.064,0.068,0.072,0.078,0.084,0.090,0.098,0.106,0.112,0.116,0.123,0.132,0.137,0.140,0.143,0.146,0.149,0.152,0.155,0.159,0.162,0.163,0.163,0.164,0.165,0.166,0.168
EV,0.018,0.027,0.044,0.085,0.150,0.225,0.304,0.395,0.504,0.627,0.765,0.882,0.994,1.118,1.246,1.449,1.635,1.774,1.900,2.004,2.099,2.166,2.223,2.270,2.309,2.338,2.356,2.367,2.371,2.367,2.360
