Scenario,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
High hydrogen,0.056,0.072,0.101,0.140,0.162,0.183,0.213,0.243,0.275,0.309,0.352,0.406,0.470,0.532,0.595,0.648,0.682,0.714,0.742,0.770,0.798,0.825,0.851,0.872,0.890,0.909,0.927,0.945,0.965,0.986,1.008
Deep electrification,0.069,0.138,0.221,0.289,0.333,0.389,0.461,0.532,0.656,0.758,0.912,1.057,1.191,1.445,1.656,1.862,2.125,2.381,2.725,2.909,3.036,3.197,3.261,3.350,3.408,3.435,3.464,3.490,3.516,3.533,3.533
Early net zero,0.065,0.100,0.155,0.217,0.259,0.309,0.366,0.422,0.518,0.603,0.733,0.863,0.990,1.190,1.341,1.478,1.663,1.836,2.054,2.151,2.206,2.316,2.358,2.414,2.445,2.454,2.465,2.474,2.485,2.494,2.503
