Consumption type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Domestic,13.410,13.452,13.489,13.539,13.595,13.661,13.738,13.817,13.899,13.981,14.065,14.131,14.194,14.256,14.314,14.370,14.428,14.486,14.542,14.593,14.647,14.702,14.756,14.811,14.866,14.920,14.975,15.031,15.086,15.142,15.198
I & C,23.637,23.461,23.302,23.160,23.033,22.921,22.823,22.740,22.671,22.614,22.570,22.539,22.519,22.512,22.515,22.529,22.552,22.586,22.628,22.680,22.735,22.792,22.850,22.910,22.970,23.032,23.095,23.159,23.225,23.292,23.360
Heat pumps - domestic,0.086,0.091,0.112,0.147,0.163,0.221,0.294,0.374,0.462,0.560,0.677,0.793,0.901,1.005,1.108,1.205,1.308,1.395,1.472,1.530,1.587,1.645,1.703,1.762,1.822,1.873,1.926,1.978,2.031,2.084,2.137
Heat pumps - I & C,0.150,0.163,0.182,0.203,0.223,0.236,0.250,0.270,0.291,0.312,0.341,0.367,0.390,0.401,0.426,0.456,0.474,0.485,0.496,0.507,0.517,0.528,0.539,0.550,0.561,0.564,0.567,0.570,0.573,0.577,0.581
EV,0.086,0.134,0.218,0.418,0.737,1.106,1.496,1.944,2.481,3.083,3.765,4.343,4.891,5.503,6.130,7.133,8.047,8.732,9.348,9.864,10.330,10.658,10.940,11.172,11.365,11.504,11.592,11.648,11.667,11.651,11.613
