Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,18.7,17.659,17.348,17.285,17.337,17.614,17.962,18.465,19.294,20.276,21.559,22.955,24.342,25.656,26.953,28.209,29.267,30.211,31.124,31.939,32.605,33.037,33.31,33.457,33.548,33.586,33.614,33.622,33.571,33.434,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
AMBERTON ROAD,23.111,22.495,22.128,22.001,21.963,22.173,22.455,22.833,23.372,23.999,24.902,25.855,26.809,27.717,28.612,29.523,30.284,30.952,31.573,32.12,32.568,32.861,33.035,33.13,33.191,33.217,33.237,33.243,33.22,33.154,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
ANNFIELD 66/20KV,20.266,19.197,18.86,18.787,18.826,19.103,19.435,19.898,20.598,21.424,22.546,23.748,24.954,26.102,27.238,28.362,29.299,30.132,30.922,31.64,32.23,32.618,32.85,32.973,33.048,33.08,33.11,33.129,33.107,33.001,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
ASHINGTON,17.678,17.001,16.842,16.878,17.025,17.406,17.837,18.414,19.259,20.246,21.555,22.957,24.359,25.685,26.982,28.231,29.271,30.189,31.056,31.839,32.478,32.914,33.211,33.402,33.547,33.644,33.726,33.786,33.795,33.741,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
AYCLIFFE FORREST,2.079,2.051,2.023,1.994,1.966,1.938,1.909,1.881,1.853,1.824,1.817,1.809,1.802,1.795,1.787,1.78,1.772,1.765,1.758,1.75,1.743,1.736,1.729,1.721,1.714,1.707,1.7,1.693,1.686,1.679,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
AYCLIFFE INDUSTRIAL,12.248,11.68,11.497,11.452,11.474,11.611,11.75,11.96,12.28,12.665,13.213,13.812,14.411,14.976,15.527,16.046,16.474,16.845,17.187,17.489,17.728,17.873,17.944,17.968,17.973,17.959,17.933,17.893,17.834,17.757,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
BARDEN FRIAR,0.724,0.701,0.699,0.71,0.727,0.763,0.808,0.866,0.923,0.99,1.079,1.166,1.254,1.326,1.385,1.439,1.467,1.488,1.505,1.519,1.528,1.536,1.543,1.55,1.556,1.562,1.568,1.574,1.579,1.584,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
BEDALE,18.689,18.573,18.435,18.388,18.373,18.462,18.591,18.779,19.025,19.324,19.866,20.453,21.056,21.638,22.223,22.835,23.376,23.89,24.4,24.899,25.35,25.692,25.91,26.064,26.195,26.313,26.438,26.562,26.683,26.762,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
BELMONT,21.873,22.074,21.729,21.555,21.452,21.487,21.549,21.686,21.973,22.333,22.962,23.652,24.343,25,25.648,26.288,26.821,27.289,27.733,28.133,28.456,28.657,28.763,28.804,28.815,28.8,28.785,28.764,28.718,28.621,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
BENSHAM,17.325,16.645,16.379,16.249,16.179,16.214,16.262,16.37,16.58,16.847,17.322,17.835,18.347,18.835,19.315,19.769,20.155,20.494,20.807,21.086,21.308,21.436,21.483,21.489,21.484,21.462,21.437,21.404,21.353,21.27,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
BENTON SQUARE,17.517,16.837,16.597,16.601,16.711,17.032,17.39,17.861,18.538,19.326,20.371,21.509,22.652,23.743,24.823,25.877,26.777,27.586,28.352,29.056,29.648,30.057,30.313,30.474,30.594,30.679,30.743,30.782,30.789,30.764,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
BENWELL,16.945,16.087,15.817,15.739,15.73,15.867,16.066,16.35,16.794,17.318,18.048,18.826,19.609,20.373,21.147,21.937,22.634,23.276,23.903,24.493,25.007,25.369,25.594,25.734,25.842,25.922,26.008,26.089,26.148,26.144,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
BILLINGHAM MARSH HOUSE,13.915,13.485,13.391,13.424,13.532,13.797,14.091,14.491,15.078,15.768,16.697,17.719,18.76,19.782,20.833,21.877,22.83,23.746,24.656,25.53,26.301,26.835,27.121,27.272,27.372,27.443,27.508,27.557,27.587,27.548,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
BILLY MILL,19.106,18.337,18.102,18.04,18.05,18.202,18.39,18.659,19.122,19.671,20.491,21.4,22.313,23.195,24.081,24.963,25.733,26.443,27.135,27.781,28.337,28.727,28.979,29.144,29.269,29.364,29.46,29.547,29.606,29.603,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
BIRTLEY GROVE 66/11KV,13.561,12.887,12.666,12.598,12.6,12.733,12.89,13.129,13.519,13.995,14.675,15.441,16.244,17.061,17.927,18.826,19.673,20.503,21.331,22.143,22.869,23.352,23.546,23.612,23.639,23.644,23.646,23.635,23.612,23.517,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
BIRTLEY GROVE 66/20KV,10.588,10.239,10.069,9.963,9.876,9.834,9.802,9.788,9.808,9.851,10.008,10.182,10.365,10.552,10.76,10.985,11.191,11.391,11.587,11.779,11.952,12.07,12.122,12.139,12.14,12.131,12.123,12.113,12.103,12.07,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
BLAYDON BURN,15.126,14.551,14.331,14.244,14.216,14.319,14.444,14.639,15.008,15.455,16.133,16.88,17.646,18.405,19.189,20.003,20.728,21.41,22.084,22.727,23.286,23.66,23.847,23.925,23.96,23.967,23.976,23.977,23.957,23.869,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
BLUCHER 33/11KV,13.175,12.936,12.782,12.793,12.889,13.16,13.486,13.939,14.638,15.467,16.531,17.681,18.851,19.999,21.162,22.319,23.36,24.332,25.281,26.175,26.931,27.429,27.699,27.869,28.034,28.153,28.263,28.355,28.386,28.316,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
BOLDON DOWNHILL,9.081,10.85,10.769,10.756,10.798,10.948,11.106,11.335,11.706,12.15,12.774,13.465,14.159,14.817,15.469,16.091,16.616,17.088,17.542,17.95,18.283,18.493,18.604,18.647,18.661,18.651,18.64,18.622,18.582,18.492,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,9.464,11.142,11.088,11.072,11.07,11.109,11.157,11.224,11.321,11.443,11.698,12.001,12.346,12.737,13.193,13.717,14.27,14.86,15.474,16.115,16.731,17.184,17.39,17.493,17.565,17.636,17.718,17.8,17.902,17.954,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
BOWESFIELD 33/11KV,9.243,8.758,8.661,8.713,8.847,9.148,9.476,9.906,10.53,11.262,12.208,13.241,14.305,15.353,16.407,17.47,18.395,19.238,20.042,20.804,21.458,21.913,22.155,22.283,22.37,22.427,22.487,22.54,22.572,22.53,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
BOWESFIELD 66/11KV,13.564,13.099,12.971,12.958,13.002,13.164,13.351,13.605,13.935,14.324,14.887,15.489,16.094,16.663,17.211,17.728,18.157,18.525,18.856,19.156,19.401,19.577,19.695,19.776,19.843,19.897,19.923,19.926,19.915,19.923,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
BRANCEPETH,15.288,14.989,14.867,14.947,15.154,15.651,16.191,16.914,17.919,19.098,20.625,22.302,23.976,25.54,27.053,28.496,29.664,30.678,31.635,32.49,33.17,33.609,33.876,34.007,34.079,34.094,34.112,34.121,34.074,33.912,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
BREAMISH STREET,8.965,9.032,8.933,8.945,9.015,9.2,9.396,9.657,9.996,10.394,10.939,11.504,12.065,12.59,13.083,13.537,13.895,14.179,14.414,14.614,14.76,14.857,14.921,14.959,14.987,15.001,15.011,15.016,15.008,14.986,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
BRENDA TRADING,20.312,21.849,21.478,21.422,21.505,21.868,22.315,22.936,23.89,25.018,26.47,28.059,29.677,31.256,32.851,34.457,35.858,37.144,38.389,39.553,40.55,41.218,41.57,41.739,41.834,41.877,41.917,41.937,41.914,41.777,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
CAMPLESHON ROAD,15.748,14.779,14.529,14.541,14.677,15.041,15.424,15.943,16.661,17.501,18.591,19.744,20.893,21.96,22.978,23.935,24.694,25.329,25.898,26.396,26.777,27.019,27.172,27.255,27.303,27.315,27.322,27.322,27.286,27.19,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
CARLEY HILL,16.611,15.697,15.445,15.433,15.547,15.881,16.232,16.713,17.488,18.403,19.631,20.961,22.296,23.565,24.814,26.021,27.019,27.894,28.716,29.449,30.04,30.42,30.641,30.746,30.801,30.81,30.816,30.81,30.758,30.62,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
CARLIN HOW T3 T4,13.872,13.117,12.95,13.004,13.168,13.578,14.062,14.683,15.523,16.494,17.751,19.123,20.499,21.779,23.01,24.202,25.166,26.004,26.791,27.502,28.08,28.482,28.76,28.943,29.082,29.177,29.277,29.371,29.425,29.394,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
CARR HILL,16.621,15.498,15.199,15.173,15.272,15.603,15.99,16.523,17.34,18.301,19.532,20.879,22.229,23.516,24.794,26.033,27.087,28.035,28.944,29.764,30.445,30.888,31.136,31.257,31.323,31.345,31.356,31.346,31.292,31.161,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
CATTERICK CAMP,16.509,15.803,15.644,15.684,15.821,16.166,16.556,17.058,17.69,18.424,19.417,20.491,21.571,22.583,23.545,24.467,25.21,25.837,26.398,26.903,27.311,27.611,27.828,27.985,28.119,28.227,28.335,28.442,28.526,28.564,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
CLOSE,21.572,22.011,21.831,21.736,21.671,21.757,21.878,22.013,22.168,22.336,22.763,23.191,23.621,24.045,24.462,24.922,25.317,25.659,25.959,26.248,26.497,26.7,26.859,26.988,27.112,27.221,27.333,27.443,27.551,27.652,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
CONEYTHORPE,13.298,13.956,13.845,13.886,14.007,14.28,14.564,14.932,15.42,15.988,16.788,17.666,18.551,19.373,20.156,20.895,21.489,22.002,22.47,22.895,23.239,23.485,23.653,23.766,23.858,23.929,24,24.069,24.12,24.128,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
CONSETT,23.098,24.171,23.84,23.719,23.695,23.888,24.14,24.517,25.114,25.832,26.887,28.03,29.187,30.3,31.423,32.55,33.524,34.424,35.303,36.127,36.83,37.295,37.542,37.658,37.721,37.743,37.765,37.774,37.75,37.637,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
CORPORATION STREET,10.111,9.862,9.751,9.69,9.645,9.653,9.68,9.724,9.798,9.888,10.093,10.298,10.499,10.693,10.886,11.088,11.264,11.419,11.565,11.699,11.815,11.903,11.972,12.025,12.073,12.115,12.158,12.2,12.237,12.263,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
COWTON,0.661,0.617,0.614,0.631,0.66,0.717,0.779,0.859,0.954,1.064,1.2,1.342,1.485,1.613,1.729,1.832,1.906,1.965,2.014,2.054,2.082,2.1,2.111,2.117,2.12,2.12,2.12,2.12,2.116,2.108,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
CRAMLINGTON T1 T3,11.736,11.775,11.658,11.613,11.596,11.651,11.723,11.824,11.984,12.175,12.513,12.88,13.252,13.619,13.991,14.372,14.713,15.032,15.34,15.636,15.896,16.086,16.207,16.291,16.358,16.415,16.473,16.529,16.578,16.604,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
CRAMLINGTON T2 T4,9.599,9.357,9.262,9.218,9.193,9.219,9.261,9.325,9.439,9.577,9.838,10.128,10.435,10.756,11.106,11.49,11.865,12.241,12.623,13.006,13.36,13.618,13.754,13.833,13.892,13.942,13.997,14.05,14.104,14.127,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
DARLEY,3.473,3.289,3.258,3.288,3.351,3.483,3.622,3.796,4.018,4.276,4.612,4.981,5.355,5.705,6.034,6.347,6.586,6.775,6.935,7.075,7.18,7.255,7.311,7.349,7.381,7.403,7.426,7.447,7.461,7.461,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
DARLINGTON 132/6KV,3.081,2.93,2.933,3.016,3.172,3.468,3.772,4.157,4.675,5.272,5.999,6.78,7.557,8.278,8.966,9.578,10.067,10.481,10.847,11.162,11.395,11.533,11.607,11.634,11.641,11.626,11.599,11.561,11.5,11.412,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
DARLINGTON 33/11KV,14.054,13.397,13.19,13.163,13.237,13.516,13.83,14.251,14.874,15.602,16.582,17.625,18.665,19.642,20.591,21.483,22.205,22.827,23.395,23.897,24.289,24.532,24.671,24.733,24.759,24.75,24.735,24.709,24.651,24.537,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
DARLINGTON CENTRAL 33/11KV,9.242,16.911,16.774,16.711,16.688,16.74,16.803,16.909,17.103,17.34,17.711,18.111,18.507,18.876,19.234,19.564,19.832,20.065,20.282,20.471,20.615,20.699,20.743,20.756,20.754,20.738,20.72,20.698,20.661,20.598,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
DARLINGTON EAST,17.566,17.365,17.128,17.04,17.04,17.214,17.411,17.701,18.139,18.67,19.475,20.363,21.269,22.144,23.024,23.878,24.62,25.308,25.963,26.584,27.11,27.447,27.577,27.6,27.582,27.54,27.5,27.452,27.394,27.269,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
DARLINGTON WEST,17.635,16.454,16.142,16.153,16.351,16.876,17.453,18.213,19.281,20.523,22.108,23.826,25.557,27.205,28.844,30.361,31.664,32.858,33.978,35.023,35.892,36.443,36.68,36.751,36.752,36.709,36.657,36.586,36.487,36.28,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
DENWICK,19.787,19.055,18.954,19.274,19.794,20.747,21.721,22.973,24.382,26.02,28.143,30.316,32.499,34.29,35.837,37.244,38.232,39.073,39.885,40.598,41.133,41.495,41.718,41.868,41.992,42.074,42.15,42.218,42.246,42.204,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total peak demand (MW)
