Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0.037,0.06,0.086,0.124,0.178,0.237,0.308,0.379,0.462,0.553,0.654,0.771,0.895,1.028,1.173,1.329,1.497,1.663,1.838,2.023,2.211,2.408,2.612,2.823,3.043,3.271,3.509,3.755,4.011,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed storage capacity (MW)
AMBERTON ROAD,0.02,0.042,0.067,0.096,0.136,0.195,0.256,0.33,0.394,0.475,0.561,0.654,0.771,0.891,1.019,1.163,1.318,1.487,1.642,1.801,1.972,2.133,2.305,2.479,2.657,2.843,3.035,3.235,3.443,3.658,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed storage capacity (MW)
ANNFIELD 66/20KV,0.023,0.047,0.076,0.108,0.153,0.22,0.291,0.376,0.452,0.546,0.648,0.757,0.892,1.033,1.182,1.349,1.529,1.724,1.908,2.096,2.298,2.493,2.699,2.909,3.125,3.35,3.584,3.826,4.078,4.339,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed storage capacity (MW)
ASHINGTON,0.028,0.061,0.098,0.141,0.201,0.289,0.384,0.498,0.608,0.739,0.883,1.04,1.226,1.422,1.631,1.862,2.111,2.377,2.638,2.91,3.199,3.488,3.793,4.106,4.429,4.767,5.117,5.481,5.859,6.25,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed storage capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed storage capacity (MW)
AYCLIFFE INDUSTRIAL,0.009,0.018,0.03,0.043,0.06,0.087,0.115,0.149,0.18,0.218,0.259,0.303,0.358,0.414,0.475,0.542,0.614,0.692,0.766,0.843,0.926,1.006,1.091,1.178,1.267,1.361,1.457,1.558,1.663,1.771,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed storage capacity (MW)
BARDEN FRIAR,0.002,0.004,0.007,0.009,0.013,0.018,0.024,0.03,0.035,0.041,0.047,0.053,0.062,0.071,0.081,0.092,0.105,0.119,0.13,0.14,0.151,0.16,0.17,0.18,0.189,0.199,0.209,0.219,0.23,0.241,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed storage capacity (MW)
BEDALE,0.021,0.041,0.066,0.094,0.132,0.19,0.247,0.318,0.374,0.448,0.524,0.605,0.714,0.823,0.939,1.072,1.215,1.372,1.51,1.649,1.799,1.935,2.08,2.226,2.373,2.527,2.686,2.851,3.023,3.201,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed storage capacity (MW)
BELMONT,0.016,0.034,0.055,0.079,0.112,0.16,0.212,0.273,0.328,0.396,0.469,0.548,0.646,0.747,0.855,0.976,1.106,1.247,1.379,1.515,1.66,1.8,1.947,2.098,2.252,2.413,2.58,2.754,2.934,3.12,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed storage capacity (MW)
BENSHAM,0.011,0.023,0.037,0.054,0.076,0.11,0.146,0.189,0.229,0.278,0.331,0.389,0.458,0.531,0.609,0.695,0.788,0.888,0.984,1.084,1.19,1.295,1.406,1.52,1.638,1.76,1.887,2.019,2.156,2.298,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed storage capacity (MW)
