Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,129,177,420,700,1091,1638,2207,2783,3326,3919,4784,5436,6088,6733,7478,8644,9391,9955,10439,10798,11381,11564,11687,11901,12088,12308,12455,12545,12652,12642,NPgN,Primary,NG FES - Leading the Way (EE CF),Number of heat pumps (total)
AMBERTON ROAD,186,243,487,758,1127,1596,2087,2550,3005,3491,4205,4773,5349,5927,6620,7662,8360,8917,9416,9820,10407,10667,10881,11145,11371,11604,11760,11874,12005,12024,NPgN,Primary,NG FES - Leading the Way (EE CF),Number of heat pumps (total)
ANNFIELD 66/20KV,137,180,374,601,918,1342,1788,2218,2638,3088,3789,4348,4922,5503,6204,7258,7963,8524,9029,9440,10063,10336,10562,10839,11075,11317,11476,11602,11751,11762,NPgN,Primary,NG FES - Leading the Way (EE CF),Number of heat pumps (total)
ASHINGTON,146,198,432,697,1058,1544,2052,2555,3049,3582,4381,5013,5655,6304,7081,8260,9042,9660,10212,10654,11335,11619,11851,12145,12395,12656,12826,12939,13076,13086,NPgN,Primary,NG FES - Leading the Way (EE CF),Number of heat pumps (total)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Leading the Way (EE CF),Number of heat pumps (total)
AYCLIFFE INDUSTRIAL,56,77,174,282,428,618,816,1005,1198,1412,1724,1976,2230,2481,2785,3243,3550,3796,4017,4197,4466,4590,4691,4811,4914,5018,5084,5122,5169,5175,NPgN,Primary,NG FES - Leading the Way (EE CF),Number of heat pumps (total)
BARDEN FRIAR,6,7,21,41,68,92,119,170,210,253,292,324,351,371,385,392,397,401,406,410,415,418,421,424,427,430,433,436,439,442,NPgN,Primary,NG FES - Leading the Way (EE CF),Number of heat pumps (total)
BEDALE,134,166,292,431,612,827,1059,1323,1568,1828,2176,2443,2699,2941,3206,3595,3846,4043,4214,4348,4560,4641,4700,4784,4856,4939,4996,5042,5101,5111,NPgN,Primary,NG FES - Leading the Way (EE CF),Number of heat pumps (total)
BELMONT,109,143,289,453,678,1000,1339,1689,2024,2386,2927,3331,3736,4137,4599,5324,5787,6136,6436,6658,7024,7136,7211,7341,7454,7587,7675,7736,7812,7805,NPgN,Primary,NG FES - Leading the Way (EE CF),Number of heat pumps (total)
BENSHAM,78,104,218,339,502,727,958,1245,1483,1737,2131,2443,2765,3092,3488,4087,4488,4807,5094,5327,5678,5830,5956,6111,6243,6376,6462,6526,6578,6551,NPgN,Primary,NG FES - Leading the Way (EE CF),Number of heat pumps (total)
