Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,49120.4,42144.082,39221.834,37876.246,36818.505,35941.741,35160.335,34471.27,33941.456,33536.267,33286.075,33043.738,32804.829,32586.258,32430.081,32286.554,32151.602,32018.081,31878.551,31759.543,31696.514,31640.499,31585.092,31534.215,31466.307,31372.323,31336.577,31302.853,31269.059,31236.282,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
AMBERTON ROAD,49346.305,41928.318,38823.061,37407.03,36299.397,35385.721,34574.24,33861.774,33320.015,32911.909,32650.767,32398.08,32149.003,31921.589,31760.944,31613.272,31469.031,31326.513,31177.424,31049.81,30981.825,30921.208,30861.409,30807.052,30734.574,30634.03,30597.039,30562.241,30527.007,30492.808,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
ANNFIELD 66/20KV,52435.078,44410.733,41053.213,39527.504,38336.225,37355.289,36485.172,35722.438,35144.803,34712.099,34432.579,34162.239,33895.79,33652.784,33482.127,33325.27,33170.38,33017.421,32857.3,32720.293,32647.81,32583.256,32519.641,32462.103,32384.967,32277.377,32239.018,32203.035,32166.462,32130.988,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
ASHINGTON,37275.665,31722.971,29398.153,28336.2,27504.824,26818.469,26208.523,25672.61,25264.291,24955.868,24759.553,24569.568,24382.292,24211.233,24090.079,23978.452,23870.316,23763.455,23651.702,23556.055,23505.004,23459.451,23414.487,23373.519,23319.008,23243.556,23215.457,23188.975,23162.21,23136.222,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
AYCLIFFE INDUSTRIAL,20857.885,17647.024,16303.71,15694.054,15218.278,14826.702,14479.467,14175.214,13945.121,13773.109,13661.572,13553.69,13447.34,13350.362,13282.385,13219.914,13157.904,13096.658,13032.51,12977.595,12948.548,12922.666,12897.157,12874.11,12843.187,12800.01,12784.698,12770.334,12755.707,12741.51,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
BARDEN FRIAR,1392.101,1200.423,1125.483,1095.864,1074.422,1058.024,1044.238,1032.931,1026.053,1022.563,1023.811,1025.206,1026.662,1028.628,1032.34,1037.188,1041.685,1046.174,1050.492,1055.416,1061.931,1068.724,1075.521,1082.388,1088.719,1094.276,1101.307,1108.433,1115.552,1122.691,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
BEDALE,20512.651,17342.392,16023.538,15432.279,14973.76,14598.602,14267.314,13978.457,13762.91,13604.647,13505.986,13410.879,13317.278,13232.878,13177.124,13127.921,13078.172,13029.147,12977.288,12934.591,12917.44,12903.541,12890.018,12878.875,12859.916,12828.845,12825.036,12822.229,12819.158,12816.512,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
BELMONT,38129.482,32570.353,30244.521,29180.533,28346.781,27657.77,27044.965,26505.988,26094.458,25782.686,25588.149,25399.854,25214.221,25044.778,24925.251,24815.652,24710.786,24607.093,24498.496,24406.13,24358.487,24316.389,24274.811,24237.044,24185.633,24113.232,24087.917,24064.21,24040.294,24017.151,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
BENSHAM,35710.215,31640.401,29927.659,29102.037,28438.633,27877.13,27369.438,26913.689,26547.406,26250.968,26088.682,25930.834,25775.192,25631.393,25522.9,25423.194,25342.382,25261.996,25178.664,25108.181,25069.988,25036.176,25002.368,24969.72,24927.291,24870.655,24843.816,24818.119,24793.33,24769.313,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
BENTON SQUARE,47512.187,40727.755,37886.613,36580.139,35553.822,34703.65,33946.274,33278.768,32766.256,32375.04,32132.978,31898.556,31667.451,31456.123,31305.506,31167.055,31036.522,30907.394,30772.397,30657.32,30596.695,30542.868,30489.639,30440.861,30375.512,30284.768,30250.806,30218.799,30186.686,30155.55,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
BENWELL,49504.518,42868.251,40088.354,38796.847,37776.969,36927.781,36168.486,35496.197,34974.126,34569.541,34329.597,34096.981,33867.614,33657.533,33506.431,33367.897,33242.865,33118.969,32989.493,32879.872,32823.459,32773.803,32724.538,32678.965,32617.145,32530.775,32498.305,32467.706,32437.367,32408.026,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
BILLINGHAM MARSH HOUSE,21098.675,17919.94,16588.956,15981.861,15506.951,15115.185,14767.236,14461.74,14229.4,14054.338,13941.967,13833.232,13726.053,13628.164,13558.88,13495.09,13432.753,13371.166,13306.77,13251.568,13221.901,13195.385,13169.226,13145.41,13113.844,13070.269,13053.927,13038.524,13022.933,13007.787,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
BILLY MILL,42098.928,36311.435,33887.125,32765.22,31881.06,31146.34,30490.341,29910.551,29462.237,29116.777,28908.272,28706.221,28507.012,28324.65,28193.849,28073.697,27963.381,27854.151,27740.008,27643.047,27592.484,27547.768,27503.465,27462.616,27407.629,27331.157,27302.235,27274.956,27247.78,27221.461,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
BIRTLEY GROVE 66/11KV,28951.748,24711.646,22936.141,22122.876,21485.292,20958.186,20489.29,20076.783,19761.489,19522.294,19371.722,19225.96,19082.273,18950.962,18857.7,18771.894,18689.609,18608.261,18523.206,18450.514,18411.873,18377.457,18343.465,18312.421,18271.029,18213.692,18192.255,18172.055,18151.7,18131.948,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
BIRTLEY GROVE 66/20KV,18155.8,15514.659,14407.955,13899.78,13500.924,13170.821,12876.966,12618.214,12419.945,12269.018,12174.051,12082.095,11991.452,11908.528,11849.277,11794.735,11742.613,11691.078,11637.261,11591.162,11566.251,11543.987,11521.991,11501.814,11475.211,11438.718,11424.49,11411.042,11397.524,11384.393,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
BLAYDON BURN,26617.67,22736.662,21109.536,20361.761,19774.646,19288.593,18855.842,18474.71,18182.463,17959.794,17818.972,17682.597,17548.175,17425.109,17336.827,17255.45,17177.539,17100.512,17020.146,16951.117,16913.199,16879.176,16845.562,16814.643,16774.309,16719.467,16697.348,16676.386,16655.323,16634.839,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
BLUCHER 33/11KV,29814.418,25514.111,23713.147,22886.161,22236.968,21699.568,21221.062,20799.602,20476.538,20230.489,20077.09,19928.543,19782.092,19648.181,19552.806,19465.103,19381.79,19299.386,19213.238,19139.68,19100.659,19065.939,19031.615,19000.184,18958.242,18900.156,18878.261,18857.614,18836.858,18816.719,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
BOLDON DOWNHILL,8090.268,6868.844,6358.107,6125.941,5944.589,5795.185,5662.598,5546.309,5458.169,5392.068,5349.94,5309.188,5269.013,5232.395,5206.797,5183.37,5160.366,5137.634,5113.803,5093.504,5083.053,5073.815,5064.708,5056.5,5045.285,5029.413,5024.065,5019.077,5014.004,5009.097,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,8998.602,7593.156,7005.408,6739.254,6531.893,6361.519,6210.658,6078.685,5979.175,5905.066,5856.729,5810.034,5764.05,5722.186,5692.976,5666.195,5639.466,5613.109,5585.525,5561.972,5549.666,5538.756,5528.033,5518.408,5505.393,5487.093,5480.887,5475.107,5469.22,5463.53,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
BOWESFIELD 33/11KV,23955.409,20383.16,18886.682,18202.374,17666.398,17223.729,16830.242,16484.405,16220.647,16021.152,15893.618,15770.174,15648.492,15537.253,15458.112,15385.125,15314.326,15244.362,15171.265,15108.527,15074.459,15043.934,15013.8,14986.25,14950.007,14900.317,14881.078,14862.889,14844.524,14826.666,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
BOWESFIELD 66/11KV,22417.645,19081.716,17682.816,17041.403,16538.471,16122.681,15752.876,15427.603,15178.878,14990.078,14868.821,14751.437,14635.752,14529.847,14453.843,14383.452,14315.455,14248.276,14178.227,14117.856,14084.16,14053.77,14023.761,13996.163,13960.522,13912.437,13892.617,13873.777,13854.806,13836.324,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
BRANCEPETH,28280.465,23871.657,22030.261,21198.86,20551.795,20020.629,19550.498,19139.491,18830.478,18601.294,18453.118,18309.967,18168.93,18040.752,17952.425,17872.053,17791.32,17711.658,17628.023,17557.047,17521.573,17490.488,17459.946,17432.834,17394.913,17340.16,17323.689,17308.556,17293.027,17278.089,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
BREAMISH STREET,23487.878,21174.675,20203.975,19725.712,19337.202,19004.916,18702.192,18427.967,18203.198,18016.948,17926.693,17838.718,17751.9,17671.694,17611.171,17556.261,17518.105,17479.874,17440.052,17407.906,17394.144,17382.945,17371.489,17359.948,17342.703,17317.553,17307.727,17298.455,17290.034,17282.046,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
BRENDA TRADING,56968.992,48295.102,44664.121,43011.485,41719.984,40655.626,39710.933,38882.214,38253.477,37781.351,37476.468,37181.483,36890.694,36625.24,36437.994,36265.739,36096.029,35928.373,35752.964,35602.573,35521.971,35449.95,35378.925,35314.427,35228.715,35110.057,35066.22,35024.954,34983.074,34942.389,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
CAMPLESHON ROAD,42023.315,35986.692,33461.362,32303.589,31395.462,30644.269,29975.737,29387.24,28936.771,28594.29,28383.103,28178.712,27977.265,27793.405,27663.586,27544.684,27432.299,27321.176,27204.827,27106.185,27055.987,27011.845,26968.247,26928.639,26874.284,26797.319,26770.914,26746.252,26721.469,26697.545,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
CARLEY HILL,36884.922,31386.346,29083.497,28030.985,27206.808,26526.256,25921.396,25389.871,24984.682,24678.408,24482.983,24293.846,24107.408,23937.041,23816.076,23704.466,23596.36,23489.533,23377.875,23282.16,23230.578,23184.435,23138.882,23097.298,23042.326,22966.649,22937.843,22910.637,22883.157,22856.45,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
CARLIN HOW T3 T4,36059.369,30447,28106.222,27052.055,26232.767,25561.11,24967.204,24448.56,24059.694,23772.329,23588.697,23411.461,23236.935,23078.767,22971.269,22874.208,22776.714,22680.586,22579.446,22494.447,22454.576,22420.333,22386.779,22357.54,22314.565,22250.237,22234.369,22220.212,22205.576,22191.692,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
CARR HILL,54423.271,46732.582,43508.994,42021.481,40851.023,39879.929,39013.935,38249.701,37660.882,37209.338,36930.343,36660.046,36393.586,36149.579,35974.314,35813.215,35661.998,35512.375,35356.192,35222.684,35150.857,35086.811,35023.457,34965.07,34887.958,34782.19,34740.438,34700.955,34661.457,34623.12,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
CATTERICK CAMP,31057.533,26204.435,24172.297,23249.598,22529.8,21937.699,21412.994,20953.549,20606.157,20346.47,20175.607,20010.453,19847.782,19699.362,19594.611,19497.866,19401.629,19306.708,19207.563,19122.321,19075.867,19034.193,18993.177,18955.977,18907.117,18840.059,18814.78,18790.956,18766.766,18743.268,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
CLOSE,24800.212,22675.057,21783.586,21331.499,20959.336,20637.117,20341.096,20070.275,19843.444,19650.789,19566.259,19483.641,19402.062,19326.478,19268.571,19216.585,19186.02,19155.111,19122.887,19098.11,19090.204,19084.766,19078.875,19072.192,19060.191,19041.19,19034.57,19028.409,19023.403,19018.828,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
CONEYTHORPE,21267.442,17953.328,16569.611,15944.981,15459.055,15060.345,14707.616,14399.385,14167.728,13995.959,13885.324,13778.52,13673.367,13577.903,13512.305,13452.781,13393.144,13334.355,13272.657,13220.486,13194.879,13172.597,13150.747,13131.46,13104.133,13064.296,13052.955,13042.634,13032.053,13021.934,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
CONSETT,40592.251,34388.288,31793.664,30615.503,29695.96,28939.059,28267.848,27679.647,27234.523,26901.4,26687.124,26479.942,26275.777,26089.73,25959.599,25840.337,25722.588,25606.327,25484.549,25380.659,25326.635,25278.768,25231.627,25189.16,25131.547,25050.414,25022.69,24996.815,24970.497,24945.032,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
CORPORATION STREET,19070.265,17109.838,16287.806,15886.824,15562.585,15286.438,15035.577,14809.108,14624.951,14473.769,14398.775,14325.742,14253.681,14187.233,14137.59,14092.583,14060.114,14027.638,13993.762,13966.292,13954.434,13944.724,13934.846,13925.078,13910.471,13889.067,13881.12,13873.656,13866.808,13860.315,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
COWTON,1970.644,1669.671,1545.173,1489.95,1447.348,1412.657,1382.124,1355.603,1336.045,1321.915,1313.613,1305.637,1297.798,1290.824,1286.575,1283.058,1279.437,1275.877,1272.046,1269.092,1268.574,1268.375,1268.209,1268.259,1267.555,1265.691,1266.396,1267.2,1267.98,1268.799,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
CRAMLINGTON T1 T3,16671.094,14473.513,13554.094,13126.947,12789.561,12508.55,12257.197,12034.549,11861.552,11727.379,11649.447,11573.899,11499.398,11431.262,11382.645,11338.285,11298.85,11259.748,11218.787,11184.436,11167.742,11153.292,11138.94,11125.741,11107.121,11080.349,11071.329,11062.916,11054.609,11046.625,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
CRAMLINGTON T2 T4,16259.108,14212.82,13356.605,12955.704,12637.807,12372.02,12133.637,11921.766,11755.786,11625.671,11552.484,11481.483,11411.458,11347.346,11301.306,11259.359,11223.435,11187.765,11150.403,11119.285,11104.59,11092.007,11079.469,11067.839,11051.156,11026.958,11018.881,11011.356,11004.019,10996.991,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
DARLEY,8442.597,7126.625,6577.085,6328.921,6135.837,5977.389,5837.206,5714.696,5622.588,5554.254,5510.187,5467.645,5425.763,5387.73,5361.552,5337.772,5313.965,5290.499,5265.881,5245.047,5234.752,5225.777,5216.975,5209.192,5198.222,5182.293,5177.669,5173.449,5169.128,5164.992,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
DARLINGTON 132/6KV,8725.103,7404.83,6852.055,6600.122,6403.12,6240.673,6096.433,5969.836,5873.642,5801.254,5754.666,5709.59,5665.157,5624.584,5595.895,5569.449,5543.562,5517.989,5491.244,5468.313,5455.989,5444.968,5434.096,5424.205,5411.095,5392.991,5386.224,5379.844,5373.38,5367.1,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
DARLINGTON 33/11KV,35635.538,30287.912,28048.905,27027.168,26227.703,25568.047,24982.062,24467.457,24075.85,23780.542,23591.58,23408.73,23228.495,23063.887,22947.369,22839.989,22735.464,22632.191,22524.198,22431.685,22382.118,22337.84,22294.149,22254.365,22201.546,22128.546,22101.276,22075.569,22049.563,22024.302,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
DARLINGTON CENTRAL 33/11KV,15939.442,13652.729,12695.508,12256.066,11911.111,11625.557,11371.282,11147.308,10975.629,10844.88,10763.927,10685.538,10608.251,10537.625,10487.487,10441.427,10397.867,10354.775,10309.686,10271.302,10251.296,10233.575,10216.053,10200.046,10178.435,10148.229,10137.243,10126.913,10116.531,10106.471,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
DARLINGTON EAST,26034.24,22129.364,20496.491,19753.26,19172.443,18693.745,18268.842,17896.042,17613.075,17400.413,17265.571,17135.168,17006.662,16889.548,16807.562,16732.544,16659.388,16587.13,16511.424,16447.037,16414.028,16384.913,16356.223,16330.364,16294.964,16244.807,16227.992,16212.333,16196.453,16181.116,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
DARLINGTON WEST,49340.963,42128.725,39108.82,37725.253,36640.463,35743.565,34945.667,34243.665,33706.944,33299.595,33043.616,32795.826,32551.568,32328.363,32169.832,32023.861,31884.244,31746.221,31601.909,31478.629,31413.228,31355.002,31297.486,31244.955,31174.841,31077.648,31041.405,31007.248,30972.843,30939.461,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
DENWICK,44772.274,38124.895,35425.124,34270.818,33396.991,32698.053,32090.499,31570.745,31204.94,30958.485,30850.329,30748.648,30649.622,30569.223,30549.244,30552.853,30550.26,30548.438,30540.564,30552.553,30618.916,30693.147,30767.902,30846.719,30908.173,30943.429,31034.018,31127.138,31219.743,31313.132,NPgN,Primary,NG FES - Leading the Way (EE CF),Domestic (MWh)
