Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,29478.5,29081.633,28684.664,28287.556,27890.292,27492.884,27095.325,26697.623,26299.776,25901.785,25798.449,25695.592,25593.224,25491.335,25389.934,25289.011,25188.593,25088.673,24989.247,24890.304,24791.842,24693.86,24596.35,24499.201,24402.599,24306.464,24210.795,24115.59,24020.849,23926.571,NPgN,Primary,NG FES - Consumer Transformation (EE CF),I&C (MWh)
AMBERTON ROAD,73073.353,72898.176,71901.312,70904.447,69907.583,68910.719,67913.854,66916.99,65920.125,64923.261,64655.694,64389.243,64123.905,63859.674,63596.547,63334.517,63073.581,62813.735,62554.973,62297.291,62040.685,61785.15,61530.682,61277.275,61024.927,60773.632,60523.385,60274.184,60026.022,59778.896,NPgN,Primary,NG FES - Consumer Transformation (EE CF),I&C (MWh)
ANNFIELD 66/20KV,47284.095,46646.95,46009.669,45372.232,44734.604,44096.835,43458.851,42820.689,42182.324,41543.753,41377.787,41212.593,41048.188,40884.551,40721.63,40559.457,40398.052,40237.434,40077.577,39918.466,39760.115,39602.522,39445.692,39289.734,39134.456,38979.935,38826.169,38673.158,38520.898,38369.389,NPgN,Primary,NG FES - Consumer Transformation (EE CF),I&C (MWh)
ASHINGTON,45280.218,44952.176,44619.152,44280.363,43934.631,43583.698,43224.874,42859.577,42486.79,42106.478,42203.473,42302.991,42405.744,42511.036,42617.125,42725.243,42836.261,42950.952,43068.478,43188.436,43311.36,43437.365,43566.682,43703.431,43840.652,43981.309,44125.435,44273.063,44424.227,44578.959,NPgN,Primary,NG FES - Consumer Transformation (EE CF),I&C (MWh)
AYCLIFFE FORREST,4030.934,3975.944,3920.954,3865.964,3810.975,3755.985,3700.995,3646.005,3591.015,3536.025,3521.265,3506.567,3491.93,3477.355,3462.84,3448.386,3433.992,3419.658,3405.384,3391.169,3377.014,3362.918,3348.881,3334.902,3320.982,3307.12,3293.315,3279.569,3265.88,3252.247,NPgN,Primary,NG FES - Consumer Transformation (EE CF),I&C (MWh)
AYCLIFFE INDUSTRIAL,35321.479,34839.624,34357.77,33875.915,33394.061,32912.206,32430.352,31948.497,31466.643,30984.788,30855.454,30726.66,30598.403,30470.682,30343.494,30216.837,30090.708,29965.106,29840.028,29715.473,29591.437,29467.919,29344.916,29222.427,29100.45,28978.981,28858.019,28737.563,28617.609,28498.156,NPgN,Primary,NG FES - Consumer Transformation (EE CF),I&C (MWh)
BARDEN FRIAR,2186.755,2178.189,2169.308,2160.092,2150.531,2140.223,2129.434,2118.089,2106.069,2093.666,2104.9,2116.337,2128.158,2140.115,2152.364,2164.891,2177.831,2191.243,2204.888,2218.802,2232.932,2247.292,2261.862,2276.087,2290.928,2305.979,2321.243,2336.722,2352.419,2368.335,NPgN,Primary,NG FES - Consumer Transformation (EE CF),I&C (MWh)
BEDALE,72405.818,72607.578,72196.846,71770.25,71327.649,70870.124,70396.298,69913.127,69410.976,68898.186,69156.74,69422.538,69695.585,69975.843,70256.69,70543.307,70839.203,71142.393,71451.112,71765.054,72085.087,72411.96,72744.963,73080.334,73424.111,73773.986,74130.021,74492.273,74860.804,75235.675,NPgN,Primary,NG FES - Consumer Transformation (EE CF),I&C (MWh)
BELMONT,80179.74,81369.006,80275.196,79181.387,78087.577,76993.768,75899.958,74806.149,73712.339,72618.53,72324.941,72032.579,71741.436,71451.509,71162.792,70875.28,70588.969,70303.852,70019.926,69737.184,69455.623,69175.237,68896.022,68617.972,68341.082,68065.348,67790.766,67517.329,67245.034,66973.875,NPgN,Primary,NG FES - Consumer Transformation (EE CF),I&C (MWh)
BENSHAM,35865.982,35376.7,34887.417,34398.135,33908.852,33419.569,32930.287,32441.004,31951.722,31462.439,31331.111,31200.331,31070.098,30940.408,30811.259,30682.649,30554.576,30427.038,30300.032,30173.556,30047.608,29922.186,29797.288,29672.91,29549.052,29425.711,29302.885,29180.571,29058.768,28937.473,NPgN,Primary,NG FES - Consumer Transformation (EE CF),I&C (MWh)
