Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,105,144,212,318,478,721,1073,1571,2260,2814,3461,4210,5059,6003,7022,8217,9473,10760,12027,13130,14132,15009,15765,16383,16866,16981,17082,17173,17256,17333,NPgN,Primary,NG FES - Falling Short (EE CF),Number of electric cars and vans (hybrid and full electric)
AMBERTON ROAD,107,142,205,301,443,655,961,1392,1989,2467,3027,3674,4408,5224,6104,7138,8224,9335,10431,11385,12250,13008,13662,14196,14614,14713,14801,14879,14951,15018,NPgN,Primary,NG FES - Falling Short (EE CF),Number of electric cars and vans (hybrid and full electric)
ANNFIELD 66/20KV,162,209,292,415,592,850,1215,1729,2441,3010,3676,4445,5318,6288,7336,8565,9856,11178,12481,13614,14643,15545,16322,16958,17454,17572,17676,17770,17855,17935,NPgN,Primary,NG FES - Falling Short (EE CF),Number of electric cars and vans (hybrid and full electric)
ASHINGTON,144,194,283,417,619,923,1362,1981,2839,3527,4332,5262,6318,7491,8757,10243,11804,13403,14979,16350,17594,18684,19624,20393,20993,21135,21261,21374,21477,21574,NPgN,Primary,NG FES - Falling Short (EE CF),Number of electric cars and vans (hybrid and full electric)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Falling Short (EE CF),Number of electric cars and vans (hybrid and full electric)
AYCLIFFE INDUSTRIAL,102,126,169,229,312,424,579,795,1093,1331,1608,1929,2293,2698,3135,3647,4185,4736,5280,5752,6181,6557,6881,7147,7354,7403,7446,7485,7521,7554,NPgN,Primary,NG FES - Falling Short (EE CF),Number of electric cars and vans (hybrid and full electric)
BARDEN FRIAR,6,7,9,13,18,24,34,47,65,79,96,116,138,162,189,220,253,286,319,348,374,397,416,433,445,448,451,453,455,457,NPgN,Primary,NG FES - Falling Short (EE CF),Number of electric cars and vans (hybrid and full electric)
BEDALE,79,104,148,215,313,459,667,961,1368,1694,2075,2516,3016,3571,4171,4875,5615,6372,7119,7768,8358,8874,9319,9683,9968,10035,10095,10148,10197,10243,NPgN,Primary,NG FES - Falling Short (EE CF),Number of electric cars and vans (hybrid and full electric)
BELMONT,135,171,236,328,460,648,911,1280,1790,2199,2675,3226,3852,4547,5297,6178,7102,8049,8983,9795,10532,11178,11735,12190,12546,12630,12705,12772,12833,12890,NPgN,Primary,NG FES - Falling Short (EE CF),Number of electric cars and vans (hybrid and full electric)
BENSHAM,95,122,168,236,334,474,671,949,1333,1640,1998,2413,2884,3406,3971,4633,5329,6041,6744,7355,7909,8395,8814,9157,9424,9488,9544,9594,9640,9683,NPgN,Primary,NG FES - Falling Short (EE CF),Number of electric cars and vans (hybrid and full electric)
