Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,82288.4,81925.952,79209.714,78692.514,79031.15,79912.259,81772.178,83876.665,86682.721,90350.699,97580.785,103744.926,110030.874,115965.669,122416.724,128963.506,136138.395,142839.04,148597.968,154177.884,159451.623,164028.995,168271.489,172177.254,175764.892,178755.087,181520.32,184036.037,186511.766,188940.131,188924.113,188766.527,NPgN,Primary,NPg Planning Scenario,Total demand (MWh)
AMBERTON ROAD,124257.746,123283.017,120459.22,119543.627,119499.483,119998.455,121277.069,123034.083,125655.485,129259.546,134761.444,140642.6,146513.312,151973.298,158388.422,164767.968,172132.037,179122.812,185186.67,191222.582,196965.268,202245.165,207091.414,211423.421,215353.157,218636.221,221681.825,224324.976,226967.093,229504.305,229927.337,229838.648,NPgN,Primary,NPg Planning Scenario,Total demand (MWh)
ANNFIELD 66/20KV,103666.912,103017.708,100378.146,99804.52,100197.066,101198.449,102841.5,105059.352,108161.118,112226.039,118765.724,125311.244,132121.286,138122.813,145622.819,152759.425,160985.546,168752.255,175400.108,181978.699,188195.539,193866.163,199041.74,203444.351,207474.64,210671.221,213653.482,216087.024,218596.408,221034.788,221182.614,220961.981,NPgN,Primary,NPg Planning Scenario,Total demand (MWh)
ASHINGTON,90856.698,90545.904,88071.562,87873.5,88720.562,90250.838,92701.859,95560.894,99322.834,104149.622,111539.679,118964.001,126379.167,133047.263,140844.761,148527.734,157393.148,165768.394,172835.156,179781.647,186228.782,192044.488,197321.312,201870.937,206017.019,209348.794,212470.035,215054.608,217677.797,220168.305,220334.878,220201.481,NPgN,Primary,NPg Planning Scenario,Total demand (MWh)
AYCLIFFE FORREST,2347.949,2315.48,2284.494,2254.941,2226.844,2200.102,2174.647,2150.417,2127.388,2105.532,2084.856,2065.396,2046.943,2029.439,2012.95,1997.384,1983.042,1969.398,1956.212,1943.553,1931.289,1919.395,1907.766,1896.462,1885.413,1874.608,1864.021,1853.617,1843.363,1833.204,1823.042,1812.823,NPgN,Primary,NPg Planning Scenario,Total demand (MWh)
AYCLIFFE INDUSTRIAL,50665.367,50283.328,49133.644,48864.805,49047.108,49426.547,50123.254,51029.146,52352.014,54163.109,56803.485,59640.216,62447.122,65266.084,68149.706,71118.737,74419.361,77592.538,80303.226,82848.244,85283.24,87504.506,89492.266,91250.045,92768.434,94017.462,95102.223,96003.591,96899.689,97762.097,97812.073,97758.778,NPgN,Primary,NPg Planning Scenario,Total demand (MWh)
BARDEN FRIAR,4935.054,4907.476,4842.566,4833.293,4858.584,4949.645,5039.247,5396.402,5839.394,6426.493,6018.076,6423.908,6503.083,6728.973,6787.649,7033.197,7315.978,7639.572,7912.781,8179.865,8394.616,8591.586,8771.018,8964.807,9034.841,9182.039,9222.403,9345.102,9377.844,9428.73,9487.89,9526.701,NPgN,Primary,NPg Planning Scenario,Total demand (MWh)
BEDALE,86412.313,85935.975,84814.092,84636.87,85047.586,85932.042,87124.937,89254.579,92230.318,96225.576,99095.066,104167.089,108782.463,113587.549,118528.028,123587.34,129237.964,134890.976,139778.609,144414.569,148660.789,152516.85,155833.941,158821.737,161245.207,163409.436,165132.681,166720.29,168113.471,169475.15,170027.705,170387.725,NPgN,Primary,NPg Planning Scenario,Total demand (MWh)
BELMONT,114316.656,113306.293,110955.722,110059.876,109890.392,110146.425,110858.083,111916.959,113594.611,115979.515,120495.401,124789.436,129255.397,133452.732,138252.149,143017.084,148487.822,153635.71,157990.328,162193.11,166116.77,169541.55,172581.333,175296.067,177735.43,179713.675,181496.192,183047.786,184569.059,186049.168,185921.993,185619.145,NPgN,Primary,NPg Planning Scenario,Total demand (MWh)
BENSHAM,76196.895,75614.103,74240.259,73932.336,74219.036,74876.697,75968.676,77441.534,79507.736,82227.326,86123.249,90301.14,94510.717,98439.341,103013.295,107363.068,112270.439,117162.148,121407.06,125540.528,129312.794,132710.663,135678.505,138150.234,140268.507,141917.498,143342.02,144413.688,145434.537,146329.05,146273.813,146080.734,NPgN,Primary,NPg Planning Scenario,Total demand (MWh)
