Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed non-renewable generation capacity (MW)
AMBERTON ROAD,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.819,1.587,1.362,1.152,0.959,0.778,0.61,0.457,0.325,0.215,0.129,0.068,0,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed non-renewable generation capacity (MW)
ANNFIELD 66/20KV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed non-renewable generation capacity (MW)
ASHINGTON,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.305,1.23,1.147,1.052,0.962,0.885,0.823,0.766,0.707,0.662,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed non-renewable generation capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed non-renewable generation capacity (MW)
AYCLIFFE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed non-renewable generation capacity (MW)
BARDEN FRIAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed non-renewable generation capacity (MW)
BEDALE,1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.42,1.338,1.248,1.144,1.046,0.962,0.895,0.833,0.769,0.72,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed non-renewable generation capacity (MW)
BELMONT,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.134,0.117,0.1,0.085,0.071,0.057,0.045,0.034,0.024,0.016,0.009,0.005,0,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed non-renewable generation capacity (MW)
BENSHAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed non-renewable generation capacity (MW)
BENTON SQUARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed non-renewable generation capacity (MW)
BENWELL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed non-renewable generation capacity (MW)
BILLINGHAM MARSH HOUSE,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.048,0.042,0.036,0.031,0.025,0.021,0.016,0.012,0.009,0.006,0.003,0.002,0,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed non-renewable generation capacity (MW)
BILLY MILL,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.138,0.993,0.852,0.721,0.6,0.486,0.381,0.286,0.203,0.134,0.081,0.042,0,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed non-renewable generation capacity (MW)
BIRTLEY GROVE 66/11KV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed non-renewable generation capacity (MW)
BIRTLEY GROVE 66/20KV,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.82,3.333,2.86,2.419,2.015,1.633,1.281,0.96,0.682,0.451,0.271,0.143,0,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed non-renewable generation capacity (MW)
