Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0.025,0.035,0.044,0.055,0.068,0.081,0.096,0.109,0.124,0.141,0.157,0.178,0.199,0.221,0.246,0.273,0.301,0.327,0.352,0.378,0.401,0.425,0.45,0.474,0.498,0.524,0.55,0.577,0.605,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed storage capacity (MW)
AMBERTON ROAD,0.016,0.027,0.038,0.049,0.062,0.081,0.097,0.118,0.131,0.149,0.167,0.185,0.212,0.238,0.265,0.297,0.331,0.37,0.399,0.426,0.455,0.477,0.5,0.522,0.542,0.563,0.585,0.607,0.63,0.653,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed storage capacity (MW)
ANNFIELD 66/20KV,0.018,0.031,0.043,0.056,0.07,0.089,0.108,0.13,0.146,0.165,0.186,0.206,0.236,0.264,0.294,0.329,0.366,0.408,0.441,0.472,0.504,0.529,0.557,0.583,0.607,0.633,0.659,0.686,0.713,0.742,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed storage capacity (MW)
ASHINGTON,0.024,0.041,0.056,0.072,0.09,0.113,0.135,0.161,0.182,0.207,0.233,0.26,0.296,0.331,0.368,0.41,0.455,0.505,0.546,0.587,0.629,0.665,0.704,0.742,0.778,0.816,0.856,0.896,0.937,0.98,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed storage capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed storage capacity (MW)
AYCLIFFE INDUSTRIAL,0.007,0.012,0.017,0.022,0.027,0.035,0.042,0.05,0.056,0.064,0.072,0.08,0.091,0.103,0.114,0.127,0.142,0.157,0.17,0.182,0.195,0.205,0.216,0.227,0.237,0.248,0.259,0.27,0.281,0.293,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed storage capacity (MW)
BARDEN FRIAR,0.001,0.002,0.004,0.005,0.006,0.008,0.01,0.013,0.014,0.016,0.018,0.019,0.022,0.025,0.028,0.032,0.036,0.04,0.043,0.046,0.049,0.05,0.052,0.053,0.054,0.055,0.057,0.058,0.059,0.06,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed storage capacity (MW)
BEDALE,0.015,0.026,0.037,0.048,0.062,0.081,0.099,0.12,0.134,0.151,0.169,0.186,0.215,0.242,0.269,0.302,0.338,0.379,0.408,0.435,0.463,0.482,0.503,0.522,0.538,0.556,0.574,0.592,0.611,0.631,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed storage capacity (MW)
BELMONT,0.013,0.022,0.031,0.041,0.051,0.066,0.079,0.095,0.107,0.121,0.136,0.151,0.173,0.194,0.215,0.241,0.268,0.299,0.323,0.346,0.369,0.388,0.407,0.426,0.443,0.462,0.48,0.5,0.519,0.54,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed storage capacity (MW)
BENSHAM,0.009,0.015,0.021,0.028,0.034,0.043,0.052,0.063,0.07,0.08,0.09,0.1,0.114,0.128,0.142,0.159,0.177,0.196,0.212,0.228,0.244,0.257,0.271,0.285,0.298,0.312,0.327,0.341,0.356,0.372,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed storage capacity (MW)
BENTON SQUARE,0.013,0.022,0.03,0.039,0.049,0.062,0.075,0.09,0.101,0.115,0.13,0.144,0.164,0.184,0.205,0.229,0.254,0.283,0.306,0.328,0.351,0.369,0.389,0.409,0.427,0.446,0.466,0.486,0.507,0.528,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed storage capacity (MW)
BENWELL,0.012,0.021,0.03,0.039,0.049,0.062,0.075,0.09,0.101,0.115,0.129,0.143,0.164,0.184,0.204,0.228,0.254,0.283,0.306,0.327,0.35,0.368,0.387,0.406,0.423,0.441,0.46,0.478,0.498,0.518,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed storage capacity (MW)
BILLINGHAM MARSH HOUSE,0.012,0.021,0.028,0.036,0.044,0.053,0.064,0.075,0.085,0.097,0.11,0.124,0.14,0.157,0.174,0.193,0.213,0.234,0.254,0.275,0.295,0.315,0.336,0.357,0.377,0.399,0.421,0.444,0.467,0.491,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed storage capacity (MW)
BILLY MILL,0.011,0.018,0.025,0.033,0.04,0.051,0.061,0.073,0.082,0.094,0.106,0.118,0.134,0.15,0.167,0.186,0.207,0.229,0.248,0.266,0.285,0.301,0.318,0.335,0.351,0.368,0.385,0.403,0.421,0.44,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed storage capacity (MW)
BIRTLEY GROVE 66/11KV,0.008,0.014,0.019,0.025,0.031,0.039,0.047,0.056,0.064,0.072,0.082,0.091,0.103,0.116,0.129,0.144,0.16,0.177,0.192,0.206,0.22,0.232,0.245,0.258,0.27,0.283,0.296,0.31,0.323,0.338,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed storage capacity (MW)
BIRTLEY GROVE 66/20KV,0.005,0.009,0.013,0.017,0.021,0.027,0.033,0.04,0.044,0.05,0.056,0.063,0.072,0.08,0.089,0.1,0.112,0.124,0.134,0.144,0.154,0.161,0.169,0.177,0.184,0.191,0.199,0.207,0.215,0.223,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed storage capacity (MW)
BLAYDON BURN,0.013,0.022,0.031,0.04,0.051,0.067,0.081,0.098,0.109,0.124,0.139,0.153,0.176,0.197,0.22,0.246,0.275,0.308,0.332,0.354,0.378,0.395,0.413,0.43,0.446,0.462,0.479,0.496,0.514,0.532,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed storage capacity (MW)
BLUCHER 33/11KV,0.011,0.02,0.027,0.035,0.043,0.054,0.065,0.078,0.088,0.1,0.112,0.125,0.143,0.16,0.177,0.198,0.22,0.244,0.264,0.283,0.303,0.32,0.338,0.356,0.373,0.391,0.41,0.428,0.448,0.467,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed storage capacity (MW)
BOLDON DOWNHILL,0.008,0.015,0.02,0.025,0.031,0.039,0.047,0.055,0.063,0.071,0.081,0.09,0.102,0.115,0.127,0.142,0.157,0.174,0.188,0.202,0.217,0.23,0.244,0.258,0.271,0.285,0.3,0.315,0.33,0.346,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed storage capacity (MW)
