Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
AMBERTON ROAD,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
ANNFIELD 66/20KV,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
ASHINGTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
AYCLIFFE INDUSTRIAL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
BARDEN FRIAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
BEDALE,0,0,0,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,7,7,7,7,8,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
BELMONT,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
BENSHAM,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
BENTON SQUARE,0,0,0,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,8,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
BENWELL,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,6,6,6,6,6,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
BILLINGHAM MARSH HOUSE,0,1,1,1,2,2,3,4,4,5,6,7,7,8,9,9,10,11,11,12,12,13,14,15,15,16,17,17,18,19,19,20,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
BILLY MILL,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
BIRTLEY GROVE 66/11KV,0,1,1,2,3,3,4,5,6,7,8,9,10,11,12,12,13,14,15,16,17,18,19,20,21,22,22,23,24,25,26,27,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
BIRTLEY GROVE 66/20KV,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
BLAYDON BURN,0,0,1,1,1,1,2,2,3,3,3,4,4,5,5,5,6,6,6,7,7,8,8,8,9,9,10,10,10,11,11,12,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
BLUCHER 33/11KV,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
BOLDON DOWNHILL,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,0,1,1,1,2,3,3,4,5,5,6,7,8,8,9,10,10,11,12,13,13,14,15,15,16,17,18,18,19,20,21,21,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
BOWESFIELD 33/11KV,0,1,1,1,2,2,3,3,4,4,5,5,6,7,7,8,8,9,9,10,10,11,11,12,13,13,14,14,15,16,16,17,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
BOWESFIELD 66/11KV,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
BRANCEPETH,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
BREAMISH STREET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
BRENDA TRADING,0,1,1,1,2,3,3,4,5,5,6,7,8,8,9,10,10,11,12,12,13,14,15,15,16,17,18,18,19,20,21,21,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
CAMPLESHON ROAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
CARLEY HILL,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,5,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
CARLIN HOW T3 T4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NPgN,Primary,NG FES - Steady Progression (EE CF),Number of electric HGVs
