Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,1.8,1.873,1.896,1.919,1.942,2.018,2.106,2.205,2.302,2.421,2.537,2.65,2.764,2.872,2.991,3.124,3.255,3.388,3.515,3.641,3.767,3.892,4.018,4.143,4.268,4.394,4.519,4.644,4.77,4.895,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
AMBERTON ROAD,1.718,1.741,1.765,1.789,1.813,1.882,1.962,2.054,2.148,2.265,2.384,2.505,2.625,2.747,2.865,2.977,3.088,3.2,3.313,3.428,3.542,3.657,3.771,3.886,4.001,4.115,4.23,4.345,4.459,4.574,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
ANNFIELD 66/20KV,14.096,14.124,14.15,14.177,14.204,14.285,14.379,14.487,14.594,14.727,14.859,14.991,15.123,15.253,15.386,15.522,15.658,15.794,15.929,16.064,16.199,16.333,16.468,16.603,16.737,16.872,17.007,17.141,17.276,17.41,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
ASHINGTON,5.906,5.95,5.99,6.03,6.07,6.192,6.334,6.494,6.652,6.848,7.041,7.231,7.421,7.607,7.803,8.011,8.218,8.426,8.629,8.832,9.034,9.236,9.437,9.639,9.841,10.043,10.245,10.447,10.649,10.851,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
AYCLIFFE INDUSTRIAL,0.934,0.946,0.957,0.968,0.978,1.012,1.05,1.094,1.138,1.192,1.246,1.299,1.352,1.404,1.458,1.515,1.571,1.627,1.683,1.739,1.794,1.849,1.904,1.96,2.015,2.07,2.125,2.181,2.236,2.291,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
BARDEN FRIAR,0.063,0.064,0.066,0.068,0.07,0.074,0.079,0.085,0.091,0.099,0.107,0.116,0.125,0.135,0.143,0.149,0.155,0.161,0.167,0.174,0.181,0.188,0.196,0.203,0.21,0.217,0.224,0.231,0.238,0.245,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
BEDALE,2.761,2.779,2.8,2.822,2.843,2.902,2.971,3.05,3.131,3.232,3.337,3.443,3.549,3.658,3.76,3.853,3.947,4.04,4.137,4.234,4.332,4.43,4.528,4.627,4.725,4.823,4.921,5.019,5.117,5.215,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
BELMONT,1.395,1.415,1.435,1.456,1.476,1.535,1.605,1.684,1.763,1.863,1.963,2.065,2.166,2.268,2.367,2.465,2.562,2.66,2.758,2.856,2.955,3.054,3.152,3.251,3.35,3.448,3.547,3.646,3.744,3.843,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
BENSHAM,0.398,0.413,0.427,0.441,0.455,0.498,0.548,0.606,0.662,0.733,0.802,0.871,0.94,1.008,1.078,1.152,1.225,1.299,1.371,1.443,1.515,1.587,1.659,1.731,1.803,1.875,1.946,2.018,2.09,2.162,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
BENTON SQUARE,1.687,1.708,1.726,1.744,1.762,1.821,1.889,1.966,2.041,2.135,2.226,2.315,2.405,2.492,2.585,2.687,2.788,2.889,2.988,3.085,3.182,3.279,3.376,3.474,3.571,3.668,3.765,3.862,3.959,4.056,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
BENWELL,1.026,1.046,1.063,1.081,1.098,1.154,1.219,1.293,1.365,1.456,1.544,1.631,1.719,1.804,1.894,1.99,2.085,2.181,2.275,2.368,2.46,2.553,2.645,2.738,2.831,2.923,3.016,3.109,3.201,3.294,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed renewable generation capacity (MW)
