Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
AMBERTON ROAD,0,0,0,0,0,0,1,1,2,2,3,5,7,11,15,20,25,29,34,38,42,46,48,47,47,46,45,44,43,43,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
ANNFIELD 66/20KV,0,0,0,0,0,0,1,1,2,3,4,6,9,13,19,25,31,37,43,48,53,58,60,60,59,58,57,56,55,54,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
ASHINGTON,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,4,5,6,6,7,7,7,7,7,7,7,7,7,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
AYCLIFFE INDUSTRIAL,0,0,0,0,0,0,0,1,1,2,3,5,7,10,14,18,23,27,31,35,39,42,44,44,43,42,42,41,40,39,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BARDEN FRIAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BEDALE,0,0,0,0,0,1,1,2,3,5,8,11,16,23,33,44,54,64,74,84,93,100,105,104,103,101,99,97,96,94,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BELMONT,0,0,0,0,0,0,0,1,1,2,2,3,5,7,10,13,16,19,22,25,28,30,32,31,31,30,30,29,29,28,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BENSHAM,0,0,0,0,0,0,1,1,2,2,4,5,8,11,15,20,25,30,35,39,43,47,49,49,48,47,47,46,45,44,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BENTON SQUARE,0,0,0,0,0,1,1,2,3,5,8,11,16,23,33,43,54,64,74,83,92,100,105,104,102,100,99,97,95,93,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BENWELL,0,0,0,0,0,1,1,2,3,4,6,9,14,20,28,37,46,54,63,71,78,85,89,88,87,86,84,82,81,79,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BILLINGHAM MARSH HOUSE,0,0,0,1,1,2,3,5,9,13,20,30,43,62,87,116,143,170,196,221,245,265,279,276,272,267,263,258,252,248,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BILLY MILL,0,0,0,0,0,1,1,2,3,4,6,9,13,18,25,34,42,49,57,64,71,77,81,80,79,78,76,75,73,72,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BIRTLEY GROVE 66/11KV,0,0,0,1,1,2,4,7,12,18,27,40,59,84,118,157,194,230,265,299,331,359,378,374,368,362,356,349,342,335,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BIRTLEY GROVE 66/20KV,0,0,0,0,0,0,1,1,2,3,4,6,9,13,19,25,31,36,42,47,52,57,60,59,58,57,56,55,54,53,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BLAYDON BURN,0,0,0,0,1,1,2,3,5,8,12,17,25,36,51,67,83,99,114,129,142,154,162,161,158,156,153,150,147,144,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BLUCHER 33/11KV,0,0,0,0,0,0,1,1,2,4,6,8,12,17,24,32,40,47,54,61,68,74,77,77,75,74,73,72,70,69,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BOLDON DOWNHILL,0,0,0,0,0,0,1,1,2,3,4,6,8,12,17,23,28,33,38,43,48,52,55,54,53,52,51,50,49,48,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,0,0,0,1,1,2,3,6,9,14,21,31,46,66,93,123,152,180,208,234,259,281,296,293,288,284,279,273,268,263,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BOWESFIELD 33/11KV,0,0,0,0,1,1,3,4,7,11,17,25,36,52,72,96,119,141,163,184,203,220,232,229,226,222,218,214,210,206,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BOWESFIELD 66/11KV,0,0,0,0,0,0,0,1,1,2,3,5,7,10,14,18,22,27,31,34,38,41,44,43,42,42,41,40,39,39,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BRANCEPETH,0,0,0,0,0,0,0,0,1,1,2,3,4,6,8,10,13,15,18,20,22,24,25,25,24,24,24,23,23,22,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BREAMISH STREET,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,4,5,6,6,7,7,7,7,7,7,7,7,7,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
BRENDA TRADING,0,0,0,1,1,2,3,6,9,14,21,31,46,66,92,122,151,180,207,234,259,281,295,292,287,283,278,273,267,262,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
CAMPLESHON ROAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
CARLEY HILL,0,0,0,0,0,0,1,1,2,3,4,7,10,14,20,26,32,38,44,50,55,60,63,62,61,60,59,58,57,56,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
CARLIN HOW T3 T4,0,0,0,0,0,0,0,0,0,1,1,2,2,3,5,6,8,9,10,12,13,14,15,15,14,14,14,14,13,13,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
CARR HILL,0,0,0,0,0,1,1,2,4,6,8,12,18,26,37,49,60,71,82,93,103,112,117,116,114,112,110,108,106,104,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
CATTERICK CAMP,0,0,0,0,0,0,0,1,1,2,3,4,6,8,12,15,19,22,26,29,32,35,37,37,36,35,35,34,33,33,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
CLOSE,0,0,0,0,0,0,0,1,1,1,2,3,4,6,9,11,14,17,19,22,24,26,27,27,27,26,26,25,25,24,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
CONEYTHORPE,0,0,0,0,0,0,1,1,2,2,4,5,8,11,16,21,26,31,35,40,44,48,50,50,49,48,47,46,45,45,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
CONSETT,0,0,0,0,1,1,2,3,5,8,11,17,24,35,49,65,80,95,110,124,137,149,156,155,152,150,147,144,142,139,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
CORPORATION STREET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
COWTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
CRAMLINGTON T1 T3,0,0,0,0,0,0,1,1,2,3,4,7,10,14,19,26,32,38,44,49,54,59,62,61,60,59,58,57,56,55,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
CRAMLINGTON T2 T4,0,0,0,0,0,1,1,2,4,6,9,13,19,27,38,50,62,73,85,95,105,114,120,119,117,115,113,111,109,107,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
DARLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
DARLINGTON 132/6KV,0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,7,8,10,11,13,14,15,16,16,16,16,15,15,15,14,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
DARLINGTON 33/11KV,0,0,0,0,0,0,0,1,1,1,2,3,4,6,9,11,14,17,19,22,24,26,27,27,27,26,26,25,25,24,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
DARLINGTON CENTRAL 33/11KV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
DARLINGTON EAST,0,0,0,1,1,2,3,5,8,12,18,27,40,57,81,107,132,157,181,204,226,245,257,255,251,247,242,238,233,229,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
DARLINGTON WEST,0,0,0,1,1,2,4,7,12,17,26,38,56,81,114,150,186,221,255,288,318,345,363,359,353,348,342,335,329,322,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
DENWICK,0,0,0,0,0,0,1,1,2,3,4,7,10,14,20,26,32,38,44,50,55,60,63,62,61,60,59,58,57,56,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
DUNSTON 66/11KV,0,0,0,0,0,0,1,1,2,3,4,7,10,14,19,26,32,38,44,49,54,59,62,61,60,59,58,57,56,55,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
DUNSTON 66/20KV,0,0,0,0,0,0,0,0,1,1,1,2,3,4,6,7,9,11,12,14,16,17,18,18,17,17,17,16,16,16,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
DURHAM EAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
EASTFIELD,0,0,0,0,0,1,1,2,4,5,8,12,17,25,35,46,57,67,78,88,97,105,111,110,108,106,104,102,100,98,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
EASTGATE CEMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
EDUCATIONAL PRECINCT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
ELVINGTON,0,0,0,0,0,1,1,2,3,4,6,9,13,19,26,35,43,51,59,67,74,80,84,83,82,81,79,78,76,75,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
FARADAY STREET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
FAWDON T1 & SEATON BURN T1,0,0,0,0,0,1,1,2,4,6,9,13,20,28,40,53,65,77,89,101,111,121,127,126,124,122,119,117,115,113,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
FISHBURN,0,0,0,0,0,1,1,3,4,7,10,14,21,30,43,57,70,83,96,108,120,130,136,135,133,131,129,126,124,121,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
FLATWORTH CENTRAL,0,0,0,0,0,1,1,2,3,5,8,11,17,24,34,45,56,66,76,86,95,103,108,107,106,104,102,100,98,96,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
FOSS ISLANDS,0,0,0,0,0,1,1,2,3,4,6,9,14,20,28,37,45,54,62,70,78,84,89,88,86,85,83,82,80,79,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
FOSSWAY 33/11KV,0,0,0,0,0,1,1,2,4,5,8,12,17,25,35,46,57,67,78,88,97,105,111,110,108,106,104,102,100,98,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
FOURSTONES 20KV,0,0,0,0,0,0,0,0,0,1,1,2,2,3,5,6,8,9,10,12,13,14,15,15,14,14,14,14,13,13,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
FYLANDS BRIDGE,0,0,0,0,0,0,1,1,2,3,5,8,11,16,23,30,37,44,51,57,63,69,72,72,70,69,68,67,65,64,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
GALE LANE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
GARWOOD STREET,0,0,0,0,0,0,1,1,2,3,4,6,9,12,18,23,29,34,39,44,49,53,56,56,55,54,53,52,51,50,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
GATESHEAD CENTRAL,0,0,0,0,0,1,1,2,3,5,7,10,15,21,30,39,48,58,66,75,83,90,94,93,92,91,89,87,86,84,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
GATESHEAD EAST,0,0,0,0,1,1,2,4,6,9,14,20,29,42,59,78,97,115,133,150,166,180,189,187,184,181,178,174,171,168,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
GOSFORTH 33/11KV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
GRANGETOWN,0,0,1,1,2,4,8,13,22,34,50,74,108,155,218,289,358,425,490,553,611,663,697,690,679,668,657,644,631,619,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
GREATHAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
GUISBOROUGH T1 T2,0,0,0,0,0,0,0,0,1,1,1,2,3,4,6,8,10,12,13,15,17,18,19,19,19,18,18,18,17,17,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
GUISBOROUGH T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
HARLOW GREEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
HARMIRE BRIDGE,0,0,0,0,0,1,1,2,4,6,9,13,19,28,39,51,64,76,87,98,109,118,124,123,121,119,117,114,112,110,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
HARRATON,0,0,0,0,0,1,1,2,3,4,6,9,14,20,27,36,45,53,62,70,77,83,88,87,85,84,83,81,79,78,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
HARROGATE 132/11KV,0,0,0,0,0,1,1,2,3,4,6,9,13,19,26,35,43,51,59,67,74,80,84,83,82,81,79,78,76,75,NPgN,Primary,NG FES - System Transformation (EE CF),Number of electric HGVs
