Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,49120.4,45573.343,44052.685,42974.108,42290.352,42106.936,42025.568,41976.603,41921.585,41843.66,41717.714,41597.84,41494.983,41381.534,41260.998,41144.912,41124.485,41113.53,41099.049,41102.561,41167.068,41237.831,41324.852,41458.866,41590.372,41720.41,41851.282,41977.637,42102.262,42226.174,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
AMBERTON ROAD,49346.305,45581.707,43960.878,42812.881,42088.97,41902.801,41829.011,41791.271,41747.003,41678.393,41558.844,41447.963,41356.708,41254.857,41146.315,41052.508,41032.536,41022.732,41009.893,41015.944,41087.128,41164.421,41259.498,41406.412,41551.863,41693.904,41836.044,41972.75,42107.512,42241.251,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
ANNFIELD 66/20KV,52435.078,48365.626,46612.029,45370.954,44590.112,44392.898,44318.5,44283.601,44241.582,44173.218,44049.767,43936.387,43844.698,43741.74,43631.781,43540.769,43520.845,43511.947,43499.983,43508.361,43587.257,43672.561,43777.237,43938.544,44098.63,44254.439,44410.108,44559.679,44707.101,44853.32,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
ASHINGTON,37275.665,34456.529,33243.312,32383.722,31841.049,31700.159,31642.903,31612.439,31577.09,31523.53,31431.832,31346.362,31275.383,31196.404,31112.307,31037.715,31022.022,31013.93,31003.474,31007.171,31059.553,31116.532,31186.741,31295.488,31402.993,31508.172,31613.542,31714.891,31814.791,31913.946,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
AYCLIFFE INDUSTRIAL,20857.885,19230.387,18529.088,18032.927,17721.119,17643.219,17614.671,17602.012,17586.498,17560.425,17512.284,17468.278,17433.039,17393.314,17350.824,17316.504,17309.186,17306.282,17302.178,17306.213,17338.542,17373.417,17416.091,17481.594,17546.68,17609.952,17673.125,17733.823,17793.658,17852.999,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
BARDEN FRIAR,1392.101,1299.214,1264.615,1242.721,1232.179,1235.939,1242.536,1249.922,1257.043,1263.373,1268.224,1273.061,1278.239,1282.937,1287.283,1292.04,1299.738,1307.655,1315.421,1323.7,1333.69,1343.945,1354.625,1366.51,1378.18,1389.863,1401.515,1413.116,1424.641,1436.151,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
BEDALE,20512.651,18911.581,18228.13,17748.239,17451.265,17386.085,17369.803,17369.116,17365.474,17351.208,17314.989,17282.687,17258.904,17230.469,17199.124,17176.512,17180.013,17187.82,17194.408,17209.032,17251.55,17296.68,17349.462,17424.611,17499.169,17571.957,17644.547,17714.779,17784.114,17852.957,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
BELMONT,38129.482,35307.945,34098.209,33241.859,32701.837,32562.941,32506.799,32477.033,32442.355,32389.348,32298.001,32212.232,32140.538,32060.566,31975.178,31896.897,31884.979,31880.627,31873.682,31880.994,31937.105,31998.006,32072.054,32184.297,32294.947,32403.756,32512.938,32618.278,32722.186,32825.419,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
BENSHAM,35710.215,33619.91,32737.145,32105.375,31693.211,31558.296,31473.353,31403.437,31330.333,31243.977,31129.525,31013.276,30903.268,30785.574,30661.808,30516.299,30494.812,30478.658,30458.783,30450.022,30476.025,30507.065,30546.375,30608.377,30666.01,30727.37,30791.174,30853.97,30916.063,30978.438,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
BENTON SQUARE,47512.187,44063.838,42585.409,41537.209,40873.399,40696.75,40619.687,40574.269,40522.934,40449.305,40328.959,40214.698,40117.103,40009.247,39894.549,39784.915,39765.991,39756.28,39743.189,39747.567,39811.286,39881.021,39966.601,40098.037,40227.128,40354.627,40482.871,40606.65,40728.728,40850.079,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
BENWELL,49504.518,46125.716,44685.826,43663.949,43013.725,42834.28,42748.243,42691.483,42629.004,42544.649,42414.4,42287.758,42175.807,42053.07,41922.723,41787.06,41769.164,41760.169,41747.104,41751.393,41813.509,41882.102,41965.697,42092.253,42215.242,42338.6,42463.49,42584.683,42704.315,42823.513,NPgN,Primary,NG FES - System Transformation (EE CF),Domestic (MWh)
