Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,1.7,1.772,1.793,1.813,1.833,1.906,1.991,2.085,2.174,2.284,2.388,2.486,2.585,2.675,2.784,2.918,3.049,3.181,3.305,3.427,3.547,3.667,3.787,3.907,4.027,4.147,4.267,4.388,4.508,4.628,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
AMBERTON ROAD,1.59,1.613,1.63,1.647,1.664,1.726,1.797,1.876,1.952,2.044,2.132,2.214,2.298,2.374,2.466,2.578,2.688,2.8,2.904,3.007,3.108,3.209,3.31,3.411,3.513,3.614,3.715,3.816,3.917,4.019,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
ANNFIELD 66/20KV,1.719,1.747,1.768,1.789,1.81,1.884,1.971,2.067,2.158,2.271,2.377,2.476,2.578,2.67,2.782,2.918,3.051,3.186,3.313,3.438,3.56,3.683,3.806,3.929,4.051,4.174,4.297,4.42,4.542,4.665,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
ASHINGTON,2.261,2.304,2.335,2.366,2.397,2.509,2.639,2.782,2.92,3.088,3.248,3.397,3.55,3.687,3.855,4.059,4.26,4.463,4.653,4.839,5.024,5.208,5.392,5.576,5.76,5.944,6.128,6.313,6.497,6.681,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
AYCLIFFE INDUSTRIAL,0.823,0.835,0.843,0.852,0.86,0.891,0.927,0.967,1.005,1.052,1.096,1.137,1.179,1.217,1.263,1.32,1.375,1.431,1.484,1.535,1.586,1.637,1.688,1.739,1.79,1.841,1.892,1.943,1.993,2.044,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
BARDEN FRIAR,0.051,0.053,0.054,0.054,0.055,0.059,0.062,0.066,0.07,0.075,0.08,0.084,0.088,0.092,0.097,0.103,0.108,0.114,0.12,0.125,0.13,0.135,0.141,0.146,0.151,0.156,0.162,0.167,0.172,0.177,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
BEDALE,1.342,1.361,1.376,1.39,1.404,1.455,1.514,1.579,1.641,1.718,1.79,1.858,1.928,1.99,2.066,2.159,2.25,2.342,2.429,2.513,2.597,2.681,2.764,2.848,2.932,3.015,3.099,3.183,3.266,3.35,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
BELMONT,1.305,1.325,1.34,1.355,1.37,1.423,1.485,1.553,1.619,1.699,1.775,1.846,1.919,1.985,2.064,2.162,2.257,2.354,2.445,2.533,2.621,2.709,2.797,2.884,2.972,3.06,3.148,3.235,3.323,3.411,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
BENSHAM,0.344,0.359,0.371,0.382,0.393,0.434,0.481,0.533,0.583,0.644,0.702,0.756,0.811,0.861,0.922,0.996,1.069,1.142,1.211,1.279,1.345,1.412,1.479,1.546,1.612,1.679,1.746,1.813,1.879,1.946,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
BENTON SQUARE,1.514,1.535,1.55,1.566,1.582,1.638,1.702,1.774,1.843,1.927,2.007,2.081,2.158,2.227,2.31,2.412,2.513,2.614,2.709,2.802,2.894,2.986,3.078,3.17,3.262,3.354,3.446,3.538,3.63,3.722,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
BENWELL,0.959,0.979,0.993,1.008,1.023,1.076,1.137,1.205,1.269,1.349,1.424,1.495,1.567,1.632,1.711,1.807,1.902,1.997,2.087,2.175,2.262,2.349,2.435,2.522,2.609,2.696,2.783,2.87,2.957,3.043,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
BILLINGHAM MARSH HOUSE,2.212,2.236,2.254,2.272,2.289,2.353,2.426,2.507,2.585,2.681,2.771,2.855,2.942,3.02,3.115,3.23,3.344,3.458,3.566,3.672,3.776,3.88,3.984,4.089,4.193,4.297,4.401,4.506,4.61,4.714,NPgN,Primary,NG FES - Falling Short (EE CF),Total installed PV capacity - domestic (MW)
