Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,2.1,2.142,2.235,2.347,2.543,2.791,3.09,3.387,3.679,3.963,4.268,4.568,4.867,5.165,5.472,5.801,6.138,6.461,6.781,7.1,7.419,7.738,8.056,8.375,8.694,9.013,9.332,9.65,9.969,10.288,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
AMBERTON ROAD,1.9,1.972,2.067,2.181,2.367,2.597,2.872,3.149,3.428,3.711,4.019,4.329,4.639,4.95,5.257,5.553,5.846,6.145,6.446,6.747,7.048,7.349,7.65,7.952,8.253,8.554,8.855,9.157,9.458,9.759,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
ANNFIELD 66/20KV,14.317,14.404,14.51,14.637,14.851,15.119,15.44,15.761,16.081,16.399,16.743,17.086,17.428,17.771,18.115,18.465,18.816,19.164,19.511,19.859,20.206,20.554,20.901,21.249,21.596,21.944,22.292,22.64,22.987,23.335,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
ASHINGTON,6.233,6.364,6.519,6.704,7.02,7.417,7.893,8.368,8.839,9.304,9.804,10.3,10.795,11.29,11.792,12.314,12.842,13.359,13.873,14.387,14.901,15.416,15.93,16.445,16.959,17.475,17.991,18.506,19.022,19.538,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
AYCLIFFE INDUSTRIAL,1.025,1.061,1.104,1.155,1.243,1.352,1.484,1.615,1.746,1.875,2.015,2.153,2.292,2.43,2.57,2.714,2.859,3.002,3.144,3.286,3.428,3.57,3.712,3.854,3.996,4.138,4.281,4.423,4.565,4.707,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
BARDEN FRIAR,0.073,0.077,0.083,0.092,0.104,0.118,0.135,0.152,0.17,0.189,0.211,0.233,0.255,0.278,0.299,0.317,0.333,0.351,0.371,0.39,0.409,0.428,0.448,0.467,0.486,0.505,0.525,0.544,0.563,0.583,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
BEDALE,2.912,2.972,3.056,3.156,3.315,3.511,3.745,3.982,4.222,4.467,4.734,5.005,5.276,5.548,5.814,6.065,6.311,6.566,6.824,7.082,7.341,7.599,7.858,8.117,8.375,8.634,8.893,9.152,9.411,9.67,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
BELMONT,1.552,1.614,1.695,1.791,1.949,2.146,2.382,2.619,2.857,3.096,3.356,3.617,3.878,4.139,4.399,4.654,4.907,5.163,5.42,5.677,5.934,6.192,6.449,6.706,6.964,7.221,7.479,7.736,7.994,8.252,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
BENSHAM,0.516,0.562,0.618,0.685,0.799,0.942,1.114,1.285,1.456,1.624,1.806,1.986,2.167,2.347,2.529,2.717,2.906,3.092,3.277,3.462,3.647,3.833,4.018,4.203,4.388,4.573,4.758,4.943,5.128,5.313,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
BENTON SQUARE,1.851,1.915,1.988,2.076,2.228,2.421,2.653,2.883,3.111,3.334,3.574,3.81,4.046,4.281,4.522,4.776,5.036,5.286,5.535,5.783,6.031,6.279,6.527,6.775,7.023,7.272,7.52,7.768,8.016,8.264,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
BENWELL,1.18,1.24,1.311,1.396,1.543,1.727,1.949,2.169,2.388,2.603,2.834,3.064,3.293,3.522,3.755,3.997,4.242,4.482,4.72,4.958,5.196,5.434,5.671,5.909,6.147,6.385,6.622,6.86,7.098,7.336,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
BILLINGHAM MARSH HOUSE,13.284,13.356,13.434,13.528,13.695,13.907,14.163,14.416,14.664,14.904,15.16,15.411,15.661,15.91,16.168,16.452,16.743,17.019,17.291,17.563,17.835,18.106,18.378,18.649,18.921,19.192,19.464,19.736,20.007,20.279,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
BILLY MILL,1.661,1.717,1.78,1.856,1.988,2.156,2.358,2.558,2.756,2.948,3.155,3.358,3.561,3.763,3.971,4.193,4.42,4.638,4.854,5.07,5.285,5.501,5.716,5.931,6.147,6.362,6.578,6.793,7.009,7.224,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
BIRTLEY GROVE 66/11KV,1.183,1.226,1.276,1.336,1.439,1.569,1.725,1.881,2.035,2.186,2.349,2.51,2.671,2.831,2.995,3.166,3.339,3.509,3.676,3.844,4.012,4.179,4.347,4.515,4.682,4.85,5.018,5.185,5.353,5.521,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
BIRTLEY GROVE 66/20KV,0.548,0.574,0.605,0.643,0.706,0.785,0.879,0.974,1.069,1.163,1.265,1.367,1.469,1.571,1.674,1.776,1.879,1.981,2.084,2.186,2.289,2.391,2.494,2.596,2.699,2.801,2.904,3.006,3.109,3.211,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
BLAYDON BURN,1.168,1.223,1.294,1.379,1.519,1.694,1.903,2.113,2.323,2.534,2.763,2.993,3.223,3.454,3.683,3.909,4.134,4.361,4.588,4.816,5.043,5.271,5.498,5.726,5.953,6.181,6.409,6.636,6.864,7.091,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
BLUCHER 33/11KV,1.358,1.418,1.484,1.563,1.702,1.88,2.093,2.304,2.512,2.714,2.931,3.143,3.356,3.567,3.785,4.02,4.261,4.492,4.719,4.947,5.174,5.401,5.628,5.855,6.082,6.309,6.537,6.764,6.991,7.218,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
BOLDON DOWNHILL,1.9,1.947,1.999,2.062,2.173,2.313,2.481,2.648,2.813,2.973,3.145,3.314,3.482,3.65,3.823,4.008,4.198,4.381,4.561,4.74,4.92,5.1,5.279,5.459,5.639,5.818,5.998,6.178,6.358,6.537,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,0.96,0.979,1.004,1.035,1.084,1.145,1.218,1.291,1.365,1.439,1.52,1.602,1.683,1.765,1.846,1.925,2.003,2.082,2.162,2.241,2.321,2.401,2.481,2.561,2.641,2.721,2.801,2.881,2.961,3.041,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
BOWESFIELD 33/11KV,0.771,0.818,0.884,0.964,1.089,1.243,1.427,1.614,1.803,1.998,2.211,2.428,2.645,2.862,3.074,3.27,3.461,3.662,3.865,4.068,4.271,4.475,4.678,4.882,5.085,5.289,5.492,5.696,5.899,6.103,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
BOWESFIELD 66/11KV,0.9,0.935,0.979,1.033,1.121,1.229,1.36,1.491,1.623,1.756,1.9,2.046,2.192,2.338,2.482,2.623,2.762,2.903,3.045,3.188,3.33,3.472,3.615,3.757,3.899,4.042,4.184,4.327,4.469,4.611,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
BRANCEPETH,17.16,17.258,17.379,17.523,17.766,18.07,18.434,18.799,19.162,19.523,19.914,20.304,20.693,21.082,21.473,21.851,22.23,22.606,22.981,23.356,23.732,24.107,24.482,24.858,25.233,25.609,25.985,26.36,26.736,27.131,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
BREAMISH STREET,0.373,0.396,0.428,0.466,0.528,0.605,0.696,0.789,0.882,0.976,1.079,1.183,1.287,1.391,1.493,1.592,1.689,1.788,1.888,1.989,2.089,2.189,2.289,2.39,2.49,2.59,2.691,2.791,2.891,2.992,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
BRENDA TRADING,2.113,2.197,2.303,2.429,2.64,2.902,3.217,3.532,3.848,4.164,4.506,4.849,5.192,5.535,5.878,6.219,6.559,6.9,7.242,7.584,7.925,8.267,8.609,8.95,9.292,9.634,9.976,10.317,10.659,11.001,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
CAMPLESHON ROAD,1.992,2.055,2.129,2.218,2.37,2.561,2.79,3.018,3.245,3.469,3.712,3.952,4.193,4.433,4.676,4.926,5.178,5.426,5.672,5.919,6.166,6.412,6.659,6.905,7.152,7.399,7.645,7.892,8.139,8.385,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
CARLEY HILL,1.579,1.65,1.737,1.842,2.018,2.239,2.505,2.77,3.034,3.297,3.58,3.863,4.146,4.429,4.713,5.002,5.292,5.579,5.866,6.152,6.439,6.726,7.012,7.299,7.585,7.872,8.159,8.445,8.732,9.018,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
CARLIN HOW T3 T4,4.721,4.799,4.9,5.021,5.221,5.469,5.766,6.064,6.363,6.664,6.992,7.321,7.65,7.979,8.306,8.626,8.945,9.267,9.591,9.914,10.238,10.562,10.885,11.209,11.533,11.857,12.18,12.504,12.828,13.152,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
CARR HILL,1.937,2.023,2.123,2.242,2.448,2.708,3.021,3.331,3.639,3.941,4.265,4.586,4.906,5.225,5.551,5.894,6.243,6.581,6.916,7.251,7.586,7.921,8.256,8.591,8.926,9.261,9.596,9.931,10.266,10.601,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed renewable generation capacity (MW)
