Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0.024,0.033,0.043,0.055,0.071,0.088,0.109,0.129,0.153,0.178,0.205,0.238,0.271,0.307,0.346,0.388,0.432,0.476,0.521,0.569,0.616,0.666,0.717,0.769,0.824,0.881,0.939,1,1.063,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
AMBERTON ROAD,0.014,0.024,0.033,0.044,0.057,0.075,0.093,0.115,0.134,0.156,0.181,0.206,0.239,0.273,0.308,0.348,0.39,0.437,0.479,0.521,0.566,0.607,0.65,0.694,0.738,0.784,0.832,0.881,0.932,0.985,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
ANNFIELD 66/20KV,0.016,0.028,0.039,0.051,0.065,0.085,0.106,0.131,0.154,0.18,0.208,0.238,0.276,0.315,0.356,0.402,0.451,0.505,0.554,0.603,0.656,0.705,0.757,0.81,0.864,0.92,0.977,1.037,1.1,1.164,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
ASHINGTON,0.022,0.038,0.053,0.069,0.089,0.114,0.142,0.175,0.207,0.244,0.284,0.327,0.378,0.432,0.489,0.551,0.618,0.69,0.759,0.829,0.904,0.977,1.053,1.132,1.212,1.296,1.383,1.473,1.566,1.662,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
AYCLIFFE INDUSTRIAL,0.006,0.011,0.015,0.02,0.026,0.034,0.042,0.052,0.061,0.072,0.083,0.096,0.111,0.126,0.143,0.161,0.181,0.202,0.222,0.242,0.263,0.284,0.305,0.327,0.349,0.372,0.396,0.421,0.447,0.473,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
BARDEN FRIAR,0.001,0.002,0.003,0.004,0.005,0.007,0.008,0.01,0.011,0.013,0.015,0.017,0.02,0.022,0.025,0.028,0.032,0.036,0.039,0.042,0.045,0.048,0.05,0.052,0.055,0.057,0.06,0.062,0.065,0.068,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
BEDALE,0.013,0.022,0.031,0.041,0.053,0.071,0.088,0.109,0.126,0.147,0.169,0.191,0.222,0.253,0.286,0.323,0.363,0.407,0.445,0.482,0.522,0.557,0.594,0.63,0.667,0.705,0.745,0.786,0.828,0.872,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
BELMONT,0.011,0.02,0.028,0.037,0.047,0.062,0.077,0.095,0.111,0.13,0.151,0.173,0.2,0.228,0.258,0.291,0.327,0.366,0.401,0.436,0.474,0.51,0.547,0.585,0.623,0.663,0.705,0.747,0.792,0.838,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
BENSHAM,0.008,0.014,0.02,0.026,0.033,0.043,0.054,0.066,0.078,0.092,0.106,0.122,0.142,0.162,0.183,0.206,0.231,0.258,0.284,0.31,0.338,0.364,0.392,0.421,0.45,0.48,0.512,0.544,0.578,0.613,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
BENTON SQUARE,0.012,0.02,0.028,0.036,0.047,0.061,0.076,0.094,0.11,0.129,0.15,0.172,0.199,0.228,0.257,0.29,0.326,0.364,0.4,0.436,0.475,0.511,0.55,0.59,0.63,0.672,0.715,0.76,0.807,0.855,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
BENWELL,0.011,0.019,0.027,0.036,0.046,0.06,0.074,0.092,0.108,0.126,0.146,0.167,0.194,0.221,0.25,0.282,0.316,0.354,0.388,0.423,0.46,0.495,0.532,0.569,0.607,0.646,0.687,0.73,0.774,0.819,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
BILLINGHAM MARSH HOUSE,0.012,0.02,0.028,0.036,0.046,0.058,0.072,0.089,0.106,0.126,0.147,0.17,0.197,0.225,0.255,0.287,0.321,0.358,0.395,0.433,0.474,0.514,0.557,0.601,0.646,0.694,0.743,0.794,0.846,0.901,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
BILLY MILL,0.01,0.017,0.024,0.031,0.04,0.051,0.064,0.079,0.093,0.109,0.127,0.146,0.169,0.193,0.218,0.246,0.275,0.308,0.338,0.369,0.403,0.435,0.468,0.503,0.538,0.575,0.613,0.653,0.693,0.736,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
BIRTLEY GROVE 66/11KV,0.007,0.013,0.018,0.024,0.03,0.039,0.049,0.06,0.071,0.083,0.097,0.111,0.129,0.147,0.167,0.188,0.211,0.235,0.259,0.283,0.308,0.332,0.358,0.384,0.411,0.439,0.468,0.498,0.529,0.561,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
BIRTLEY GROVE 66/20KV,0.005,0.008,0.012,0.015,0.02,0.026,0.032,0.039,0.046,0.054,0.062,0.071,0.083,0.094,0.106,0.12,0.135,0.151,0.165,0.18,0.196,0.21,0.225,0.241,0.257,0.273,0.29,0.308,0.326,0.344,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
BLAYDON BURN,0.011,0.019,0.027,0.035,0.046,0.06,0.075,0.093,0.108,0.126,0.146,0.166,0.192,0.219,0.248,0.28,0.314,0.352,0.385,0.419,0.454,0.486,0.52,0.554,0.588,0.624,0.661,0.699,0.739,0.78,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
BLUCHER 33/11KV,0.01,0.018,0.025,0.033,0.042,0.054,0.068,0.083,0.099,0.116,0.135,0.155,0.179,0.205,0.232,0.261,0.293,0.327,0.36,0.393,0.428,0.462,0.498,0.535,0.572,0.612,0.652,0.694,0.738,0.783,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
BOLDON DOWNHILL,0.008,0.014,0.019,0.025,0.032,0.041,0.05,0.062,0.074,0.087,0.101,0.117,0.135,0.154,0.175,0.197,0.221,0.246,0.271,0.297,0.324,0.35,0.378,0.407,0.437,0.468,0.499,0.533,0.567,0.602,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,0.004,0.007,0.01,0.013,0.017,0.023,0.029,0.035,0.041,0.048,0.055,0.062,0.072,0.082,0.093,0.105,0.118,0.132,0.144,0.156,0.169,0.18,0.192,0.204,0.216,0.228,0.241,0.254,0.268,0.282,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
BOWESFIELD 33/11KV,0.01,0.017,0.024,0.031,0.04,0.054,0.066,0.083,0.096,0.111,0.128,0.145,0.169,0.192,0.217,0.245,0.276,0.309,0.338,0.367,0.397,0.424,0.452,0.481,0.509,0.539,0.57,0.602,0.635,0.669,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
BOWESFIELD 66/11KV,0.007,0.011,0.016,0.021,0.028,0.036,0.045,0.056,0.065,0.076,0.087,0.1,0.116,0.132,0.149,0.168,0.189,0.211,0.232,0.252,0.273,0.293,0.314,0.335,0.356,0.378,0.4,0.424,0.448,0.474,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
BRANCEPETH,0.018,0.031,0.044,0.058,0.074,0.097,0.121,0.149,0.175,0.205,0.237,0.271,0.315,0.359,0.405,0.458,0.514,0.574,0.63,0.686,0.746,0.802,0.861,0.921,0.982,1.046,1.111,1.179,1.25,1.322,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
BREAMISH STREET,0.005,0.009,0.013,0.017,0.022,0.029,0.036,0.045,0.052,0.061,0.069,0.079,0.091,0.104,0.117,0.133,0.149,0.168,0.183,0.198,0.214,0.228,0.243,0.258,0.273,0.288,0.304,0.32,0.337,0.354,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
BRENDA TRADING,0.015,0.027,0.037,0.049,0.063,0.083,0.102,0.127,0.149,0.174,0.202,0.231,0.267,0.305,0.345,0.389,0.437,0.488,0.536,0.584,0.635,0.682,0.733,0.784,0.836,0.89,0.946,1.004,1.064,1.126,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
CAMPLESHON ROAD,0.012,0.021,0.03,0.039,0.05,0.066,0.082,0.102,0.118,0.138,0.16,0.182,0.211,0.241,0.272,0.308,0.345,0.387,0.424,0.46,0.5,0.536,0.574,0.612,0.651,0.692,0.733,0.777,0.821,0.868,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
CARLEY HILL,0.013,0.023,0.032,0.041,0.053,0.069,0.086,0.107,0.125,0.147,0.17,0.195,0.226,0.258,0.291,0.329,0.369,0.412,0.452,0.493,0.536,0.577,0.62,0.664,0.708,0.755,0.803,0.853,0.904,0.957,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
CARLIN HOW T3 T4,0.015,0.026,0.036,0.048,0.062,0.081,0.1,0.124,0.145,0.17,0.196,0.224,0.259,0.296,0.334,0.377,0.424,0.474,0.52,0.565,0.614,0.659,0.706,0.754,0.802,0.853,0.905,0.959,1.015,1.072,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
CARR HILL,0.015,0.026,0.036,0.046,0.06,0.077,0.095,0.118,0.139,0.164,0.191,0.22,0.254,0.29,0.328,0.37,0.415,0.463,0.51,0.557,0.607,0.656,0.707,0.76,0.814,0.87,0.929,0.989,1.051,1.116,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
CATTERICK CAMP,0.018,0.03,0.043,0.056,0.072,0.094,0.117,0.144,0.169,0.198,0.23,0.263,0.305,0.348,0.393,0.444,0.498,0.557,0.611,0.665,0.724,0.778,0.836,0.894,0.954,1.016,1.08,1.146,1.215,1.286,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
CLOSE,0.007,0.012,0.018,0.025,0.033,0.045,0.056,0.07,0.079,0.09,0.101,0.112,0.131,0.149,0.168,0.19,0.215,0.243,0.263,0.28,0.3,0.313,0.327,0.34,0.352,0.364,0.377,0.39,0.403,0.417,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
CONEYTHORPE,0.009,0.016,0.023,0.03,0.039,0.052,0.065,0.08,0.093,0.108,0.124,0.141,0.164,0.187,0.211,0.239,0.268,0.301,0.329,0.356,0.386,0.412,0.44,0.468,0.496,0.525,0.555,0.586,0.619,0.652,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
CONSETT,0.019,0.032,0.045,0.059,0.077,0.1,0.124,0.154,0.18,0.211,0.244,0.279,0.323,0.369,0.416,0.47,0.528,0.59,0.647,0.705,0.766,0.823,0.884,0.945,1.007,1.071,1.138,1.207,1.279,1.353,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
CORPORATION STREET,0.004,0.007,0.01,0.013,0.017,0.022,0.028,0.034,0.04,0.046,0.053,0.06,0.07,0.08,0.09,0.101,0.114,0.128,0.14,0.151,0.164,0.174,0.186,0.197,0.208,0.22,0.232,0.245,0.258,0.271,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
COWTON,0.002,0.003,0.005,0.006,0.008,0.011,0.014,0.017,0.019,0.022,0.026,0.029,0.034,0.038,0.043,0.049,0.055,0.062,0.067,0.073,0.079,0.083,0.088,0.093,0.098,0.104,0.109,0.114,0.12,0.126,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
CRAMLINGTON T1 T3,0.006,0.01,0.014,0.019,0.024,0.032,0.039,0.049,0.057,0.067,0.078,0.089,0.103,0.118,0.133,0.15,0.168,0.188,0.207,0.225,0.245,0.264,0.283,0.303,0.324,0.345,0.367,0.389,0.413,0.437,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
CRAMLINGTON T2 T4,0.006,0.01,0.014,0.018,0.023,0.031,0.038,0.047,0.055,0.065,0.075,0.086,0.099,0.113,0.128,0.144,0.162,0.181,0.199,0.217,0.236,0.253,0.272,0.291,0.31,0.33,0.351,0.373,0.395,0.418,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
DARLEY,0.005,0.008,0.012,0.016,0.02,0.027,0.034,0.042,0.048,0.056,0.063,0.071,0.083,0.095,0.106,0.121,0.136,0.153,0.166,0.179,0.193,0.204,0.216,0.227,0.238,0.25,0.261,0.274,0.287,0.3,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
DARLINGTON 132/6KV,0.005,0.01,0.013,0.018,0.023,0.03,0.037,0.046,0.054,0.063,0.073,0.083,0.096,0.11,0.124,0.14,0.157,0.176,0.193,0.21,0.228,0.244,0.261,0.278,0.296,0.314,0.333,0.352,0.373,0.394,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
DARLINGTON 33/11KV,0.011,0.019,0.027,0.036,0.047,0.062,0.077,0.096,0.111,0.129,0.148,0.167,0.194,0.221,0.249,0.282,0.317,0.356,0.389,0.42,0.455,0.484,0.515,0.546,0.576,0.608,0.641,0.675,0.71,0.747,NPgN,Primary,NG FES - System Transformation (EE CF),Total installed storage capacity (MW)
