Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,79496.4,80159.247,80647.801,80935.026,81135.572,81042.033,81490.043,82420.255,83824.627,85200.469,87126.113,89262.502,91671.957,94307.083,97429.416,101371.285,105358.793,109653.266,114064.535,118400.803,122838.637,126544.599,129949.999,133012.071,135749.167,137753.918,139742.092,142338.066,145198.512,148306.096,NPgN,Primary,NG FES - Falling Short (EE CF),Total demand (MWh)
AMBERTON ROAD,124558.058,126084.832,126663.345,127008.374,127234.322,127105.617,127650.492,128687.873,130192.26,131700.875,133551.677,135592.979,137920.755,140496.299,143446.775,147280.347,151210.11,155452.048,159844.465,164259.718,168912.571,172852.345,176543.275,179941.738,183114.427,185453.873,187624.871,189778.5,192066.102,194532.712,NPgN,Primary,NG FES - Falling Short (EE CF),Total demand (MWh)
ANNFIELD 66/20KV,101293.465,102041.03,102610.51,102932.2,103135.485,102941.047,103365.623,104334.84,105835.417,107314.602,109343.242,111614.924,114205.047,117067.015,120372.941,124630.827,129039.287,133798.504,138719.773,143711.844,148841.408,153325.566,157585.25,161559.385,165334.234,168149.007,170728.046,173155.63,175795.343,178644.706,NPgN,Primary,NG FES - Falling Short (EE CF),Total demand (MWh)
ASHINGTON,83833.397,84760.633,85610.645,86346.822,87078.696,87685.453,88903.015,90683.117,93068.9,95302.593,97969.507,100933.674,104264.423,107919.468,112080.507,117236.807,122528.203,128141.072,133907.863,139686.174,145327.31,150244.222,154832.653,159024.969,162880.836,165584.244,168214.679,171020.379,174200.216,177561.599,NPgN,Primary,NG FES - Falling Short (EE CF),Total demand (MWh)
AYCLIFFE FORREST,4031.342,4037.288,4043.281,4049.297,4055.33,4061.396,4067.542,4073.753,4080.045,4086.301,4066.383,4046.62,4027.023,4007.596,3988.336,3969.329,3950.449,3931.732,3913.123,3894.561,3876.226,3857.787,3839.355,3820.891,3802.406,3783.78,3765.33,3746.896,3728.496,3710.146,NPgN,Primary,NG FES - Falling Short (EE CF),Total demand (MWh)
AYCLIFFE INDUSTRIAL,56831.79,57185.216,57467.177,57652.898,57791.263,57775.066,58004.64,58454.548,59121.197,59780.238,60555.529,61433.099,62447.729,63582.458,64901.453,66585.721,68349.296,70256.371,72242.142,74289.215,76432.08,78351.344,80205.068,81960.181,83690.471,84999.366,86144.843,87046.354,88024.856,89088.46,NPgN,Primary,NG FES - Falling Short (EE CF),Total demand (MWh)
BARDEN FRIAR,3662.017,3710.48,3760.579,3807.413,3853.517,3903.819,3985.297,4098.114,4244.585,4394.997,4587.159,4787.784,5007.814,5247.717,5481.778,5744.677,6007.906,6274.147,6548.197,6810.587,7085.315,7314.044,7519.069,7689.142,7828.153,7919.685,8019.404,8118.811,8216.421,8308.735,NPgN,Primary,NG FES - Falling Short (EE CF),Total demand (MWh)
BEDALE,94077.717,95710.037,96716.307,97650.672,98576.082,99420.454,100637.151,102187.722,104090.675,105940.217,107760.202,109761.524,112006.4,114487.519,117192.707,120463.909,123920.582,127600.413,131455.507,135540.276,139760.721,143759.464,147738.459,151604.361,155563.309,158691.245,161470.74,163245.913,165166.037,167144.334,NPgN,Primary,NG FES - Falling Short (EE CF),Total demand (MWh)
BELMONT,119436.366,122322.029,122814.33,123141.753,123392.98,123374.985,123785.141,124581.308,125760.783,126912.445,128137.466,129543.329,131182.231,133021.039,135212.377,138053.441,140989.89,144182.032,147466.72,150722.846,154124.68,157005.656,159681.452,162100.63,164315.637,165860.929,167306.305,168814.174,170440.417,172215.11,NPgN,Primary,NG FES - Falling Short (EE CF),Total demand (MWh)
BENSHAM,72257.861,72614.799,72950.992,73183.497,73379.321,73404.273,73725.55,74347.206,75279.52,76167.397,77257.198,78502.864,79953.084,81591.093,83502.629,85929.643,88519.263,91287.223,94239.828,97529.291,100662.089,103685.405,106729.166,109713.855,112815.504,115092.76,117161.612,118461.671,120159.802,121883.38,NPgN,Primary,NG FES - Falling Short (EE CF),Total demand (MWh)
