Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,82322,82016.282,80145.472,78050.667,76459.578,75521.62,75202.726,75809.2,76730.548,77938.88,79425.687,81225.41,83698.113,86174.659,89070.639,92296.121,95629.563,99025.123,102822.897,106296.638,109467.154,112162.269,114851.932,116751.882,117807.27,118690.061,119466.293,120391.594,120880.487,121395.803,121797.328,122103.814,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
AMBERTON ROAD,124276.41,123534.775,121610.232,119614.758,118017.047,116982.972,116484.593,117028.847,118045.756,119339.203,120911.669,122810.951,125886.62,128829.605,132229.046,136006.818,140003.626,144636.837,149280.01,153478.832,157249.473,160497.241,163841.997,165955.376,167255.907,168249.947,169124.056,170300.278,170836.694,171368.406,171754.205,172004.875,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
ANNFIELD 66/20KV,103656.918,103181.426,101359.245,99358.369,97799.515,96837.426,96451.147,97021.729,98014.293,99319,100939.421,102913.053,105861.276,108884.744,112404.291,116327.122,120446.986,124881.013,129740.748,134180.454,138191.766,141640.283,145087.186,147473.238,148950.406,150156.784,151242.853,152553.831,153241.943,153905.126,154415.321,154784.597,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
ASHINGTON,90847.099,90703.783,89088.717,87293.395,86002.574,85379.367,85397.688,86419.828,87850.08,89650.728,91827.1,94432.432,98009.901,101704.138,105983.04,110739.939,115720.415,120898.536,126626.389,131896.693,136671.201,140794.691,144826.654,147800.66,149680.162,151248.748,152674.444,154273.798,155197.601,156025.783,156709.675,157267.177,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
AYCLIFFE FORREST,2347.95,2319.834,2302.244,2284.685,2267.136,2249.609,2232.111,2214.718,2197.431,2180.201,2163.049,2145.994,2140.259,2134.579,2129.069,2123.721,2118.603,2113.76,2108.782,2103.621,2098.294,2092.793,2087.172,2081.287,2075.264,2068.988,2062.699,2056.446,2050.118,2043.769,2037.404,2031.025,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
AYCLIFFE INDUSTRIAL,50678.304,50377.805,49605.671,48767.68,48114.443,47695.234,47501.789,47691.555,48028.188,48492.685,49085.345,49827.412,51011.65,52191.217,53571.099,55114.911,56732.873,58435.233,60281.216,61965.714,63474.15,64762.91,66041.228,66934.979,67453.246,67866.959,68233.247,68672.429,68900.768,69124.425,69269.291,69349.503,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
BARDEN FRIAR,4940.248,4931.627,4916.08,4897.764,4891.504,4901.863,4933.96,5005.088,5113.829,5243.398,5398.763,5579.964,5854.915,6080.447,6342.283,6636.613,6963.933,7321.34,7681.441,8007.936,8280.899,8516.043,8705.053,8834.192,8928.507,8986.677,9039.329,9101.668,9138.762,9172.432,9199.375,9220.412,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
BEDALE,86467.277,86305.821,85831.204,85356.909,85071.552,85050.34,85295.594,86031.55,87022.137,88227.145,89649,91332.178,93894.289,96423.941,99308.758,102500.958,105898.552,109576.531,113250.359,116635.158,119662.404,122322.916,124821.79,126723.585,128049.371,129114.642,130117.729,131206.787,131964.661,132631.563,133161.545,133579.907,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
BELMONT,114313.061,113501.573,111940.731,110268.057,108904.634,107952.591,107399.039,107506.108,107893.244,108511.572,109363.69,110484.529,112483.276,114521.991,116923.823,119622.71,122482.615,125553.171,128739.903,131602.693,134149.617,136271.109,138296.603,139630.81,140277.57,140681.865,141002.453,141433.302,141528.467,141641.46,141652.881,141578.565,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
BENSHAM,76203.082,75729.118,74705.384,73635.426,72789.283,72231.148,71950.085,72101.753,72432.903,72935.226,73616.14,74500.94,75954.334,77485.63,79290.901,81327.759,83484.398,85720.118,88322.964,90748.078,92971.216,94925.641,96852.004,98332.112,99322.873,100167.957,100937.655,101761.139,102143.209,102271.691,102275.587,102173.658,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
BENTON SQUARE,82638.002,82585.344,81335.147,79961.917,78972.679,78484.015,78469.691,79248.455,80328.42,81650.639,83210.214,85047.297,87659.651,90268.484,93258.05,96558.953,99992.188,103645.709,107649.169,111342.903,114718.683,117677.018,120676.81,122857.783,124331.44,125628.361,126834.196,128236.477,129199.952,130203.459,131067.034,131806.303,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
BENWELL,93277.466,93064.577,91677.842,90143.542,88976.104,88294.038,88075.596,88581.649,89386.627,90405.661,91643.804,93123.931,95323.188,97523.802,100065.18,102884.361,105865.99,109085.116,112498.691,115610.613,118448.526,120908.528,123371.707,125118.636,126256.713,127173.197,128021.921,129030.964,129668.646,130321.397,130842.201,131242.711,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
BILLINGHAM MARSH HOUSE,66006.419,66028.749,64819.818,63466.895,62517.143,62082.916,62141.521,62956.975,64038.902,65383.068,66981.314,68868.219,71407.614,73954.375,76877.587,80099.032,83386.973,86711.917,90382.943,93795.19,96907.028,99621.926,102333.431,104390.018,105678.86,106865.632,107982.843,109240.055,110161.563,111161.775,111929.196,112496.83,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
BILLY MILL,87816.68,87657.676,86545.628,85300.684,84386.075,83900.835,83825.653,84377.646,85170.063,86168.876,87369.067,88797.558,90900.738,93041.528,95488.553,98180.591,100956.768,103861.55,106944.406,109786.897,112411.744,114693.126,116941.543,118611.105,119663.185,120587.056,121441.637,122410.899,123093.055,123823.712,124451.051,124989.557,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
BIRTLEY GROVE 66/11KV,74010.775,73574.586,72518.657,71384.665,70504.744,69949.372,69704.889,69950.721,70389.149,70996.136,71768.917,72730.786,74278.529,75828.646,77634.834,79655.835,81783.498,84032.473,86525.652,88876.804,91082.363,93068.173,95086.2,96677.988,97846.582,98923.226,99948.686,101057.74,101781.659,102310.194,102548.787,102525.01,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
BIRTLEY GROVE 66/20KV,46527.437,46208.937,45516.687,44768.621,44167.354,43759.725,43537.648,43629.809,43855.87,44175.788,44589.776,45110.75,45998.608,46887.911,47927.028,49088.219,50314.05,51660.402,53098.976,54404.844,55588.722,56602.72,57625.364,58311.321,58726.988,59053.719,59345.389,59714.178,59907.102,60110.297,60245.824,60318.542,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
BLAYDON BURN,77593.156,77108.902,75938.11,74662.602,73671.569,73043.101,72769.844,73090.138,73678.014,74473.371,75483.412,76737.609,78689.963,80694.923,83038.556,85662.117,88448.402,91450.278,94712.392,97673.117,100376.832,102685.735,104973.534,106550.908,107522.244,108268.551,108938.316,109759.972,110205.898,110675.516,110981.973,111131.027,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
BLUCHER 33/11KV,66721.453,66761.612,65541.017,64164.967,63167.268,62653.687,62608.562,63264.215,64202.692,65388.246,66828.151,68550.559,70905.986,73296.435,76084.869,79220.887,82579.49,86152.875,90160.693,94055.491,97846.49,101400.562,105064.234,108168.52,110708.523,113101.847,115372.217,117671.473,118917.318,119121.986,119018.822,118663.652,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
BOLDON DOWNHILL,45141.217,44967.476,44108.707,43164.966,42449.011,42033.832,41907.026,42229.026,42712.451,43354.146,44148.844,45119.506,46497.844,47935.477,49610.844,51477.31,53407.655,55363.033,57611.619,59677.296,61561.449,63180.419,64800.867,65973.97,66679.268,67288.936,67845.026,68496.955,68904.365,69333.319,69665.822,69919.722,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,51827.795,51784.007,51694.834,51608.523,51610.75,51724.472,51949.995,52388.342,52928.559,53552.392,54255.901,55056.229,56301.846,57535.39,58910.921,60408.43,61985.217,63696.503,65417.155,67043.406,68560.056,69952.613,71314.496,72444.718,73374.491,74214.852,75056.443,75960.556,76764.992,77586.297,78234.012,78722.079,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
BOWESFIELD 33/11KV,58719.567,58645.816,58122.674,57553.283,57201.197,57126.854,57330.325,57999.21,58913.538,60031.978,61372.431,62966.485,65236.767,67567.704,70247.84,73224.394,76406.392,79838.422,83367.286,86602.112,89562.727,92140.028,94612.665,96464.128,97724.058,98715.248,99644.803,100677.059,101362.169,102000.972,102444.045,102703.141,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
BOWESFIELD 66/11KV,71003.75,70803.132,70209.917,69594.104,69176.95,69015.275,69092.489,69593.805,70239.726,71023.024,71945.7,73041.714,74766.005,76451.102,78379.629,80513.886,82768.394,85122.914,87721.509,90120.515,92268.479,94156.113,96037.437,97455.408,98463.407,99313.168,100115.659,101016.772,101676.366,102351.906,102950.952,103486.052,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
BRANCEPETH,66891.239,66914.579,65569.852,64217.123,63224.721,62764.834,62816.716,63796.668,65157.815,66873.237,68940.782,71424.286,74823.494,78225.843,82172.939,86573.222,91182.873,96033.026,101110.939,105721.184,109806.833,113264.383,116599.768,118893.056,120130.277,121047.961,121842.195,122818.087,123286.55,123781.035,124115.784,124332.276,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
BREAMISH STREET,51611.707,51480.384,50933.396,50377.036,49953.63,49709.798,49636.423,49865.778,50237.466,50702.736,51272.078,51961.516,53046.351,54133.206,55389.11,56790.485,58311.277,60001.769,61765.619,63352.318,64756.052,65962.686,67129.063,67931.431,68454.314,68806.522,69123.234,69511.955,69728.3,69941.749,70115.193,70253.1,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
BRENDA TRADING,99699.63,99281.19,97381.882,95286.312,93690.677,92748.106,92432.402,93116.422,94211.277,95627.294,97367.191,99470.923,102513.042,105544.582,109075.582,113012.058,117158.596,121600.72,126294.885,130579.15,134480.312,137835.682,141178.073,143530.94,144980.205,146157.376,147226.854,148502.749,149258.38,150026.263,150508.402,150732.118,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
CAMPLESHON ROAD,73374.304,73234.612,71939.361,70507.287,69411.191,68754.462,68528.196,69016.711,69820.066,70869.766,72171.599,73758.269,76070.037,78440.041,81211.684,84314.424,87610.081,91117.841,95006.582,98537.569,101682.191,104357.582,106953.796,108742.523,109823.301,110640.92,111361.173,112236.073,112664.281,113095.102,113436.599,113694.493,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
CARLEY HILL,77278.382,76978.641,75426.415,73661.798,72311.81,71498.832,71202.577,71704.643,72523.664,73602.936,74938.328,76563.439,78863.399,81288.046,84123.732,87291.162,90627.909,94132.305,98165.426,101846.164,105223.206,108108.566,110980.621,113012.394,114285.172,115313.535,116240.31,117334.826,117927.867,118536.098,119030.417,119398.772,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
CARLIN HOW T3 T4,69596.828,69486.723,68431.218,67307.925,66504.884,66169.067,66287.077,67186.451,68457.845,70015.669,71864.171,74042.438,77095.127,80131.071,83624.148,87497.474,91586.69,95992.724,100539.754,104689.288,108414.185,111632.079,114719.278,116886.773,118258.963,119346.146,120338.187,121519.301,122253.784,122999.444,123622.926,124156.314,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
CARR HILL,85924.304,85634.598,83817.85,81804.613,80279.866,79391.954,79108.363,79744.278,80707.155,81968.712,83520.938,85404.835,88026.031,90731.831,93892.219,97416.882,101083.528,104831.691,109171.985,113152.042,116766.488,119870.859,122981.46,125225.725,126598.2,127765.448,128825.882,130068.864,130829.779,131631.426,132254.831,132722.115,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
CATTERICK CAMP,87273.214,87106.359,86355.396,85581.276,85072.179,84945.615,85189.484,86099.427,87303.541,88746.097,90422.523,92389.396,95252.755,98119.702,101395.856,105015.092,108865.517,113053.371,117312.011,121216.63,124707.374,127759.453,130714.002,132877.535,134363.917,135542.273,136654.855,137924.493,138829.213,139745.34,140552.877,141277.205,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
CLOSE,125123.527,124520.259,123857.03,123278.238,122812.02,122533.699,122441.514,122875.654,123678.484,124604.73,125688.632,126961.148,129331.747,131570.209,134084.614,136854.367,139929.717,143847.719,147235.709,150242.998,152936.544,155309.24,157665.819,159120.266,160209.96,160872.75,161492.615,162339.487,162810.676,163246.009,163609.832,163906.682,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
CONEYTHORPE,70369.012,70265.31,69807.608,69289.982,68962.464,68885.239,69060.878,69666.823,70487.942,71485.966,72663.69,74048.257,76121.623,78222.957,80619.155,83261.389,86050.976,89014.984,92078.777,94899.05,97441.319,99664.522,101752.249,103333.827,104425.051,105308.495,106151.086,107083.219,107789.718,108520.144,109168.27,109753.457,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
CONSETT,120968.778,120436.064,118366.393,116095.16,114341.334,113282.57,112894.788,113577,114716.77,116228.446,118115.723,120424.888,123862.54,127390.768,131511.337,136118.682,140984.361,146115.706,151813.542,157040.234,161759.445,165836.559,169852.26,172741.936,174594.493,176124.874,177519.951,179133.424,180048.251,180864.031,181438.064,181800.155,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
CORPORATION STREET,57869.514,57632.014,57139.498,56642.089,56248.517,56002.713,55897.29,56050.959,56336.323,56692.221,57127.107,57652.512,58594.381,59520.158,60574.031,61738.629,62995.566,64446.72,65885.9,67183.05,68349.326,69366.71,70374.311,71057.653,71528.006,71862.946,72174.708,72561.168,72792.613,73020.526,73222.347,73399.387,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
COWTON,5895.28,5889.34,5824.135,5752.213,5705.508,5692.527,5715.257,5795.678,5911.299,6056.343,6233.558,6446.726,6749.503,7049.004,7397.412,7787.635,8208.086,8650.367,9110.367,9525.877,9884.894,10187.983,10452.736,10641.028,10751.271,10822.044,10883.324,10953.146,10989.382,11026.309,11053.287,11072.983,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
CRAMLINGTON T1 T3,63032.999,62780.278,62334.369,61865.2,61519.542,61342.708,61327.411,61606.829,62027.223,62541.132,63151.343,63870.993,65081.193,66278.939,67629.319,69104.544,70641.098,72355.573,74025.974,75563.918,76976.088,78222.884,79460.55,80357.246,80971.021,81500.378,81997.765,82575.46,83001.01,83450.84,83841.163,84180.594,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
CRAMLINGTON T2 T4,66544.116,66269.982,65853.02,65418.474,65100.951,64941.578,64933.022,65192.332,65578.049,66052.75,66619.048,67289.086,68449.398,69603.619,70903.266,72322.584,73802.125,75431.028,77043.605,78538.506,79917.913,81146.427,82361.402,83278.839,83934.401,84514.948,85068.252,85691.524,86177.354,86679.756,87094.698,87431.911,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
DARLEY,17884.378,17891.267,17698.601,17490.9,17360.328,17335.425,17416.938,17694.527,18081.519,18550.092,19106.649,19765.852,20683.528,21617.747,22696.329,23898.897,25199.864,26638.396,28050.633,29323.62,30449.535,31410.936,32310.318,32939.948,33335.221,33592.645,33823.827,34095.751,34252.46,34406.361,34529.571,34629.202,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
DARLINGTON 132/6KV,42364.65,42112.923,41439.313,40714.69,40199.133,39954.147,39979.79,40414.68,41056.236,41904.703,42973.647,44291.618,46150.33,48096.015,50346.906,52843.892,55410.668,58041.827,60783.585,63280.324,65485.445,67325.417,69003.686,70207.442,70737.731,71115.089,71424.373,71767.43,71861.126,71974.87,72028.615,72036.954,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
DARLINGTON 33/11KV,72251.673,71841.585,70682.162,69425.433,68535.392,68127.838,68208.774,69048.377,70323.596,71984.331,74066.753,76621.917,80197.083,83984.738,88374.696,93256.51,98359.695,103733.178,109273.076,114269.458,118667.706,122316.013,125621.041,127908.535,128944.931,129576.781,130076.432,130670.235,130780.463,130975.135,131071.472,131078.75,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
DARLINGTON CENTRAL 33/11KV,38257.225,37988.055,37434.957,36832.335,36383.698,36133.779,36083.569,36323.114,36715.667,37257.824,37960.111,38838.913,40125.089,41487.985,43064.202,44808.563,46583.358,48394.126,50264.805,51962.038,53461.207,54696.186,55807.005,56584.872,56863.167,57045.748,57181.524,57340.516,57344.558,57397.826,57422.535,57426.862,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
DARLINGTON EAST,85717.84,85086.617,84033.664,82934.391,82099.873,81613.968,81479.344,81909.863,82644.6,83649.782,84940.971,86553.038,89049.186,91612.192,94570.665,97849.565,101230.598,104789.636,108366.519,111613.55,114473.274,116867.281,119057.402,120588.732,121273.228,121758.359,122172.302,122669.384,122900.597,123244.003,123396.807,123385.381,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
DARLINGTON WEST,96142.445,95602.575,94042.002,92348.105,91152.508,90600.977,90691.25,91713.012,93217.4,95183.604,97638.123,100629.781,104794.237,109125.727,114099.12,119577.062,125121.083,130792.065,136643.98,141997.427,146776.015,150780.548,154461.455,157122.894,158284.012,159212.6,160017.553,160931.783,161394.453,162074.387,162494.159,162682.475,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
DENWICK,107686.151,107707.776,106744.439,105652.887,104925.445,104676.278,104994.219,106359.002,108388.411,110895.129,113902.935,117445.612,122770.263,127307.502,132571.876,138473.198,144874.742,151667.924,158829.056,165383.236,171040.727,175935.673,179868.342,182623.226,184528.412,185927.906,187184.445,188630.833,189451.054,190126.218,190607.087,190933.049,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
DUNSTON 66/11KV,68582.313,68068.992,67090.07,66036.497,65175.372,64570.171,64210.414,64249.973,64450.858,64781.223,65240.359,65849.22,66962.968,68129.401,69513.941,71080.24,72768.841,74572.511,76569.146,78370.604,79971.923,81330.182,82667.487,83581.046,84134.411,84533.209,84884.87,85322.544,85545.614,85769.101,85900.068,85953.072,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
DUNSTON 66/20KV,71665.76,71406.093,69879.481,68179.067,66862.044,66057.648,65740.726,66197.363,66938.146,67912.159,69108.035,70557.438,72623.025,74735.561,77207.493,79968.532,82862.762,85892.145,89323.526,92458.264,95309.12,97754.062,100208.519,101923.849,102981.166,103857.416,104645.58,105593.657,106125.42,106661.713,107090.227,107425.822,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
DURHAM EAST,91140.631,90262.903,89343.926,88398.34,87571.029,86902.293,86391.989,86186.191,86149.687,86224.64,86423.896,86769.973,87789.522,88831.563,90084.533,91520.431,93129.85,94986.258,96804.375,98393.612,99771.004,100890.585,101918.302,102511.326,102778.219,102808.269,102788.936,102832.229,102677.602,102504.273,102284.855,102020.833,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
EASTFIELD,127959.979,127167.779,125731.337,124210.599,122981.954,122166.42,121750.948,122076.488,122719.334,123593.583,124689.452,126042.302,128425.908,130796.631,133537.649,136584.905,139803.537,143314.844,147027.32,150422.174,153462.418,156105.284,158706.667,160509.781,161693.88,162672.763,163576.251,164671.264,165370.971,166091.482,166659.118,167105.077,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
EASTGATE CEMENT,30652.907,30492.214,30105.428,29687.683,29355.619,29141.787,29050.86,29168.031,29442.196,29801.381,30270.315,30845.719,31774.776,32608.539,33592.923,34708.52,35931.185,37279.109,38635.169,39859.506,40892.042,41770.075,42610.135,43175.478,43522.994,43741.894,43925.867,44150.006,44211.713,44211.174,44163.069,44075.96,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
EDUCATIONAL PRECINCT,77542.306,77281.652,76541.662,75763.313,75163.055,74801.818,74672.273,74955.503,75453.135,76078.203,76846.285,77775.555,79302.418,80848.514,82627.779,84610.17,86766.047,89211.623,91744.299,94059.299,96168.13,98030.695,99871.666,101202.32,102173.183,102918.678,103612.582,104402.031,104829.761,105104.624,105312.469,105457.712,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
ELVINGTON,65226.663,64786.108,64386.039,63985.974,63649.684,63397.27,63231.265,63237.44,63333.028,63501.392,63745.535,64079.717,64896.13,65690.641,66610.482,67640.132,68759.95,69989.56,71212.392,72319.109,73289.059,74120.583,74870.715,75404.172,75750.777,75996.839,76219.742,76479.749,76659.051,76852.629,76981.965,77054.127,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
FARADAY STREET,97606.682,97070.033,95235.207,93224.666,91653.685,90677.15,90267.41,90761.328,91633.459,92798.015,94261.41,96064.131,98736.856,101519.982,104796.479,108480.811,112433.938,116672.061,121516.145,125918.228,129904.56,133306.743,136694.896,139045.178,140556.902,141714.874,142744.402,143978.715,144558.313,145073.412,145479.618,145757.118,NPgN,Primary,NG FES - System Transformation (EE CF),Total demand (MWh)
