Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,1.7,1.818,1.984,2.19,2.42,2.668,2.946,3.242,3.528,3.804,4.076,4.342,4.587,4.811,5.023,5.223,5.409,5.584,5.745,5.897,6.039,6.171,6.277,6.36,6.442,6.522,6.6,6.677,6.751,6.824,6.895,6.964,NPgN,Primary,NPg - Early Net Zero,Total installed PV capacity - domestic (MW)
AMBERTON ROAD,1.554,1.652,1.791,1.965,2.159,2.368,2.601,2.851,3.092,3.325,3.553,3.778,3.985,4.173,4.352,4.52,4.677,4.824,4.96,5.088,5.207,5.318,5.408,5.478,5.547,5.614,5.68,5.745,5.807,5.869,5.928,5.986,NPgN,Primary,NPg - Early Net Zero,Total installed PV capacity - domestic (MW)
ANNFIELD 66/20KV,1.676,1.794,1.964,2.174,2.409,2.663,2.946,3.248,3.541,3.823,4.101,4.373,4.624,4.852,5.069,5.273,5.464,5.642,5.807,5.962,6.107,6.242,6.35,6.435,6.519,6.601,6.68,6.759,6.835,6.909,6.981,7.052,NPgN,Primary,NPg - Early Net Zero,Total installed PV capacity - domestic (MW)
ASHINGTON,2.197,2.374,2.628,2.943,3.296,3.677,4.102,4.556,4.994,5.418,5.835,6.243,6.619,6.962,7.287,7.593,7.879,8.146,8.394,8.627,8.844,9.046,9.209,9.337,9.462,9.585,9.705,9.822,9.936,10.048,10.156,10.262,NPgN,Primary,NPg - Early Net Zero,Total installed PV capacity - domestic (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NPg - Early Net Zero,Total installed PV capacity - domestic (MW)
AYCLIFFE INDUSTRIAL,0.805,0.854,0.924,1.011,1.109,1.214,1.332,1.457,1.578,1.695,1.81,1.923,2.027,2.122,2.212,2.296,2.375,2.449,2.518,2.582,2.642,2.698,2.743,2.778,2.813,2.847,2.88,2.912,2.944,2.975,3.005,3.034,NPgN,Primary,NPg - Early Net Zero,Total installed PV capacity - domestic (MW)
BARDEN FRIAR,0.05,0.055,0.062,0.071,0.081,0.092,0.104,0.117,0.129,0.141,0.153,0.165,0.176,0.185,0.195,0.203,0.212,0.219,0.226,0.233,0.239,0.245,0.25,0.253,0.257,0.26,0.264,0.267,0.27,0.273,0.277,0.28,NPgN,Primary,NPg - Early Net Zero,Total installed PV capacity - domestic (MW)
BEDALE,1.313,1.393,1.509,1.652,1.812,1.985,2.178,2.384,2.584,2.776,2.965,3.151,3.322,3.478,3.625,3.764,3.894,4.015,4.128,4.234,4.332,4.424,4.498,4.556,4.613,4.669,4.723,4.777,4.829,4.879,4.928,4.976,NPgN,Primary,NPg - Early Net Zero,Total installed PV capacity - domestic (MW)
BELMONT,1.274,1.359,1.48,1.63,1.798,1.979,2.182,2.398,2.607,2.809,3.008,3.202,3.381,3.545,3.7,3.845,3.982,4.109,4.227,4.338,4.441,4.538,4.615,4.676,4.736,4.794,4.851,4.907,4.962,5.015,5.066,5.117,NPgN,Primary,NPg - Early Net Zero,Total installed PV capacity - domestic (MW)
BENSHAM,0.321,0.385,0.477,0.591,0.719,0.857,1.011,1.176,1.335,1.488,1.639,1.787,1.924,2.048,2.166,2.277,2.38,2.477,2.567,2.651,2.73,2.804,2.862,2.909,2.954,2.999,3.042,3.085,3.126,3.166,3.206,3.244,NPgN,Primary,NPg - Early Net Zero,Total installed PV capacity - domestic (MW)
