Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0.052,0.056,0.059,0.064,0.069,0.074,0.085,0.092,0.102,0.107,0.113,0.121,0.127,0.139,0.151,0.266,0.384,0.659,0.834,0.967,1.285,1.555,1.732,1.962,2.344,2.962,3.208,3.331,3.596,3.648,3.751,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
AMBERTON ROAD,0.086,0.108,0.117,0.123,0.134,0.144,0.155,0.177,0.193,0.216,0.226,0.24,0.256,0.268,0.296,0.322,0.433,0.553,0.807,0.98,1.107,1.387,1.63,1.783,1.982,2.306,2.827,3.034,3.138,3.361,3.405,3.492,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
ANNFIELD 66/20KV,0.104,0.13,0.14,0.148,0.159,0.17,0.183,0.207,0.225,0.249,0.259,0.275,0.289,0.301,0.332,0.358,0.49,0.63,0.934,1.138,1.289,1.625,1.909,2.094,2.334,2.727,3.358,3.61,3.735,4.006,4.059,4.165,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
ASHINGTON,0.083,0.103,0.11,0.116,0.127,0.135,0.146,0.167,0.181,0.202,0.212,0.225,0.24,0.251,0.276,0.301,0.481,0.67,1.1,1.376,1.586,2.078,2.497,2.771,3.125,3.711,4.659,5.036,5.224,5.631,5.71,5.868,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
AYCLIFFE INDUSTRIAL,0.034,0.042,0.046,0.048,0.052,0.056,0.06,0.068,0.074,0.082,0.086,0.091,0.097,0.101,0.111,0.12,0.173,0.229,0.352,0.433,0.494,0.631,0.749,0.825,0.924,1.086,1.348,1.452,1.504,1.617,1.639,1.682,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
BARDEN FRIAR,0.019,0.025,0.027,0.028,0.03,0.032,0.034,0.038,0.042,0.046,0.048,0.05,0.052,0.055,0.06,0.064,0.073,0.084,0.102,0.117,0.127,0.144,0.158,0.167,0.178,0.196,0.223,0.234,0.239,0.251,0.253,0.257,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
BEDALE,0.147,0.185,0.2,0.212,0.223,0.238,0.257,0.288,0.312,0.345,0.356,0.377,0.391,0.408,0.448,0.48,0.586,0.705,0.936,1.104,1.223,1.465,1.663,1.793,1.961,2.232,2.662,2.834,2.92,3.105,3.141,3.213,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
BELMONT,0.066,0.083,0.089,0.094,0.102,0.11,0.119,0.135,0.147,0.164,0.172,0.183,0.195,0.204,0.225,0.244,0.338,0.438,0.655,0.8,0.908,1.148,1.355,1.488,1.659,1.94,2.391,2.571,2.66,2.854,2.892,2.967,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
BENSHAM,0.034,0.043,0.046,0.048,0.053,0.057,0.061,0.07,0.076,0.085,0.089,0.095,0.102,0.106,0.118,0.128,0.195,0.266,0.424,0.527,0.604,0.784,0.938,1.038,1.166,1.379,1.723,1.859,1.928,2.075,2.104,2.161,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
BENTON SQUARE,0.06,0.075,0.081,0.085,0.092,0.098,0.106,0.12,0.131,0.146,0.152,0.161,0.171,0.178,0.196,0.213,0.308,0.408,0.63,0.776,0.885,1.134,1.347,1.484,1.663,1.957,2.43,2.619,2.713,2.916,2.956,3.035,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
BENWELL,0.057,0.072,0.077,0.081,0.089,0.095,0.103,0.118,0.128,0.143,0.15,0.16,0.171,0.179,0.197,0.215,0.306,0.403,0.614,0.754,0.859,1.095,1.3,1.43,1.599,1.877,2.324,2.502,2.59,2.782,2.82,2.894,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
BILLINGHAM MARSH HOUSE,0.027,0.033,0.035,0.037,0.04,0.043,0.046,0.052,0.056,0.062,0.065,0.069,0.073,0.076,0.083,0.09,0.186,0.284,0.518,0.663,0.776,1.049,1.279,1.432,1.63,1.961,2.497,2.711,2.817,3.047,3.092,3.182,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
BILLY MILL,0.044,0.055,0.06,0.063,0.068,0.072,0.078,0.088,0.096,0.107,0.111,0.118,0.125,0.13,0.143,0.155,0.236,0.321,0.512,0.636,0.73,0.947,1.131,1.251,1.407,1.665,2.08,2.246,2.329,2.507,2.542,2.611,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
BIRTLEY GROVE 66/11KV,0.036,0.045,0.049,0.051,0.055,0.059,0.063,0.072,0.078,0.086,0.09,0.095,0.101,0.105,0.116,0.125,0.187,0.252,0.398,0.493,0.564,0.729,0.869,0.96,1.079,1.274,1.59,1.716,1.778,1.914,1.94,1.993,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
BIRTLEY GROVE 66/20KV,0.029,0.037,0.04,0.042,0.045,0.049,0.053,0.06,0.065,0.072,0.076,0.08,0.085,0.089,0.098,0.107,0.145,0.187,0.276,0.336,0.381,0.48,0.564,0.619,0.689,0.804,0.989,1.062,1.099,1.178,1.194,1.225,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
BLAYDON BURN,0.089,0.113,0.121,0.128,0.137,0.147,0.159,0.18,0.195,0.217,0.225,0.239,0.252,0.263,0.289,0.313,0.403,0.502,0.705,0.846,0.949,1.169,1.356,1.476,1.631,1.883,2.287,2.448,2.528,2.701,2.735,2.803,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
BLUCHER 33/11KV,0.049,0.061,0.066,0.07,0.075,0.08,0.086,0.097,0.106,0.117,0.122,0.129,0.136,0.142,0.156,0.169,0.255,0.346,0.549,0.682,0.782,1.012,1.207,1.335,1.501,1.776,2.218,2.394,2.482,2.672,2.709,2.783,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
BOLDON DOWNHILL,0.028,0.035,0.037,0.039,0.042,0.045,0.049,0.055,0.06,0.066,0.069,0.073,0.078,0.081,0.089,0.096,0.162,0.229,0.386,0.485,0.562,0.741,0.893,0.994,1.123,1.339,1.688,1.826,1.896,2.045,2.075,2.133,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,0.043,0.055,0.059,0.063,0.066,0.071,0.077,0.086,0.094,0.104,0.108,0.114,0.12,0.125,0.137,0.148,0.182,0.219,0.293,0.347,0.385,0.462,0.528,0.569,0.624,0.71,0.849,0.904,0.932,0.991,1.003,1.026,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
BOWESFIELD 33/11KV,0.074,0.093,0.101,0.106,0.116,0.124,0.134,0.154,0.167,0.187,0.196,0.208,0.222,0.233,0.257,0.28,0.357,0.442,0.614,0.735,0.822,1.006,1.169,1.269,1.399,1.609,1.944,2.077,2.144,2.288,2.316,2.372,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
BOWESFIELD 66/11KV,0.047,0.059,0.063,0.067,0.072,0.077,0.083,0.095,0.103,0.115,0.12,0.127,0.135,0.141,0.156,0.169,0.223,0.281,0.404,0.488,0.55,0.684,0.799,0.873,0.968,1.123,1.371,1.47,1.519,1.626,1.647,1.688,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
BRANCEPETH,0.125,0.157,0.169,0.179,0.191,0.204,0.22,0.247,0.269,0.297,0.309,0.327,0.343,0.357,0.393,0.423,0.574,0.735,1.08,1.314,1.486,1.868,2.189,2.399,2.671,3.117,3.833,4.119,4.261,4.569,4.629,4.748,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
BREAMISH STREET,0.042,0.053,0.057,0.06,0.066,0.071,0.077,0.088,0.096,0.107,0.113,0.12,0.129,0.135,0.149,0.163,0.204,0.25,0.34,0.405,0.452,0.547,0.634,0.686,0.753,0.861,1.033,1.102,1.136,1.21,1.224,1.253,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
BRENDA TRADING,0.087,0.11,0.118,0.125,0.135,0.145,0.156,0.178,0.193,0.216,0.225,0.239,0.255,0.266,0.294,0.319,0.445,0.579,0.87,1.065,1.21,1.534,1.814,1.992,2.224,2.604,3.215,3.459,3.58,3.843,3.894,3.996,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
CAMPLESHON ROAD,0.087,0.11,0.119,0.125,0.135,0.144,0.156,0.177,0.192,0.214,0.223,0.237,0.25,0.261,0.288,0.312,0.411,0.518,0.744,0.898,1.012,1.258,1.469,1.603,1.778,2.062,2.518,2.7,2.791,2.987,3.025,3.101,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
CARLEY HILL,0.069,0.086,0.093,0.098,0.106,0.114,0.123,0.14,0.152,0.17,0.178,0.189,0.201,0.21,0.232,0.252,0.359,0.472,0.719,0.884,1.007,1.283,1.522,1.675,1.873,2.198,2.722,2.931,3.035,3.26,3.304,3.392,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
CARLIN HOW T3 T4,0.109,0.137,0.148,0.156,0.167,0.179,0.193,0.218,0.237,0.263,0.273,0.29,0.305,0.319,0.351,0.379,0.502,0.634,0.914,1.105,1.245,1.551,1.811,1.979,2.196,2.551,3.119,3.346,3.459,3.704,3.751,3.846,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
CARR HILL,0.059,0.074,0.079,0.084,0.09,0.097,0.104,0.119,0.129,0.143,0.15,0.159,0.169,0.176,0.194,0.211,0.332,0.459,0.749,0.935,1.077,1.407,1.687,1.871,2.109,2.502,3.138,3.391,3.517,3.79,3.844,3.949,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
CATTERICK CAMP,0.107,0.135,0.145,0.153,0.164,0.176,0.19,0.215,0.234,0.26,0.27,0.287,0.303,0.316,0.348,0.377,0.522,0.676,1.01,1.234,1.4,1.772,2.088,2.293,2.558,2.993,3.693,3.972,4.111,4.411,4.47,4.587,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
CLOSE,0.1,0.127,0.137,0.145,0.159,0.171,0.185,0.214,0.233,0.262,0.276,0.294,0.317,0.332,0.367,0.402,0.457,0.522,0.626,0.715,0.772,0.865,0.961,1.007,1.067,1.157,1.293,1.349,1.376,1.435,1.447,1.469,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
CONEYTHORPE,0.095,0.12,0.129,0.136,0.145,0.155,0.167,0.188,0.204,0.225,0.233,0.247,0.258,0.269,0.296,0.318,0.396,0.482,0.654,0.776,0.864,1.046,1.198,1.296,1.423,1.629,1.957,2.088,2.153,2.294,2.322,2.376,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
CONSETT,0.13,0.163,0.176,0.186,0.199,0.212,0.229,0.258,0.28,0.311,0.322,0.342,0.359,0.374,0.412,0.443,0.598,0.763,1.116,1.356,1.532,1.922,2.251,2.465,2.742,3.196,3.925,4.216,4.361,4.674,4.736,4.857,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
CORPORATION STREET,0.029,0.037,0.04,0.042,0.047,0.05,0.054,0.063,0.068,0.077,0.081,0.086,0.093,0.098,0.108,0.119,0.15,0.184,0.253,0.303,0.338,0.411,0.478,0.517,0.569,0.652,0.784,0.836,0.863,0.919,0.93,0.952,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
COWTON,0.031,0.039,0.042,0.045,0.047,0.05,0.054,0.06,0.065,0.071,0.073,0.077,0.079,0.083,0.09,0.096,0.113,0.132,0.166,0.192,0.21,0.244,0.271,0.289,0.312,0.349,0.406,0.43,0.441,0.466,0.471,0.481,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
CRAMLINGTON T1 T3,0.036,0.046,0.049,0.052,0.056,0.06,0.064,0.073,0.079,0.088,0.091,0.097,0.102,0.106,0.117,0.126,0.175,0.228,0.341,0.417,0.474,0.601,0.708,0.778,0.868,1.017,1.256,1.351,1.399,1.502,1.522,1.562,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
CRAMLINGTON T2 T4,0.039,0.049,0.053,0.056,0.06,0.064,0.069,0.078,0.084,0.093,0.097,0.102,0.107,0.112,0.123,0.132,0.18,0.231,0.34,0.414,0.468,0.589,0.691,0.757,0.843,0.984,1.211,1.302,1.347,1.444,1.464,1.501,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
DARLEY,0.074,0.093,0.101,0.107,0.112,0.12,0.13,0.145,0.158,0.174,0.18,0.191,0.198,0.206,0.227,0.243,0.282,0.328,0.408,0.471,0.514,0.592,0.656,0.697,0.75,0.832,0.962,1.014,1.04,1.096,1.107,1.128,NPgN,Primary,NG FES - Consumer Transformation,Total installed storage capacity (MW)
