Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0.047,0.049,0.051,0.054,0.056,0.059,0.064,0.068,0.073,0.075,0.079,0.083,0.085,0.092,0.098,0.104,0.112,0.12,0.131,0.208,0.264,0.445,0.498,0.591,0.704,0.704,0.807,0.807,0.827,1.021,1.061,NPgN,Primary,NG FES - Steady Progression,Total installed storage capacity (MW)
AMBERTON ROAD,0.086,0.097,0.102,0.105,0.111,0.115,0.121,0.133,0.141,0.152,0.158,0.165,0.173,0.179,0.194,0.207,0.22,0.237,0.255,0.277,0.349,0.403,0.563,0.61,0.691,0.787,0.787,0.874,0.875,0.892,1.055,1.088,NPgN,Primary,NG FES - Steady Progression,Total installed storage capacity (MW)
ANNFIELD 66/20KV,0.104,0.117,0.123,0.127,0.132,0.137,0.144,0.156,0.166,0.178,0.183,0.191,0.199,0.205,0.221,0.234,0.248,0.266,0.286,0.309,0.396,0.459,0.648,0.704,0.802,0.918,0.918,1.024,1.024,1.045,1.243,1.284,NPgN,Primary,NG FES - Steady Progression,Total installed storage capacity (MW)
ASHINGTON,0.083,0.093,0.097,0.1,0.105,0.109,0.115,0.125,0.133,0.144,0.148,0.155,0.163,0.169,0.182,0.194,0.206,0.222,0.239,0.259,0.38,0.469,0.749,0.831,0.975,1.148,1.148,1.306,1.307,1.337,1.635,1.695,NPgN,Primary,NG FES - Steady Progression,Total installed storage capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Steady Progression,Total installed storage capacity (MW)
AYCLIFFE INDUSTRIAL,0.034,0.038,0.04,0.041,0.043,0.045,0.047,0.051,0.055,0.059,0.061,0.063,0.066,0.068,0.074,0.078,0.083,0.089,0.096,0.104,0.139,0.164,0.242,0.265,0.306,0.354,0.354,0.397,0.398,0.406,0.488,0.505,NPgN,Primary,NG FES - Steady Progression,Total installed storage capacity (MW)
BARDEN FRIAR,0.019,0.022,0.023,0.024,0.025,0.026,0.027,0.029,0.031,0.033,0.034,0.035,0.036,0.037,0.04,0.042,0.045,0.048,0.052,0.056,0.061,0.065,0.074,0.077,0.082,0.087,0.087,0.092,0.092,0.093,0.101,0.103,NPgN,Primary,NG FES - Steady Progression,Total installed storage capacity (MW)
BEDALE,0.147,0.166,0.174,0.18,0.186,0.194,0.203,0.219,0.232,0.248,0.254,0.265,0.272,0.281,0.301,0.318,0.336,0.359,0.386,0.417,0.484,0.533,0.665,0.705,0.774,0.855,0.855,0.927,0.927,0.941,1.077,1.104,NPgN,Primary,NG FES - Steady Progression,Total installed storage capacity (MW)
BELMONT,0.066,0.075,0.078,0.081,0.085,0.088,0.093,0.101,0.108,0.116,0.12,0.126,0.132,0.137,0.147,0.158,0.167,0.18,0.194,0.21,0.272,0.317,0.455,0.495,0.565,0.648,0.648,0.723,0.723,0.738,0.88,0.909,NPgN,Primary,NG FES - Steady Progression,Total installed storage capacity (MW)
BENSHAM,0.034,0.039,0.04,0.041,0.044,0.046,0.048,0.052,0.056,0.06,0.062,0.065,0.069,0.071,0.077,0.082,0.087,0.094,0.101,0.11,0.155,0.188,0.29,0.32,0.373,0.435,0.435,0.493,0.493,0.504,0.612,0.634,NPgN,Primary,NG FES - Steady Progression,Total installed storage capacity (MW)
BENTON SQUARE,0.06,0.068,0.071,0.073,0.076,0.079,0.083,0.091,0.096,0.104,0.107,0.112,0.117,0.121,0.13,0.138,0.147,0.157,0.169,0.184,0.246,0.293,0.434,0.475,0.548,0.635,0.635,0.714,0.714,0.73,0.878,0.909,NPgN,Primary,NG FES - Steady Progression,Total installed storage capacity (MW)
BENWELL,0.057,0.065,0.067,0.07,0.073,0.077,0.08,0.088,0.093,0.101,0.105,0.11,0.115,0.119,0.129,0.138,0.147,0.158,0.17,0.185,0.245,0.289,0.425,0.464,0.533,0.615,0.615,0.69,0.69,0.704,0.845,0.873,NPgN,Primary,NG FES - Steady Progression,Total installed storage capacity (MW)
BILLINGHAM MARSH HOUSE,0.027,0.03,0.031,0.032,0.034,0.035,0.037,0.04,0.042,0.045,0.046,0.048,0.05,0.052,0.056,0.059,0.063,0.067,0.072,0.078,0.143,0.191,0.345,0.391,0.471,0.569,0.569,0.658,0.658,0.676,0.844,0.878,NPgN,Primary,NG FES - Steady Progression,Total installed storage capacity (MW)
BILLY MILL,0.044,0.05,0.052,0.054,0.056,0.059,0.061,0.067,0.071,0.076,0.078,0.082,0.086,0.088,0.095,0.101,0.107,0.115,0.124,0.134,0.188,0.227,0.35,0.386,0.45,0.526,0.526,0.595,0.596,0.609,0.74,0.766,NPgN,Primary,NG FES - Steady Progression,Total installed storage capacity (MW)
BIRTLEY GROVE 66/11KV,0.036,0.041,0.043,0.044,0.046,0.048,0.05,0.054,0.058,0.062,0.064,0.066,0.069,0.072,0.077,0.082,0.087,0.093,0.1,0.108,0.149,0.179,0.273,0.3,0.348,0.406,0.406,0.459,0.459,0.469,0.568,0.589,NPgN,Primary,NG FES - Steady Progression,Total installed storage capacity (MW)
