Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,60058.1,59885.431,59202.567,60585.363,60754.101,60570.278,60132.067,59011.554,58079.522,57327.076,56640.285,56202.031,56293.286,56386.96,56511.163,56624.976,56735.429,56871.68,57078.914,57307.478,57530.412,57772.712,58084.129,58403.772,58729.856,59061.918,59395.086,59729.156,60062.569,60396.168,60731.123,61066.077,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
AMBERTON ROAD,46230.526,46168.963,45619.117,46749.289,46881.655,46723.859,46356.344,45427.362,44657.311,44034.823,43466.22,43101.959,43173.093,43248.666,43349.408,43441.625,43531.146,43641.602,43810.848,43997.531,44179.906,44378.785,44634.376,44896.739,45164.399,45437.081,45710.652,45985.003,46258.874,46532.82,46807.89,47082.94,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
ANNFIELD 66/20KV,49133.812,49078.571,48486.981,49711.714,49854.242,49681.966,49282.062,48273.095,47437.825,46762.61,46145.836,45750.696,45827.736,45910.368,46020.305,46121,46218.782,46339.006,46523.256,46726.372,46924.901,47141.487,47419.507,47704.835,47995.883,48292.391,48589.843,48888.136,49185.927,49483.74,49782.758,50081.725,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
ASHINGTON,55043.517,54919.751,54269.214,55599.76,55755.616,55569.993,55137.637,54044.586,53137.912,52404.999,51735.561,51306.656,51390.127,51478.369,51596.197,51703.997,51808.594,51937.351,52135.683,52354.548,52568.258,52801.248,53100.96,53408.558,53722.355,54042.019,54362.724,54684.33,55005.387,55326.479,55648.872,55971.212,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
AYCLIFFE INDUSTRIAL,19544.116,19524.926,19289.395,19780.8,19838.61,19770.217,19610.512,19206.536,18872.28,18602.105,18355.284,18197.287,18228.659,18262.39,18307.075,18348.049,18387.855,18436.712,18511.233,18593.327,18673.603,18761.169,18873.41,18988.605,19106.114,19225.836,19345.948,19466.414,19586.69,19706.99,19827.788,19948.58,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
BARDEN FRIAR,1306.047,1299.772,1293.601,1332.884,1345.402,1350.147,1349.339,1333.534,1321.89,1314.2,1307.991,1307.238,1318.136,1328.993,1340.519,1351.779,1362.965,1375.55,1388.846,1402.573,1416.159,1430.133,1445.598,1461.308,1477.15,1493.089,1509.006,1524.894,1540.663,1556.488,1572.314,1588.134,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
BEDALE,19226.706,19201.311,18979.299,19476.571,19544.342,19487.177,19339.751,18950.746,18631.051,18374.894,18142.013,17997.051,18039.357,18083.946,18139.366,18191.074,18241.632,18302.232,18387.051,18479.283,18569.693,18667.246,18789.085,18913.902,19040.963,19170.136,19299.608,19429.338,19558.718,19688.165,19818.041,19947.877,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
BELMONT,35713.009,35680.493,35269.675,36121.37,36227.274,36116.389,35848.901,35161.769,34591.78,34132.033,33712.513,33445.712,33504.464,33565.558,33645.435,33718.909,33790.324,33877.545,34008.522,34152.578,34293.278,34446.094,34641.4,34841.777,35046.12,35254.182,35462.919,35672.225,35881.146,36090.158,36300.011,36509.857,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
BENSHAM,31837.726,31770.756,31456.888,32033.577,32111.31,32045.217,31876.28,31428.993,31049.924,30744.874,30467.143,30291.385,30332.477,30368.875,30417.67,30462.219,30505.296,30559.785,30642.194,30733.594,30821.982,30916.964,31040.49,31167.4,31296.963,31428.738,31561.028,31693.615,31825.794,31958.268,32091.295,32224.391,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
BENTON SQUARE,44494.112,44514.176,44005.346,45040.058,45166.604,45029.386,44701.811,43863.792,43167.121,42604.78,42091.536,41764.21,41832.977,41903.767,41997.39,42083.237,42166.565,42269.04,42424.756,42596.413,42763.875,42945.862,43179.531,43419.332,43663.939,43913.017,44162.914,44413.482,44663.566,44913.761,45164.963,45416.15,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
BENWELL,46337.378,46360.501,45858.085,46871.418,47003.814,46880.717,46573.577,45771.828,45102.93,44564.326,44073.376,43762.707,43836.209,43909.098,44004.064,44091.454,44176.328,44280.304,44435.259,44605.783,44771.908,44951.527,45181.432,45417.312,45657.868,45902.66,46148.271,46394.496,46640.173,46886.069,47132.939,47379.829,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
BILLINGHAM MARSH HOUSE,42801.664,42771.414,42259.34,43306.489,43427.241,43278.624,42935.329,42070.881,41354.155,40774.465,40244.838,39904.916,39969.105,40037.5,40129.254,40213.106,40294.458,40395.053,40550.382,40721.888,40889.4,41072.235,41307.676,41549.372,41795.969,42047.22,42299.291,42552.082,42804.437,43056.834,43310.267,43563.668,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
BILLY MILL,39626.364,39646.135,39206.505,40093.613,40205.792,40093.121,39818.371,39108.442,38516.923,38040.043,37605.095,37328.746,37390.269,37452.172,37533.514,37608.208,37680.714,37769.717,37903.885,38051.704,38195.766,38351.896,38552.174,38757.677,38967.275,39180.626,39394.683,39609.289,39823.442,40037.733,40252.873,40468.009,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
BIRTLEY GROVE 66/11KV,27118.433,27076.507,26760.266,27405.341,27482.164,27393.853,27186.282,26659.168,26221.538,25867.962,25545.099,25338.589,25379.957,25423.225,25480.803,25533.527,25584.696,25647.744,25744.256,25850.724,25954.653,26067.823,26213.307,26362.629,26514.961,26670.123,26825.797,26981.905,27137.733,27293.612,27450.126,27606.63,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
BIRTLEY GROVE 66/20KV,17005.159,16973.231,16774.738,17174.745,17221.449,17165.52,17035.501,16706.904,16433.793,16212.964,16011.258,15881.89,15906.587,15932.368,15967.049,15998.72,16029.434,16067.594,16126.494,16191.588,16255.1,16324.337,16413.658,16505.374,16598.966,16694.315,16789.988,16885.933,16981.701,17077.513,17173.725,17269.937,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
BLAYDON BURN,31117.233,31048.4,30682.489,31413.254,31496.424,31391.487,31150.769,30546.14,30043.345,29636.408,29264.555,29025.298,29068.376,29113.515,29174.975,29230.935,29285.152,29353.003,29458.886,29576.124,29690.48,29815.348,29977.01,30143.064,30312.561,30485.286,30658.607,30832.434,31005.946,31179.54,31353.872,31528.209,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
BLUCHER 33/11KV,41826.343,41843.164,41360.862,42343.247,42462.243,42330.39,42017.426,41218.967,40555.497,40019.709,39530.561,39218.187,39282.504,39349.141,39437.507,39518.482,39597.077,39693.892,39841.376,40004.013,40162.721,40335.353,40557.14,40784.78,41017.005,41253.514,41490.809,41728.761,41966.269,42203.886,42442.474,42681.058,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
BOLDON DOWNHILL,25176.608,25128.488,24832.339,25455.306,25531.874,25449.437,25252.002,24746.734,24328.59,23991.173,23683.168,23487.091,23529.728,23574.895,23633.862,23688.134,23740.922,23805.394,23901.934,24008.036,24111.793,24224.645,24368.643,24516.397,24667.077,24820.533,24974.485,25128.874,25282.996,25437.187,25592.008,25746.834,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,8433.712,8410.651,8306.83,8519.996,8543.644,8512.218,8441.006,8263.394,8116.519,7997.734,7889.26,7819.573,7832.338,7846.216,7864.862,7881.902,7898.441,7918.833,7950.435,7985.308,8019.387,8056.621,8104.515,8153.654,8203.765,8254.808,8305.992,8357.303,8408.512,8459.695,8511.067,8562.407,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
BOWESFIELD 33/11KV,20704.318,20687.828,20441.125,20941.11,20998.295,20926.772,20762.262,20348.753,20005.547,19727.855,19474.11,19311.031,19341.054,19372.899,19415.901,19455.131,19493.162,19540.337,19613.701,19694.804,19773.974,19860.418,19972.002,20086.565,20203.467,20322.583,20442.093,20561.945,20681.59,20801.254,20921.411,21041.552,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
BOWESFIELD 66/11KV,21002.29,20979.3,20725.923,21227.339,21281.4,21205.537,21035.883,20615.056,20265.262,19981.738,19722.507,19554.841,19581.948,19610.848,19651,19687.365,19722.526,19766.674,19837.423,19915.971,19992.553,20076.431,20185.602,20297.726,20412.181,20528.842,20645.887,20763.261,20880.429,20997.579,21115.206,21232.795,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
BRANCEPETH,40985.846,40953.458,40459.898,41509.98,41637.243,41495.945,41160.401,40305.318,39599.514,39030.173,38510.673,38180.165,38252.35,38329.931,38430.816,38523.793,38614.304,38724.634,38888.92,39069.233,39245.714,39437.733,39682.088,39932.739,40188.264,40448.447,40709.391,40971.022,41232.15,41493.324,41755.505,42017.634,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
BREAMISH STREET,23631.84,23647.291,23447.211,23828.946,23896.549,23873.93,23787.121,23525.379,23301.541,23124.191,22963.955,22867.838,22908.392,22942.955,22985.211,23024.699,23063.125,23109.282,23172.301,23241.088,23307.55,23377.449,23465.541,23555.772,23647.669,23740.819,23834.298,23927.897,24021.124,24114.637,24208.471,24302.359,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
BRENDA TRADING,53376.447,53305.43,52664.31,53986.479,54139.951,53953.41,53520.987,52430.553,51527.234,50796.702,50129.208,49701.094,49783.167,49871.075,49988.494,50095.928,50200.218,50328.951,50526.729,50744.929,50958.17,51190.923,51490.141,51797.314,52110.713,52430.046,52750.433,53071.761,53392.561,53713.441,54035.659,54357.863,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
CAMPLESHON ROAD,39359.335,39448.507,38998.753,39924.998,40040.688,39920.979,39631.402,38886.389,38267.927,37769.391,37314.721,37025.966,37090.577,37157.165,37244.116,37324.122,37401.879,37496.736,37639.031,37795.515,37948.26,38113.969,38325.723,38542.92,38764.374,38989.79,39215.906,39442.591,39668.816,39895.111,40122.275,40349.398,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
CARLEY HILL,47031.989,46928.658,46370.383,47505.645,47636.626,47475.701,47103.879,46167.34,45390.218,44761.682,44187.447,43818.842,43888.167,43961.604,44060.329,44150.493,44237.924,44345.859,44513.39,44698.469,44879.143,45076.294,45330.447,45591.318,45857.477,46128.645,46400.7,46673.523,46945.885,47218.259,47491.74,47765.167,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
CARLIN HOW T3 T4,35552.648,35400.61,34978.202,35888.876,36002.731,35884.822,35599.409,34865.897,34261.331,33774.686,33331.217,33050.873,33117.829,33189.326,33280.907,33365.656,33448.275,33548.274,33694.427,33854.357,34010.941,34180.839,34395.765,34616.096,34840.578,35069.01,35298.04,35527.6,35756.645,35985.713,36215.597,36445.394,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
CARR HILL,57859.802,57741.201,57081.629,58403.575,58562.177,58383.027,57960.249,56883.833,55987.646,55263.598,54602.532,54179.641,54264.103,54350.656,54466.496,54572.414,54675.151,54802.884,54998.408,55214.407,55425.023,55654.173,55949.581,56252.929,56562.486,56877.794,57194.193,57511.483,57828.15,58145.058,58463.3,58781.581,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
CATTERICK CAMP,29107.56,28927.129,28565.39,29293.669,29370.264,29257.499,29007.941,28392.581,27882.95,27469.933,27092.382,26848.208,26887.483,26930.633,26990.176,27044.219,27096.538,27161.688,27265.785,27381.142,27493.774,27617.262,27777.392,27941.761,28109.466,28280.381,28451.799,28623.669,28795.233,28966.678,29138.775,29310.759,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
CLOSE,23157.614,23178.896,23005.428,23335.42,23404.747,23399.586,23341.793,23139.318,22963.486,22826.189,22703.089,22633.133,22676.628,22712.252,22754.18,22793.762,22832.371,22878.066,22936.952,23000.746,23062.234,23125.912,23204.885,23285.677,23367.872,23450.995,23534.416,23617.895,23700.971,23784.414,23868.123,23951.917,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
CONEYTHORPE,19932.201,19883.265,19642.181,20149.675,20209.719,20139.705,19975.751,19560.5,19217.753,18941.3,18689.178,18528.632,18562.832,18599.598,18647.627,18691.844,18734.873,18787.404,18866.019,18952.351,19036.801,19128.694,19245.775,19365.839,19488.204,19612.762,19737.644,19862.811,19987.696,20112.556,20237.856,20363.086,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
CONSETT,56534.219,56468.294,55790.45,57200.117,57366.252,57170.719,56713.744,55557.155,54600.109,53827.021,53121.157,52669.936,52761.096,52858.579,52987.421,53105.641,53220.515,53361.428,53575.586,53811.395,54041.912,54293.122,54614.852,54944.977,55281.653,55624.567,55968.536,56313.44,56657.717,57002.025,57347.691,57693.284,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
CORPORATION STREET,17821.455,17834.411,17679.06,17980.199,18031.923,18011.89,17940.696,17730.398,17551.439,17409.382,17280.893,17203.336,17234.352,17261.368,17294.515,17325.471,17355.603,17391.807,17441.523,17495.79,17548.309,17603.739,17673.584,17745.131,17818.003,17891.903,17966.058,18040.319,18114.304,18188.491,18262.937,18337.42,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
COWTON,2444.329,2443.485,2417.064,2481.467,2491.72,2486.22,2469.348,2422.012,2383.375,2352.744,2325.049,2308.435,2315.443,2322.701,2331.325,2339.473,2347.476,2356.903,2369.225,2382.478,2395.495,2409.405,2426.377,2443.739,2461.384,2479.29,2497.228,2515.19,2533.09,2551.01,2568.981,2586.947,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
CRAMLINGTON T1 T3,15602.983,15577.034,15412.958,15750.806,15797.872,15760.603,15662.589,15401.233,15183.311,15008.365,14849.113,14749.372,14776.539,14803.262,14837.267,14868.754,14899.397,14936.455,14990.242,15049.182,15106.635,15168.494,15246.997,15327.487,15409.527,15492.959,15576.664,15660.569,15744.281,15828.081,15912.205,15996.34,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
CRAMLINGTON T2 T4,15212.836,15185.994,15032.141,15347.038,15392.992,15361.041,15273.063,15034.168,14834.405,14674.393,14528.908,14438.446,14465.325,14491.16,14523.709,14553.922,14583.333,14618.763,14669.535,14725.096,14779.197,14837.222,14910.668,14985.95,15062.665,15140.638,15218.867,15297.269,15375.474,15453.781,15532.384,15611.001,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
DARLEY,7913.037,7892.732,7796.748,7997.923,8021.473,7993.401,7928.049,7762.971,7626.683,7516.72,7416.423,7352.476,7365.812,7380.168,7398.993,7416.306,7433.149,7453.738,7484.698,7518.719,7551.993,7588.217,7634.432,7681.825,7730.129,7779.3,7828.599,7878.01,7927.309,7976.594,8026.051,8075.479,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
DARLINGTON 132/6KV,18947.002,18885.668,18658.862,19123.372,19176.819,19110.73,18958.232,18574.464,18256.36,17999.059,17763.964,17613.048,17641.448,17671.788,17712.491,17749.689,17785.774,17830.284,17899.192,17975.275,18049.59,18130.719,18235.185,18342.413,18451.811,18563.276,18675.103,18787.251,18899.216,19011.184,19123.61,19236.017,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
DARLINGTON 33/11KV,33386.607,33278.728,32881.719,33693.368,33787.402,33672.806,33407.444,32738.454,32183.697,31735.099,31325.286,31062.415,31112.53,31165.78,31237.109,31302.317,31365.577,31443.566,31564.092,31697.151,31827.089,31968.854,32151.356,32338.673,32529.774,32724.465,32919.788,33115.663,33311.207,33506.763,33703.112,33899.425,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
DARLINGTON CENTRAL 33/11KV,14928.053,14882.319,14712.471,15061.133,15104.434,15059.014,14949.536,14668.319,14434.711,14246.25,14074.269,13964.811,13988.613,14013.16,14045.389,14074.998,14103.758,14138.956,14192.081,14250.57,14307.657,14369.651,14449.046,14530.508,14613.593,14698.19,14783.066,14868.173,14953.122,15038.11,15123.441,15208.77,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
DARLINGTON EAST,24391.657,24316.507,24029.73,24626.328,24698.425,24618.037,24427.481,23941.942,23539.899,23215.447,22919.358,22730.658,22770.702,22812.999,22868.509,22919.531,22969.129,23029.804,23121.245,23221.83,23320.128,23427.053,23563.737,23703.963,23846.95,23992.546,24138.586,24285.01,24431.152,24577.321,24724.058,24870.765,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
DARLINGTON WEST,46216.789,46070.264,45532.715,46627.704,46758.003,46608.017,46255.641,45360.978,44618.112,44017.969,43469.995,43119.522,43189.698,43263.003,43360.575,43449.906,43536.586,43643.205,43806.778,43987.234,44163.351,44355.1,44601.647,44854.66,45112.754,45375.62,45639.339,45903.777,46167.735,46431.742,46696.805,46961.825,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
DENWICK,41971.077,42050.178,41686.52,42860.834,43121.208,43115.674,42918.693,42207.597,41641.909,41211.166,40830.158,40635.996,40840.744,41048.05,41278.376,41500.3,41719.722,41971.153,42263.386,42571.036,42874.474,43192.483,43562.093,43938.949,44320.544,44706.235,45092.077,45477.916,45861.729,46246.443,46631.792,47017.046,NPgN,Primary,NG FES - Steady Progression (EE CF),Domestic (MWh)
