Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0.005,0.024,0.045,0.07,0.1,0.142,0.202,0.269,0.348,0.431,0.525,0.63,0.747,0.88,1.021,1.172,1.337,1.514,1.703,1.894,2.095,2.309,2.526,2.755,2.993,3.239,3.496,3.764,4.041,4.329,4.627,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
AMBERTON ROAD,0,0.004,0.026,0.047,0.074,0.105,0.147,0.21,0.276,0.356,0.431,0.519,0.615,0.72,0.848,0.981,1.123,1.281,1.45,1.634,1.809,1.988,2.181,2.368,2.565,2.768,2.975,3.192,3.417,3.651,3.894,4.145,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
ANNFIELD 66/20KV,0,0.005,0.029,0.054,0.084,0.12,0.169,0.241,0.318,0.41,0.499,0.603,0.717,0.841,0.991,1.148,1.315,1.5,1.698,1.912,2.119,2.333,2.563,2.788,3.026,3.271,3.522,3.785,4.059,4.342,4.636,4.941,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
ASHINGTON,0,0.008,0.039,0.072,0.112,0.16,0.227,0.324,0.431,0.557,0.686,0.833,0.997,1.178,1.388,1.61,1.847,2.107,2.385,2.684,2.982,3.293,3.625,3.961,4.313,4.678,5.056,5.45,5.86,6.285,6.727,7.184,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
AYCLIFFE INDUSTRIAL,0,0.002,0.012,0.021,0.033,0.047,0.067,0.096,0.127,0.164,0.2,0.242,0.289,0.34,0.4,0.464,0.531,0.606,0.686,0.773,0.857,0.945,1.039,1.132,1.23,1.331,1.435,1.544,1.658,1.775,1.897,2.024,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
BARDEN FRIAR,0,0,0.002,0.004,0.007,0.009,0.013,0.018,0.023,0.03,0.035,0.041,0.047,0.054,0.064,0.073,0.083,0.095,0.107,0.121,0.133,0.144,0.157,0.167,0.178,0.189,0.2,0.211,0.223,0.235,0.247,0.26,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
BEDALE,0,0.004,0.025,0.045,0.07,0.1,0.139,0.199,0.26,0.334,0.4,0.477,0.562,0.653,0.769,0.888,1.014,1.157,1.31,1.477,1.631,1.786,1.952,2.109,2.275,2.444,2.615,2.795,2.981,3.175,3.375,3.583,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
BELMONT,0,0.004,0.021,0.039,0.061,0.087,0.122,0.175,0.23,0.297,0.361,0.436,0.518,0.607,0.715,0.828,0.949,1.082,1.225,1.38,1.529,1.683,1.847,2.009,2.179,2.354,2.534,2.722,2.917,3.12,3.33,3.548,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
BENSHAM,0,0.003,0.015,0.027,0.042,0.06,0.086,0.122,0.162,0.209,0.256,0.311,0.371,0.437,0.515,0.597,0.685,0.781,0.885,0.996,1.105,1.219,1.341,1.463,1.591,1.724,1.861,2.004,2.152,2.307,2.467,2.632,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
BENTON SQUARE,0,0.004,0.021,0.039,0.06,0.086,0.121,0.173,0.228,0.295,0.361,0.437,0.521,0.613,0.722,0.837,0.959,1.094,1.238,1.394,1.547,1.705,1.875,2.043,2.22,2.403,2.592,2.789,2.994,3.207,3.427,3.656,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
BENWELL,0,0.004,0.021,0.038,0.059,0.084,0.118,0.169,0.223,0.287,0.35,0.423,0.503,0.591,0.696,0.806,0.924,1.054,1.193,1.344,1.49,1.641,1.802,1.962,2.13,2.303,2.481,2.667,2.86,3.061,3.269,3.485,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
BILLINGHAM MARSH HOUSE,0,0.004,0.02,0.037,0.057,0.081,0.116,0.166,0.222,0.287,0.358,0.438,0.527,0.626,0.738,0.857,0.985,1.124,1.272,1.431,1.593,1.765,1.947,2.136,2.333,2.539,2.752,2.976,3.207,3.448,3.698,3.957,NPgN,Primary,NPg Planning Scenario,Total installed storage capacity (MW)
