Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,1.7,1.714,1.841,2.017,2.224,2.501,3.106,3.712,4.317,4.92,5.518,6.105,6.736,7.36,7.987,8.615,9.261,9.951,10.657,11.341,12.023,12.732,13.444,14.16,14.879,15.6,16.325,17.054,17.785,18.52,19.258,19.47,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed PV capacity - domestic (MW)
AMBERTON ROAD,1.554,1.564,1.67,1.819,1.993,2.227,2.738,3.249,3.758,4.266,4.771,5.265,5.797,6.322,6.85,7.38,7.924,8.505,9.099,9.676,10.25,10.848,11.448,12.05,12.656,13.264,13.875,14.488,15.104,15.723,16.345,16.523,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed PV capacity - domestic (MW)
ANNFIELD 66/20KV,1.676,1.688,1.817,1.997,2.209,2.492,3.109,3.728,4.346,4.962,5.574,6.174,6.818,7.456,8.097,8.738,9.399,10.103,10.824,11.524,12.22,12.945,13.673,14.404,15.138,15.876,16.617,17.361,18.108,18.859,19.613,19.829,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed PV capacity - domestic (MW)
ASHINGTON,2.197,2.214,2.408,2.679,2.996,3.421,4.341,5.27,6.198,7.122,8.04,8.94,9.907,10.864,11.825,12.788,13.778,14.835,15.917,16.967,18.011,19.099,20.191,21.287,22.389,23.496,24.607,25.724,26.845,27.972,29.103,29.427,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed PV capacity - domestic (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed PV capacity - domestic (MW)
AYCLIFFE INDUSTRIAL,0.805,0.81,0.864,0.938,1.026,1.143,1.401,1.658,1.914,2.169,2.423,2.672,2.939,3.203,3.469,3.735,4.009,4.301,4.6,4.89,5.178,5.479,5.781,6.084,6.388,6.694,7.001,7.31,7.619,7.931,8.243,8.333,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed PV capacity - domestic (MW)
BARDEN FRIAR,0.05,0.05,0.056,0.063,0.072,0.085,0.111,0.137,0.163,0.19,0.216,0.242,0.269,0.296,0.324,0.351,0.38,0.41,0.441,0.47,0.5,0.531,0.562,0.594,0.625,0.657,0.688,0.72,0.752,0.784,0.816,0.826,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed PV capacity - domestic (MW)
BEDALE,1.313,1.321,1.409,1.532,1.676,1.869,2.292,2.714,3.135,3.555,3.972,4.381,4.82,5.255,5.691,6.129,6.578,7.059,7.55,8.027,8.501,8.995,9.491,9.989,10.49,10.993,11.497,12.005,12.514,13.026,13.54,13.687,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed PV capacity - domestic (MW)
BELMONT,1.274,1.283,1.375,1.504,1.655,1.858,2.299,2.742,3.184,3.624,4.062,4.49,4.951,5.407,5.865,6.324,6.795,7.299,7.814,8.314,8.812,9.33,9.85,10.373,10.898,11.425,11.955,12.486,13.021,13.557,14.096,14.251,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed PV capacity - domestic (MW)
BENSHAM,0.321,0.327,0.397,0.495,0.61,0.764,1.091,1.427,1.764,2.099,2.431,2.758,3.108,3.455,3.803,4.152,4.511,4.895,5.287,5.667,6.046,6.44,6.836,7.233,7.633,8.034,8.437,8.842,9.248,9.656,10.067,10.184,NPgN,Primary,NG FES - Consumer Transformation (EE CF),Total installed PV capacity - domestic (MW)
