Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,49,106,203,355,547,821,1187,1874,2585,3316,4063,4824,6098,7406,8748,10123,11530,12309,13093,13884,14681,15485,15729,15697,15620,15497,15337,15139,14905,14631,14317,13957,NPgN,Primary,NG FES - Consumer Transformation,Number of electric cars and vans (hybrid and full electric)
AMBERTON ROAD,50,105,196,336,507,746,1064,1661,2277,2907,3551,4206,5307,6437,7596,8783,9998,10670,11347,12029,12718,13413,13624,13596,13530,13423,13284,13113,12910,12673,12400,12089,NPgN,Primary,NG FES - Consumer Transformation,Number of electric cars and vans (hybrid and full electric)
ANNFIELD 66/20KV,76,154,279,463,677,968,1347,2068,2802,3548,4308,5082,6389,7731,9106,10515,11959,12753,13556,14367,15185,16012,16261,16228,16149,16021,15855,15651,15409,15126,14801,14429,NPgN,Primary,NG FES - Consumer Transformation,Number of electric cars and vans (hybrid and full electric)
ASHINGTON,68,142,270,466,708,1051,1507,2364,3249,4156,5083,6026,7609,9235,10902,12610,14358,15324,16298,17281,18271,19271,19573,19534,19438,19285,19085,18839,18548,18207,17816,17369,NPgN,Primary,NG FES - Consumer Transformation,Number of electric cars and vans (hybrid and full electric)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Consumer Transformation,Number of electric cars and vans (hybrid and full electric)
AYCLIFFE INDUSTRIAL,48,93,162,256,356,483,642,954,1261,1569,1881,2198,2742,3299,3870,4455,5055,5383,5715,6052,6393,6737,6841,6826,6793,6739,6669,6584,6482,6363,6226,6070,NPgN,Primary,NG FES - Consumer Transformation,Number of electric cars and vans (hybrid and full electric)
BARDEN FRIAR,3,5,9,14,20,28,37,56,75,94,113,132,165,199,234,269,306,326,346,366,387,408,414,413,411,408,404,399,393,385,377,368,NPgN,Primary,NG FES - Consumer Transformation,Number of electric cars and vans (hybrid and full electric)
BEDALE,37,76,142,240,358,522,739,1148,1567,1996,2433,2879,3628,4398,5187,5995,6823,7279,7740,8205,8674,9147,9291,9272,9226,9154,9059,8942,8804,8642,8456,8244,NPgN,Primary,NG FES - Consumer Transformation,Number of electric cars and vans (hybrid and full electric)
BELMONT,63,126,225,367,526,737,1010,1532,2058,2591,3133,3684,4621,5580,6564,7572,8605,9172,9746,10326,10912,11504,11682,11658,11601,11510,11391,11244,11070,10867,10633,10366,NPgN,Primary,NG FES - Consumer Transformation,Number of electric cars and vans (hybrid and full electric)
BENSHAM,45,89,161,264,382,540,744,1135,1531,1933,2341,2757,3461,4184,4924,5683,6461,6888,7320,7757,8198,8643,8778,8760,8717,8648,8558,8448,8317,8165,7989,7789,NPgN,Primary,NG FES - Consumer Transformation,Number of electric cars and vans (hybrid and full electric)
BENTON SQUARE,54,111,206,346,513,744,1047,1622,2210,2810,3422,4045,5095,6172,7277,8409,9568,10207,10852,11503,12160,12824,13024,12998,12934,12832,12699,12536,12341,12115,11854,11557,NPgN,Primary,NG FES - Consumer Transformation,Number of electric cars and vans (hybrid and full electric)
BENWELL,24,55,111,203,325,504,747,1197,1669,2157,2656,3164,4012,4883,5776,6691,7627,8146,8669,9195,9725,10260,10422,10401,10350,10269,10162,10031,9876,9695,9486,9248,NPgN,Primary,NG FES - Consumer Transformation,Number of electric cars and vans (hybrid and full electric)
BILLINGHAM MARSH HOUSE,63,129,239,403,599,869,1226,1900,2591,3296,4014,4746,5979,7245,8542,9871,11233,11983,12741,13506,14277,15056,15291,15260,15186,15066,14910,14718,14490,14224,13918,13569,NPgN,Primary,NG FES - Consumer Transformation,Number of electric cars and vans (hybrid and full electric)
BILLY MILL,33,72,141,249,387,585,853,1351,1870,2403,2949,3505,4434,5388,6368,7370,8397,8965,9537,10114,10696,11282,11460,11437,11381,11291,11174,11030,10859,10660,10431,10169,NPgN,Primary,NG FES - Consumer Transformation,Number of electric cars and vans (hybrid and full electric)
BIRTLEY GROVE 66/11KV,37,75,136,227,332,477,665,1023,1388,1759,2138,2523,3173,3840,4524,5225,5943,6339,6738,7141,7549,7960,8084,8067,8028,7965,7882,7780,7660,7519,7358,7173,NPgN,Primary,NG FES - Consumer Transformation,Number of electric cars and vans (hybrid and full electric)
BIRTLEY GROVE 66/20KV,23,46,84,138,201,285,396,606,820,1037,1258,1483,1863,2253,2653,3063,3483,3714,3948,4183,4422,4662,4735,4725,4702,4665,4616,4557,4486,4404,4309,4201,NPgN,Primary,NG FES - Consumer Transformation,Number of electric cars and vans (hybrid and full electric)
BLAYDON BURN,61,119,211,341,485,674,915,1379,1845,2315,2793,3279,4106,4954,5823,6713,7626,8127,8633,9146,9664,10187,10345,10323,10273,10192,10086,9956,9802,9622,9415,9179,NPgN,Primary,NG FES - Consumer Transformation,Number of electric cars and vans (hybrid and full electric)
